名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
故宫,The Palace Museum,229,75595,39.9177516246599,116.39704755195879,古迹|5A景区|世界文化遗产|宫殿|博物馆,穿越明清两朝的皇家宫殿群,0.0,0,4.8,146234,https://youimg1.c-ctrip.com/target/0105e1200047q48rpB98F.jpg
颐和园,Summer Palace,231,75597,39.99854270033175,116.27234233948532,园林花园|世界文化遗产|5A景区,走入清朝皇帝的皇家园林,0.0,0,4.7,40859,https://youimg1.c-ctrip.com/target/0102r120006tf01ir4619.jpg
八达岭长城,Badaling Great Wall,230,75596,40.356498500962964,116.0175959635314,古迹|世界文化遗产|5A景区,不到长城非好汉,0.0,0,4.7,33980,https://youimg1.c-ctrip.com/target/0100d1200077mzcng2603.jpg
北京野生动物园,Beijing Wildlife Park,107469,10559348,39.496269,116.335563,4A景区|动物园,近距离观赏野生动物,0.0,0,4.7,23229,https://youimg1.c-ctrip.com/target/10030c00000063u6rBDAE.jpg
圆明园,Old Summer Palace,5208,76625,40.007905,116.303579,园林花园|古迹|5A景区,毁于战火的清代皇家园林,0.0,0,4.7,19433,https://youimg1.c-ctrip.com/target/0106e1200093aomayB4FC.jpg
北京欢乐谷,Happy Valley Beijing,57491,86171,39.867774491716176,116.49481999397284,主题乐园|4A景区,玩耍众多刺激的游乐项目,0.0,0,4.7,16367,https://youimg1.c-ctrip.com/target/10091f000001gsov1E90E.jpg
慕田峪长城,Mutianyu Great Wall,243,75609,40.43086,116.564036,古道|5A景区,看万里长城山河壮丽|万里长城上看醉人秋色,0.0,0,4.8,14730,https://youimg1.c-ctrip.com/target/1A0s16000000zdudt0434.jpg
古北水镇,Gubei Water Town,1411592,13378901,40.6551976453261,117.27809986438476,古城古镇,在长城脚下泡温泉爬长城,0.0,0,4.6,11268,https://youimg1.c-ctrip.com/target/0104r120008wxqnbrC251.jpg
恭王府,Prince Gong's Mansion,5174,76613,39.93712632971161,116.38620597389077,历史建筑|名人故居|5A景区,旧时清朝大臣和珅的府邸,0.0,0,4.6,15866,https://youimg1.c-ctrip.com/target/010261200087dxb2445A6.jpg
天坛,Temple of Heaven,233,75599,39.883693,116.41282,历史建筑|古迹|5A景区,明清时期皇帝祭天的地方,0.0,0,4.6,12122,https://youimg1.c-ctrip.com/target/10040h0000008s9n50143.jpg
天安门广场,Tiananmen Square,228,75594,39.903756,116.397693,广场,祖国的象征与心脏,0.0,0,4.7,13702,https://youimg1.c-ctrip.com/target/100p0n000000e06yl2B39.jpg
北京环球度假区,Universal Beijing Resort,2045497,31677717,39.85238751429625,116.67596462713996,主题乐园,大片世界，在此成真,0.0,0,4.5,3855,https://youimg1.c-ctrip.com/target/0106j120008y7o3hcC541.jpg
北京世园公园,"World Horticultural Exposition in Beijing, China",5102341,57152155,40.44433080195921,115.95093874314964,4A景区|园林花园|城市公园,赏万千植物花卉,0.0,0,4.6,8222,https://youimg1.c-ctrip.com/target/1A0314000000w47ns6F39.jpg
