名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
青秀山,Qingxiu Mountain,8810,77467,22.787357,108.38708,5A景区|山岳,花开四季的踏青胜地,0.0,0,4.7,8517,https://youimg1.c-ctrip.com/target/100k1f000001guig348B5.jpg
南宁方特东盟神画,Fangte Dongmeng Shenhua,4728365,55421174,22.76692,108.411986,主题乐园,大型高科技主题乐园,0.0,0,4.9,7012,https://youimg1.c-ctrip.com/target/100i0u000000izzw3E13E.jpg
南宁海底世界,Seabed World,1407615,10758118,22.826853,108.332514,水族馆,与海洋动物亲密接触,0.0,0,4.4,1473,https://youimg1.c-ctrip.com/target/01004120009em9670835D.jpg
南宁园博园,Nanning Garden Expo Park,2714351,38525490,22.722457,108.480865,4A景区|园林花园,南宁出游必去的园林景点,0.0,0,4.5,1088,https://youimg1.c-ctrip.com/target/3508170000011sob77443.jpg
南宁动物园,Nanning Zoo,8812,10558658,22.834945,108.268344,4A景区|动物园,参观大熊猫等珍稀动物,0.0,0,4.4,989,https://youimg1.c-ctrip.com/target/tg/431/155/305/1bca70bfcb234b5e827746fcdf899b3c.jpg
南湖公园,Nanhu Park,8804,77463,22.805766,108.354167,城市公园,环境优美的市区休闲胜地,0.0,0,4.6,1240,https://youimg1.c-ctrip.com/target/0101i1200089gyon6BDF8.jpg
龙门水都,Longmen Water Cave,1996325,30557528,22.900883,108.252234,4A景区|泡温泉|水上乐园,四季常青的生态氧吧,0.0,0,4.1,719,https://youimg1.c-ctrip.com/target/100f1g000001h97fv9BA4.jpg
凤岭水世界,Fengling Water World,1460583,13754720,22.823329,108.397105,水上乐园,当地知名的大型水上乐园,0.0,0,4.4,788,https://youimg1.c-ctrip.com/target/01032120008q34cqa5875.jpg
广西民族博物馆,Guangxi Museum of Nationalities,1413292,13460684,22.773932,108.40156,4A景区|博物馆,镇馆之宝雷纹大铜鼓,0.0,0,4.7,790,https://youimg1.c-ctrip.com/target/350f1c000001crv9zA364.jpg
南宁大明山,Daming Mountain,8841,77486,23.523279216950797,108.3361799284073,峡谷|4A景区|山岳,春花夏瀑秋云冬雪,0.0,0,4.5,654,https://youimg1.c-ctrip.com/target/0105l120005wow1xiD880.jpg
云顶观光,Genting Sightseeing,122744,10530181,22.815804,108.369582,观景台,在全透明走廊俯瞰南宁,0.0,0,4.3,693,https://youimg1.c-ctrip.com/target/100q1f000001grk416DF6.jpg
嘉和K6温泉微度假,Jiahe City Hot Spring Valley,142296,10759167,22.901367,108.454229,4A景区|泡温泉|SPA养生|水上乐园,融合多国风情温泉泡池,0.0,0,4.5,521,https://youimg1.c-ctrip.com/target/100g1f000001gqxgt6388.jpg
花花大世界,Great Flower World,20304,10770561,23.015228,108.275623,4A景区|花海,赏四季花卉并亲近动物,0.0,0,4.4,372,https://youimg1.c-ctrip.com/target/100f0r000000hcgiw3393.jpg
嗒啵兔主题乐园,Nanning Wanda Amusement Park,2023652,31075532,22.768732475634803,108.43132794480822,主题乐园,以广西民族文化为主题,0.0,0,4.3,498,https://youimg1.c-ctrip.com/target/100q0f0000007d80k00AC.jpg
凤岭儿童公园,Fengling Children's Park,1461297,13758751,22.821648,108.398896,4A景区|游乐场,多种老少皆宜的玩乐项目,0.0,0,4.6,360,https://youimg1.c-ctrip.com/target/010171200098cn0fdF1F1.jpg
伊岭岩,Yiling Cave,8856,77494,23.039073,108.297194,洞穴|4A景区|地质地貌,南宁近郊有名的喀斯特溶洞,0.0,0,4.5,429,https://youimg1.c-ctrip.com/target/100j1f000001gpqn7F1B0.jpg
广西龙虎山风景区,Longhushan Nature Reserve,8846,77490,22.960734,107.657466,4A景区|自然保护区|山岳|国家公园,国内知名猴山,0.0,0,4.5,320,https://youimg1.c-ctrip.com/target/100o060000001nl1h79F2.jpg
南宁融晟极地海洋世界,Nanning Rongcheng Jidi Haiyang World,4746397,55707206,22.788273313875276,108.25223700473916,水族馆,,0.0,0,3.7,329,https://youimg1.c-ctrip.com/target/100k0v000000jrpkm0AC0.png
九曲湾温泉,Jiuquwan Hot Spring,1696942,20361883,22.884572710578855,108.4189011371074,4A景区|泡温泉,融合壮乡文化与秀丽风光,0.0,0,4.5,298,https://youimg1.c-ctrip.com/target/100a0q000000gcqhbAC0D.jpg
广西药用植物园,Guangxi Medical Botanical Garden,8809,77466,22.853769,108.376779,4A景区|植物园,展示两面针等草药植物,0.0,0,4.3,296,https://youimg1.c-ctrip.com/target/100b12000000sf193EF10.jpg
