名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
滕王阁,Tengwang Pavilion,9075,77653,28.68153063608983,115.88113524327022,历史建筑|5A景区,,0.0,0,4.5,12518,https://youimg1.c-ctrip.com/target/100g1f000001gqwviAF2C.jpg
南昌融创乐园,Nanchang Sunac Land,1836888,24826548,28.577334,115.785924,主题乐园|4A景区,三大过山车刺激体验,0.0,0,4.5,6524,https://youimg1.c-ctrip.com/target/35021900000187hf2C867.jpg
南昌融创海世界,Nanchang Rongchuang Aquarium,1840143,25249250,28.5797,115.790588,水族馆,七大主题水池展区,0.0,0,4.5,3190,https://youimg1.c-ctrip.com/target/10050y000000lxsr767D6.jpg
秋水广场,Qiushui Square,119790,92374,28.68307,115.862112,广场,欣赏灯光变幻的音乐喷泉,0.0,0,4.6,1881,https://youimg1.c-ctrip.com/target/10051f000001gst9309DC.jpg
南昌之星摩天轮,Star of Nanchang Ferris Wheel,119791,10537657,28.655832697893658,115.85063564935186,摩天轮,颇具浪漫气息的地标之一,0.0,0,4.6,1384,https://youimg1.c-ctrip.com/target/10021f000001gxbdbA68A.jpg
八一起义纪念馆,Nanchang August-1st Memorial Museum,9055,77635,28.67473779358546,115.88942669932892,4A景区|纪念馆,了解南昌起义的历史,0.0,0,4.6,1257,https://youimg1.c-ctrip.com/target/100f0z000000mpgvt5973.jpg
南昌海洋公园,Nanchang Ocean Park,70406,10795353,28.673311,115.977009,水族馆,走隧道看企鹅畅玩极地海洋,0.0,0,4.4,815,https://youimg1.c-ctrip.com/target/100o0r000000hbv9tC68B.jpg
南昌华侨城玛雅乐园,Nanchang Huaqiao Cheng Maya Amusement Park,5253410,61113042,28.63105133565413,115.88714579344064,水上乐园,玛雅文化主题的水乐园,0.0,0,4.4,1227,https://youimg1.c-ctrip.com/target/0104w120001663emm8EF8.jpg
滕王阁游轮,Tengwang Pavilion Cruise,1412299,13412903,28.68112809914847,115.88024011283949,乘船游览,领略着美轮美奂的赣江景色,0.0,0,4.6,973,https://youimg1.c-ctrip.com/target/350u170000012w3xf0D04.jpg
安义古村,Anyi Village,119888,10537751,28.747203,115.60294,4A景区|古村,原汁原味的古村落,0.0,0,4.2,583,https://youimg1.c-ctrip.com/target/100l1h000001htnev6D34.jpg
江西省博物馆,Jiangxi Provincial Museum,71124,88799,28.7056868677901,115.88187680070088,博物馆,观赏江西古代青铜瓷器,0.0,0,4.2,887,https://youimg1.c-ctrip.com/target/10060z000000nm4tb24F1.jpg
凤凰沟,Fenghuanggou,107384,90597,28.370263,116.012045,4A景区,农业观光旅游生态园,0.0,0,4.4,643,https://youimg1.c-ctrip.com/target/0103q1200084mv3w2F664.jpg
江西绿地中心303观光厅,Jiangxi Nanchang Greenland Central Plaza,1751430,23091579,28.685548,115.854343,4A景区|观景台,登百米高空观景台,0.0,0,4.6,783,https://youimg1.c-ctrip.com/target/10040r000000hbrzyDCE5.jpg
怪石岭,Guaishiling,140588,101226,28.859746,115.823894,湖泊|4A景区|山岳,南方小长城,0.0,0,4.5,586,https://youimg1.c-ctrip.com/target/350o180000013pwsj4EB4.jpg
梅岭狮子峰,Meiling Lion Peak,119890,10537753,28.82518645401718,115.72617423341374,4A景区|山岳,登吼天台俯瞰山下美景,0.0,0,4.3,559,https://youimg1.c-ctrip.com/target/350d0r000000h8dpv8BCF.jpg
梅岭国家级风景名胜区,Meiling National Scenic Area,50810,83427,28.770215307649654,115.72607690051662,山岳,在梅岭之巅欣赏日出,0.0,0,4.4,406,https://youimg1.c-ctrip.com/target/0100y120008f3vli59577.jpg
绳金塔,Shengjin Tower,9070,77648,28.66095,115.899877,古塔|古迹,始建于唐天佑年间的古塔,0.0,0,4.3,685,https://youimg1.c-ctrip.com/target/0101z120005zwm5gi73F3.jpg
南昌鄱阳湖国家自然保护区,Poyang Lake,17823,79932,29.062297960770096,116.07213929788041,湖泊|国家公园,观鸟摄影好去处,0.0,0,4.6,496,https://youimg1.c-ctrip.com/target/10021f000001gxc3kEBF4.jpg
南昌梵高星空艺术馆（中山路旗舰店）,Nanchang Fangao Xingkong Art Museum (zhongshanluqijian),5619353,70375289,28.67589214834336,115.90263658900487,,,0.0,0,4.8,300,https://youimg1.c-ctrip.com/target/3504170000011x2nu3CF0.jpg
八一广场,Bayi Square,119882,10530617,28.673856,115.904477,广场,军旗升起的地方,0.0,0,4.5,541,https://youimg1.c-ctrip.com/target/0103e120005zuwjdb4254.jpg
铜源峡,Tongyuan Gorge,1510454,18163743,28.694453281350654,115.70342669634415,峡谷,峡谷幽长，瀑布众多,0.0,0,3.8,116,https://youimg1.c-ctrip.com/target/350t0s000000hvm0x7C8F.jpg
厚田沙漠,Houtian Desert,119797,10537663,28.422008,115.81089,沙漠戈壁,欣赏壮观沙漠胜景,0.0,0,3.9,161,https://youimg1.c-ctrip.com/target/100q1f000001grlc9A1C0.jpg
南昌汉代海昏侯国遗址公园,Nanchang Han Dynasty Heritage Park,100097555,100097555,29.025556023891212,115.93142627212313,4A景区|古迹,千年侯国 传奇海昏,0.0,0,3.9,131,https://youimg1.c-ctrip.com/target/01046120008qj6lnfCFE6.jpg
天香园,Tian Xiang Garden,133726,95668,28.654458,115.956601,4A景区|园林花园,以盆景和候鸟闻名,0.0,0,4.0,126,https://youimg1.c-ctrip.com/target/100p1f000001gpe8n1038.jpg
南昌融创文化旅游城,"Sunac Resort, Nanchang",4643023,52030329,28.5791317924209,115.786548692946,文化旅游区,,0.0,0,4.4,56,https://youimg1.c-ctrip.com/target/100k1f000001gufx74FF9.jpg
南昌之星游乐园,Nanchang Star Amusement Park,1407328,10548705,28.656194717699112,115.85087803474055,游乐场,多种游乐项目齐全,0.0,0,4.5,771,https://youimg1.c-ctrip.com/target/0102v120008jcq0bs4745.jpg
瑶湖,Yaohu Lake,1714773,22867270,28.67518714810612,116.05656945806463,湖泊,天然湖泊，与艾溪湖相连,0.0,0,4.5,64,https://youimg1.c-ctrip.com/target/0101z120008ao8w689628.jpg
新方向童乐小镇,New Direction Children's Town,1409544,13089676,28.65888431043157,115.84626065925033,儿童乐园,社会角色扮演主题乐园,0.0,0,4.7,662,https://youimg1.c-ctrip.com/target/100a0j000000ahi4q9748.jpg
八一南昌起义纪念塔,August 1st Nanchang Uprising Monument,9064,77642,28.672670418946566,115.90456424945573,历史建筑,缅怀南昌起义的精神坐标,0.0,0,4.5,339,https://youimg1.c-ctrip.com/target/0105z120009dgs173B5A5.jpg
八大山人纪念馆,Bada Shanren Memorial Hall,50805,83423,28.604926,115.916276,纪念馆,陈列八大山人生平史料,0.0,0,4.4,258,https://youimg1.c-ctrip.com/target/10031f000001gs17i1C32.jpg
八一公园,Bayi Park,133721,95663,28.678689733853584,115.89738550645572,城市公园,原为清代贡院的城市公园,0.0,0,4.5,232,https://youimg1.c-ctrip.com/target/0101x120009dqjp3o3085.jpg
汪山土库,Wangshan Tuku,142027,10524271,29.010194,115.910891,历史建筑|古迹,具有赣南客家围屋的特点,0.0,0,4.5,217,https://youimg1.c-ctrip.com/target/350e0v000000jkoam1FFB.jpg
佑民寺,Youmin Temple,9071,77649,28.68226264344832,115.8968607147493,寺庙,欣赏庄严肃穆的巨型铜佛像,0.0,0,4.5,203,https://youimg1.c-ctrip.com/target/0100s120009cwtxbeB3F5.jpg
