名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
台北故宫博物院,Taipei Palace Museum,19884,80595,25.10237808883552,121.54850610477274,博物馆,集中华文物之大成和精髓,0.0,0,4.7,7686,https://youimg1.c-ctrip.com/target/100q0r000000hdz7e53C4.jpg
台北101大楼,TAIPEI 101,22898,10758289,25.033743,121.564966,现代建筑|观景台,台北标志建筑登高俯瞰城景,0.0,0,4.5,5010,https://youimg1.c-ctrip.com/target/01056120005w9plnp3BCE.jpg
中正纪念堂,Chiang Kai-shek Memorial Hall,19889,80598,25.0346565888516,121.521775710763,纪念馆,参观纪念展和整点换岗仪式,0.0,0,4.6,2119,https://youimg1.c-ctrip.com/target/100a0m000000drveuCE84.jpg
西门町,Shi-men Ting,56922,10524142,25.042629,121.506788,特色街区,堪称台北的“原宿”,0.0,0,4.4,3319,https://youimg1.c-ctrip.com/target/fd/tg/g4/M03/BF/07/CggYHlZ5Aw6ADICvAAzZREVSCI0704.jpg
士林夜市,Shilin Night Market,56927,10524212,25.087375128446208,121.52473609327028,特色街区,汇集全台各类美食的盛地,0.0,0,4.3,1960,https://youimg1.c-ctrip.com/target/100o1f000001gp48p077E.jpg
猫空,MaoKong,56814,85951,24.973004667801288,121.58819535395583,茶园,搭缆车上猫空品好茶谈人生,0.0,0,4.4,588,https://youimg1.c-ctrip.com/target/100v1f000001h1aosAA77.jpg
猫空缆车,Maokong Gondola,1407616,10572530,24.996024092253617,121.57629574110456,缆车索道,眺望台北市全景,0.0,0,4.7,521,https://youimg1.c-ctrip.com/target/100i1f000001gp4tm4F48.jpg
艋舺龙山寺,Lungshan Temple of Manka,19890,80599,25.03717799349457,121.49991866184024,寺庙,电影《艋岬》拍摄地,0.0,0,4.6,480,https://youimg1.c-ctrip.com/target/100c1f000001gsvdu8862.jpg
台北市立动物园,Taipei Zoo,19883,80594,24.998328823260103,121.58110468506442,动物园,看看大熊猫团团圆圆一家,0.0,0,4.7,436,https://youimg1.c-ctrip.com/target/35041e000001fp731223E.png
台北101景观台,Taipei 101 Observatory,1788434,23865324,25.0323648,121.56520030000001,观景台,俯瞰整个台北欣赏唯美夜景,0.0,0,4.6,607,https://youimg1.c-ctrip.com/target/100l1f000001gqgu66D31.jpg
象山步道,Xiangshan (Elephant Mountain) Nature Trail,1700156,20905962,25.025249,121.5792578,徒步,台北盆地一览无遗,0.0,0,4.8,196,https://youimg1.c-ctrip.com/target/01007120008f0oes16DB8.jpg
阳明山国家公园,Yangmingshan National Park Service,19878,80592,25.155927808852965,121.54778022925953,山岳,四季皆美的郊野公园,0.0,0,4.6,621,https://youimg1.c-ctrip.com/target/10070z000000o0uiu5CA4.jpg
士林官邸,Chiang Kai-Shek Shilin Residence,56736,85906,25.093085629654297,121.53241264350449,园林花园|名人故居,欣赏精美的龙凤根雕玄关,0.0,0,4.5,1126,https://youimg1.c-ctrip.com/target/fd/tg/g3/M02/65/97/CggYG1Y7FnqAC-gNAAyQPOrNawU399.jpg
西门红楼,The Red House,142455,10524144,25.042067,121.506446,历史建筑,台北有名的文化聚集地,0.0,0,4.4,538,https://youimg1.c-ctrip.com/target/fd/tg/g4/M02/4C/25/CggYHFYmDF2AHXX1AA_HbBiGzm8659.jpg
饶河街夜市,Raohe Night Market,123158,10539673,25.050913097398777,121.57754772901478,特色街区,拥有数百家特色小吃,0.0,0,4.5,522,https://youimg1.c-ctrip.com/target/100e1f000001gt2ez0166.jpg
国父纪念馆,National Dr.Sun Yat-sen Memorial Hall,19881,80593,25.039912657855957,121.56005792437645,纪念馆,,0.0,0,4.4,431,https://youimg1.c-ctrip.com/target/100e1f000001gszgpCBFD.jpg
