名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
合肥融创水世界,Hefei Wanda Water Park,1942065,28524419,31.702074868123148,117.30404761143221,水上乐园,夏威夷风情为主题的水乐园,0.0,0,4.4,13224,https://youimg1.c-ctrip.com/target/100s0x000000la43h9C8C.jpg
合肥海洋世界,Hefei Ocean World,64786,87851,31.780773,117.215141,水族馆|3A景区,3A景区|多种类海洋场馆聚合,0.0,0,4.6,2646,https://youimg1.c-ctrip.com/target/0101l120008gcgso9B569.jpg
李鸿章故居,Li Hongzhang Memorial Residence,20461,80661,31.864591,117.291255,4A景区|名人故居,参观李鸿章的荣辱一生,0.0,0,4.5,4151,https://youimg1.c-ctrip.com/target/tg/321/785/861/b0abbebf0c3349d9b0f0eab9c8bc8588.jpg
三河古镇,Sanhe Ancient Town,20464,80662,31.51153544463681,117.24492578539322,古城古镇|5A景区,建于春秋战国时期的水乡古镇|欣赏古镇徽派建筑,0.0,0,4.3,2095,https://youimg1.c-ctrip.com/target/0101s120005wqe27b5DA9.jpg
包公园,Baogong Park,66484,88311,31.857306,117.294832,4A景区|城市公园,家喻户晓的青天三铡刀,0.0,0,4.5,2264,https://youimg1.c-ctrip.com/target/01058120005wqx3of7F29.jpg
合肥融创乐园,Hefei Rongchuang Park,1941985,28524271,31.69743,117.305114,主题乐园|4A景区,融合徽派文化与现代科技,0.0,0,4.3,1023,https://youimg1.c-ctrip.com/target/10081c000001dttlqC059.jpg
深业半汤御泉庄温泉,Bantang Yuquanzhuang Hot Spring,136324,97906,31.657758176438602,117.92153116153764,泡温泉,,0.0,0,4.6,1198,https://youimg1.c-ctrip.com/target/10061f000001gqxbv3F09.jpg
逍遥津公园,Xiaoyaojin Park,10536,78225,31.868989,117.295049,城市公园,明清时官僚地主的私家花园,0.0,0,4.3,1274,https://youimg1.c-ctrip.com/target/0100i1200089iyocwDA2A.jpg
姥山岛,Laoshan Island,17484,79658,31.563604339706767,117.44462732588049,4A景区|岛屿/半岛,巢湖明珠,0.0,0,4.4,751,https://youimg1.c-ctrip.com/target/100c0s000000hst4hFFEC.jpg
徽园,Hui Garden,64781,87848,31.783356,117.218772,4A景区|园林花园,汇聚安徽17城微缩景观,0.0,0,4.1,1255,https://youimg1.c-ctrip.com/target/35041c000001da5ufF9F0.jpg
合肥植物园,Hefei Arboretum,1415486,13581698,31.875177,117.201566,4A景区|植物园,四季皆有花展,0.0,0,4.5,630,https://youimg1.c-ctrip.com/target/10061f000001gqv3p1372.jpg
合肥野生动物园,Hefei Wild Animal Park,66990,88456,31.835447,117.169502,4A景区|动物园,漫步高架桥俯瞰散养猛兽,0.0,0,4.3,519,https://youimg1.c-ctrip.com/target/0102d120005wt4aum687E.jpg
宝贝地球村,Baby's World,70057,10795004,31.821958079887303,117.23259549795362,儿童乐园,青少年体验教育基地,0.0,0,4.5,628,https://youimg1.c-ctrip.com/target/0103l1200081rvg9uC6AA.webp
紫微洞,Ziwei Cave,17487,79661,31.646471,117.868748,洞穴|4A景区|地质地貌,典型的喀斯特溶洞,0.0,0,4.4,611,https://youimg1.c-ctrip.com/target/100e1f000001gt1jf098B.jpg
欢乐岛,Happy Island,64784,87850,31.781589,117.216833,游乐场,教育与休闲结合的度假基地,0.0,0,4.1,507,https://youimg1.c-ctrip.com/target/0303v1200085rtolc4267.jpg
祥源花世界,Xiangyuanhua World,5382356,61584775,31.694203394441313,117.13382317001074,4A景区|游乐场,合肥版沉浸式秘密花园,0.0,0,4.5,351,https://youimg1.c-ctrip.com/target/01010120009cfzopr93A8.jpg
中国非物质文化遗产园,China Intangible Cultural Heritage Park,138865,99910,32.003255,117.115822,4A景区|文化游,展示传统民俗工艺,0.0,0,4.1,608,https://youimg1.c-ctrip.com/target/350o1c000001cmigl4803.jpg
三国遗址公园,Three Kingdoms Site Park,66510,88316,31.911302,117.131477,4A景区|古迹|城市公园,览三国军事城堡风貌,0.0,0,4.1,370,https://youimg1.c-ctrip.com/target/10091c000001de1rl7643.jpg
金孔雀温泉旅游度假村,Golden Peacock Hot Spring Resort,136557,98107,31.319226,117.103121,4A景区|泡温泉|度假村,园林式露天温泉,0.0,0,4.4,447,https://youimg1.c-ctrip.com/target/0101w120008zfcnx69D8E.jpg
包公祠,Memorial Temple of Lord Bao,10954,78363,31.85608201152439,117.29074997831957,祠堂,展示包公清廉公正无私,0.0,0,4.3,411,https://youimg1.c-ctrip.com/target/01053120005wr7vq7A738.jpg
银屏山,Yinping Mountain,17486,79660,31.493696282891417,117.80369115759862,山岳,银屏山,0.0,0,4.2,226,https://youimg1.c-ctrip.com/target/100c1f000001gsxxi3ABC.jpg
岱山湖,Daishan Lake,66452,88300,32.155432,117.86507,湖泊|4A景区,万亩湖面清波荡漾,0.0,0,4.0,161,https://youimg1.c-ctrip.com/target/35010x000000lejow99B0.jpg
