名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
晋祠博物馆,Jinci Museum,50464,83199,37.70886858835231,112.44174975622894,4A景区|古迹|博物馆,晋国宗祠园林建筑群,0.0,0,4.5,4595,https://youimg1.c-ctrip.com/target/01014120009hblj3t62B1.jpg
太原方特东方神画,,117065593,117065593,38.00765626728396,112.59283494835138,主题乐园,,0.0,0,4.8,1459,https://youimg1.c-ctrip.com/target/010541200096h20nc3269.jpg
柳巷,Liu Lane,133729,95671,37.872571,112.568093,特色街区,太原历史悠久的繁华商业街,0.0,0,4.5,1525,https://youimg1.c-ctrip.com/target/0103m120009dlwpamA166.jpg
山西博物院,Shanxi Provincial Museum,66076,88189,37.865475,112.5312,博物馆,荟萃了山西文物的精华,0.0,0,4.7,1347,https://youimg1.c-ctrip.com/target/100u1f000001gq9bh9986.jpg
太原动物园,Taiyuan Zoo,9692,77972,37.910684,112.5833,4A景区|动物园,观赏众多珍稀动物,0.0,0,4.3,810,https://youimg1.c-ctrip.com/target/10071f000001h7092A63C.jpg
中国煤炭博物馆,Chinese Coal Museum,50498,83217,37.857085,112.528539,4A景区|博物馆,再现地下模拟矿井,0.0,0,4.5,1099,https://youimg1.c-ctrip.com/target/0101j120009dwspbn5584.jpg
蒙山大佛,Mengshan Giant Buddha,113580,92189,37.780755350965904,112.44711469414615,4A景区|古迹|雕塑雕像,太原市郊的千年大佛,0.0,0,4.3,508,https://youimg1.c-ctrip.com/target/01074120008aaet5jF3C3.jpg
双塔寺,Shuangta Temple (Twin Pagoda Temple),9678,77967,37.84739250638861,112.59651745855831,寺庙|古塔,太原市的标志性建筑之一,0.0,0,4.5,477,https://youimg1.c-ctrip.com/target/fd/tg/g2/M06/B0/F4/CghzgVWnWEmASNyJAChrEAPhCd8754.jpg
太原植物园,Taiyuan Botanical Garden,69532782,69532782,37.74592,112.467823,植物园,,0.0,0,4.3,257,https://youimg1.c-ctrip.com/target/01A51120008fayzxqDB7D.jpg
太山,Tai Mountain,1833913,24653098,37.75107606490573,112.44259097224989,山岳,以深秋红叶著称,0.0,0,4.7,235,https://youimg1.c-ctrip.com/target/1A0i1f000001gl0h42E43.jpg
迎泽公园,Yingze Park,9672,77964,37.853547,112.561309,湖泊,太原市民休闲娱乐的地方,0.0,0,4.5,523,https://youimg1.c-ctrip.com/target/10061f000001gqviz33FC.jpg
青龙古镇,Qinglong Ancient Town,1713700,22866346,38.025026,112.63045,古城古镇,有典型的明清风格古建筑,0.0,0,4.2,307,https://youimg1.c-ctrip.com/target/100q1f000001grm9i0AB0.jpg
纯阳宫,Chunyang Palace,9679,77968,37.862391,112.572311,道观,在道观中观赏古老的文物,0.0,0,4.3,356,https://youimg1.c-ctrip.com/target/0103d120008jzblkw97C7.jpg
汾河公园,Fenhe Park,17920,80017,37.87970874084621,112.53518552192062,4A景区|城市公园,欣赏汾河的落日美景,0.0,0,4.6,310,https://youimg1.c-ctrip.com/target/10031f000001gs29k7845.jpg
东湖醋园,Donghu Vinegar Garden,113573,92188,37.878477,112.596075,4A景区,观看老陈醋的酿造过程,0.0,0,4.5,358,https://youimg1.c-ctrip.com/target/100f1f000001gqben48E3.jpg
汾河二库国家水利风景区,Fenhe Erku National Water Conservancy Scenic Area,113576,10535064,37.989491,112.384691,水利工程,有多种娱乐项目的避暑地,0.0,0,4.5,194,https://youimg1.c-ctrip.com/target/100w1f000001gwd0o4497.jpg
汾河景区,Fenhe River Scenic,50499,83218,37.893579,112.535883,4A景区|河流,景色迷人的河滨景区,0.0,0,4.6,194,https://youimg1.c-ctrip.com/target/10031f000001gs1lq0F72.jpg
榆次老城,Yuci Old Town,74731,89505,37.676929,112.74996,古城古镇|古迹|4A景区,古城中欣赏精彩的民俗表演,0.0,0,4.3,608,https://youimg1.c-ctrip.com/target/0106312000682tt664092.jpg
天龙山石窟,Tianlongshan Grottoes,50470,83204,37.73704087106943,112.38355061852494,石窟|古迹|雕塑雕像,以小而精著称的千年石窟,0.0,0,4.4,141,https://youimg1.c-ctrip.com/target/10021f000001gxefz620B.jpg
太原森林公园,Taiyuan Forest Park,9769,77989,37.909078,112.533847,4A景区|城市公园,园内有高尔夫球场、狩猎场,0.0,0,4.5,116,https://youimg1.c-ctrip.com/target/010741200085mtrrf26A4.jpg
万柏林生态园,Wanbolin Ecological Garden,133733,95675,37.83514635343744,112.46632944742035,森林|城市公园,距市区较近的森林绿地之一,0.0,0,4.5,115,https://youimg1.c-ctrip.com/target/10051f000001gsss59978.jpg
太山龙泉寺,Taishan Longquan Temple,50469,83203,37.751059,112.442576,寺庙,宗教圣地，始于唐朝的古刹,0.0,0,4.7,106,https://youimg1.c-ctrip.com/target/0102s120008h3s1xj2975.jpg
华宇百花谷,,2519258,36916120,37.80701,112.546842,特色街区,,0.0,0,4.4,126,https://youimg1.c-ctrip.com/target/10071f000001h70lc85D9.jpg
晋阳湖,Jinyang Lake,133730,95672,37.77350695524327,112.50375767397136,湖泊,微波荡漾、杨柳成荫,0.0,0,4.5,79,https://youimg1.c-ctrip.com/target/100t1f000001gq9kk21F6.jpg
天龙山景区,Tianlong Mountain Scenic Area,113561,92184,37.733659,112.380902,石窟,欣赏隋唐时期的精美洞窟,0.0,0,4.3,106,https://youimg1.c-ctrip.com/target/100i0t000000in9o490D0.jpg
玉泉山城郊森林公园,Yuquanshan Chengjiao Forest Park,1835176,24654335,37.897127,112.45569,城市公园,春季樱花美，登山视野开阔,0.0,0,4.5,44,https://youimg1.c-ctrip.com/target/0100g120008ov2l61443C.jpg
巴克创奇梦工厂,Buckcraft DreamWorks,2497136,35584412,37.721388,112.601673,主题乐园,既有科技体验又有趣味娱乐,0.0,0,4.3,69,https://youimg1.c-ctrip.com/target/10031f000001gs1jv8D56.jpg
常家庄园,The Mansion of the Changs,74894,89568,37.545301,112.637775,4A景区|园林花园,充满了南国秀色的北方庭院,0.0,0,4.8,1064,https://youimg1.c-ctrip.com/target/010451200067zujpa894C.jpg
太原古县城景区,,5715153,120329235,37.72807377561098,112.48701830685148,古城古镇,,0.0,0,3.1,169,https://youimg1.c-ctrip.com/target/01058120008n8mnoy7D00.jpg
乌金山国家森林公园,Wujin Mountain National Forest Park,74756,89521,37.882172,112.776731,4A景区|森林|山岳,太行山中的绿色天地,0.0,0,4.4,147,https://youimg1.c-ctrip.com/target/0102v120008sgk6jx64BA.jpg
崛围山景区,Juewei Mountain Scenic Area,17922,80018,37.96702,112.444635,山岳,,0.0,0,4.4,84,https://youimg1.c-ctrip.com/target/100i1900000185xr3182F.jpg
山西科技馆,Shanxi Science and Technology Museum,1833388,24652547,37.80361106061299,112.535755833252,科技馆,互动式趣味科技馆,0.0,0,4.7,56,https://youimg1.c-ctrip.com/target/100h1f000001grsu3603C.jpg
乔家大院,Qiao Family Courtyard,74743,89514,37.406468,112.437418,历史建筑|博物馆,乔家大院拍摄地,0.0,0,4.4,5246,https://youimg1.c-ctrip.com/target/10040z000000ndfep8F77.jpg
小西沟文旅康养小镇,"Xiaoxigou Culture, Travel and Healthcare Town",65182862,65182862,37.83258319572324,112.69344303558894,4A景区|小镇,,0.0,0,4.7,28,https://youimg1.c-ctrip.com/target/01A3k1200006yokhwF1D2.jpg
沙沙哗啦海洋馆,Splash Splash Aquarium,4833899,55887197,37.80677318474085,112.5477377005798,水族馆,,0.0,0,3.6,31,https://youimg1.c-ctrip.com/target/350k1b000001bp0jk17F2.jpg
太原市食品街,The Food Street of Taiyuan,1675186,18458838,37.86966897106317,112.56243325762894,特色街区,在仿古街道中品尝太原美食,0.0,0,4.6,316,https://youimg1.c-ctrip.com/target/01047120005xvk69i825F.jpg
圣母殿,Shengmu Hall,50484,83213,37.709501851711515,112.44116898845037,祠堂,建于北宋时期的古建筑,0.0,0,4.7,227,https://youimg1.c-ctrip.com/target/100e1f000001gt1xq2963.jpg
后沟古村,Hougou Ancient Village,140836,101437,37.757765,112.915281,4A景区|古村,欣赏别致的古戏台与古神庙,0.0,0,4.3,146,https://youimg1.c-ctrip.com/target/100g1f000001gr0cj1600.jpg
难老泉,Nanlao Spring,17917,80015,37.709103,112.44092,泉,水温恒温的不冻泉,0.0,0,4.5,193,https://youimg1.c-ctrip.com/target/100b11000000rigj881C2.jpg
迎泽大街,Yingze Street,77454,89900,37.859737396240234,112.5627212524414,特色街区,太原市的景观大道,0.0,0,4.5,176,https://youimg1.c-ctrip.com/target/01005120009dcvarjDC22.jpg
学府公园,Xuefu Park (South Gate),113548,10517939,37.81021420788917,112.57289693782761,城市公园,环境清幽的街头小公园,0.0,0,4.5,163,https://youimg1.c-ctrip.com/target/100l1f000001gqeod65EF.jpg
乌金山狂欢谷,Wujin Mountain Carnival Valley,1410449,13236179,37.842035630042645,112.78490743667459,主题乐园,建在山岭之间的游乐园,0.0,0,4.2,297,https://youimg1.c-ctrip.com/target/0102t120008sgj6r1AA19.jpg
文瀛儿童公园,Wenying'ertong Park,9664,77962,37.865187,112.570691,城市公园,历经数百年，文物古迹众多,0.0,0,4.4,147,https://youimg1.c-ctrip.com/target/0105s120009412wwzAB6B.jpg
五一广场,May First Square,1833860,24653106,37.861477,112.573726,广场,太原人心中璀璨的明珠,0.0,0,4.5,146,https://youimg1.c-ctrip.com/target/0102o120009cnthxc3D4A.jpg
鱼沼飞梁,Fish Pond Flying Beam,50481,83212,37.707751,112.44752,古迹,晋祠内造型精致的古老桥梁,0.0,0,4.6,143,https://youimg1.c-ctrip.com/target/10091f000001gsobn407D.jpg
晋阳湖公园,,112646753,112646753,37.768115,112.50372,湖泊,,0.0,0,4.8,42,https://youimg1.c-ctrip.com/target/01A2r120008o6ne1nE439.jpg
山西大学,Shanxi University,1833343,24652542,37.799808686351625,112.58727237869428,学府,曾培养出众多历史名人,0.0,0,4.8,137,https://youimg1.c-ctrip.com/target/010401200092lmy8iA250.jpg
崇善寺,Chongshan Temple,9680,77969,37.867118,112.579865,寺庙,香火很旺有明代塑像的寺庙,0.0,0,4.4,146,https://youimg1.c-ctrip.com/target/0105o120008oupnmhAA9A.jpg
汾河二库,Fenhe Reservoir,70351214,70351214,37.989532,112.384773,水利工程,,0.0,0,0.0,0,https://youimg1.c-ctrip.com/target/01024120008dgggdg4354.jpg
玉门河公园,Yumenhe Park (East Gate),1676131,18515639,37.866444,112.508004,城市公园,内有儿童活动区,0.0,0,4.5,115,https://youimg1.c-ctrip.com/target//100p19000001627570DD0.jpg
云顶山,Yunding Mountain,4744346,55704159,37.87654353595006,111.59923614493665,山岳,山间怪石嶙峋，涧水潺潺,0.0,0,5.0,10,https://youimg1.c-ctrip.com/target/10061f000001gqx0q20F8.jpg
龙潭公园,Longtan Park,113574,10535062,37.88242595128518,112.55357062270443,城市公园,内有美丽的生态画廊,0.0,0,4.8,114,https://youimg1.c-ctrip.com/target/10061c000001dmlhpBB8D.jpg
周柏唐槐,Zhou-bai Tang-huai,50463,83198,37.706776,112.44245,古迹,晋祠内的千年古木,0.0,0,4.5,98,https://youimg1.c-ctrip.com/target/0105k120008dgg3e5193F.jpg
漪汾公园,Yifen Park,113575,10535063,37.880142,112.519099,城市公园,,0.0,0,4.7,93,https://youimg1.c-ctrip.com/target/01A4a120009e1kx17FCE6.jpg
华辰农耕园,Huachen Farming Garden,69768,10794715,37.61290230481,112.562625033882,文化旅游区,体验采摘的乐趣,0.0,0,4.7,89,https://youimg1.c-ctrip.com/target/35010u000000ja49l9706.jpg
太原理工大学,Taiyuan University of Science and Technology,1833889,24653102,37.86174513067913,112.52218564533186,学府,,0.0,0,4.7,81,https://youimg1.c-ctrip.com/target/0105a120009dlhfq1EC62.jpg
