名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
成都大熊猫繁育研究基地,Chengdu Research Base of Giant Panda Breeding,4229,76342,30.737277,104.144683,4A景区|动物园,萌哒哒的国宝在等你,0.0,0,4.6,61885,https://youimg1.c-ctrip.com/target/100910000000p33rk361D.jpg
都江堰景区,Dujiangyan Irrigation System,4597,76447,31.00162,103.608745,水利工程|5A景区,延续两千年的水利工程,0.0,0,4.7,29938,https://youimg1.c-ctrip.com/target/100g0z000000nd29yD334.jpg
青城山,Qingcheng Mountain,62960,87301,30.905436093554805,103.56279247070854,5A景区|山岳|道观,探访道教发源地,0.0,0,4.6,14440,https://youimg1.c-ctrip.com/target/0103t1200087ctezh5DC1.jpg
成都海昌极地海洋公园,Chengdu Haichang Polar Ocean Park,85930,90393,30.494217,104.073404,4A景区|水族馆,近距离接触海洋极地动物,0.0,0,4.6,14222,https://youimg1.c-ctrip.com/target/10031f000001gry9m2387.jpg
杜甫草堂,Du Fu's Thatched Cottage,4226,76340,30.66006,104.028547,4A景区|名人故居,访杜甫旧居朝圣文化圣地,0.0,0,4.6,15702,https://youimg1.c-ctrip.com/target/0106k120008s8q2q0DB58.jpg
成都欢乐谷,Chengdu Happy Valley,65834,88132,30.720904,104.034831,主题乐园|4A景区,体验惊险刺激的游戏项目,0.0,0,4.6,9830,https://youimg1.c-ctrip.com/target/0100i120008aim0tc16E9.jpg
武侯祠,Wuhou Shrine,4227,76341,30.646085,104.047993,4A景区|祠堂,祭拜诸葛亮刘备品三国文化,0.0,0,4.4,13259,https://youimg1.c-ctrip.com/target/0104w1200094jgc7232B7.jpg
西岭雪山,Xiling Snow Mountain,4349,76383,30.684824883283454,103.18887114736687,4A景区|雪山,漫山遍野的杜鹃花|冰雪游乐的好地方,0.0,0,4.6,9178,https://youimg1.c-ctrip.com/target/100n1f000001gpdpk9AAB.jpg
宽窄巷子,Kuanzhai Alley,63456,10559156,30.663699291802622,104.05333761452924,特色街区,老街巷中感受时尚慢生活,0.0,0,4.4,13599,https://youimg1.c-ctrip.com/target/100r1f000001gon9mBC5D.jpg
锦里古街,Jinli Ancient Street,48862,10558940,30.644804,104.049921,特色街区,古老繁华的商业街区,0.0,0,4.4,15183,https://youimg1.c-ctrip.com/target/0105y1200086whywyF282.jpg
金沙遗址博物馆,Jinsha Site Museum,48863,82723,30.681705,104.012646,4A景区|博物馆,欣赏神秘的太阳神鸟,0.0,0,4.7,10496,https://youimg1.c-ctrip.com/target/10090z000000njjop7FE6.jpg
成都动物园,Chengdu Zoo,119895,10556867,30.71007,104.105997,动物园,看看金丝猴馆和熊猫馆,0.0,0,4.7,8060,https://youimg1.c-ctrip.com/target/10071f000001h6ysl2959.jpg
黄龙溪欢乐田园,Huanglongxi Happy Pastoral,5100501,57153337,30.332476447838314,103.98301626594454,植物园,梯田、牧场、茶山美不胜收,0.0,0,4.9,6160,https://youimg1.c-ctrip.com/target/0100s120009fpdncc6C0B.jpg
国色天乡陆地乐园,Floraland,1410828,13280701,30.722492500005526,103.82256351808877,主题乐园,科技主题家庭式游乐园,0.0,0,4.5,4494,https://youimg1.c-ctrip.com/target/10050u000000j0imy925C.jpg
春熙路,Chunxi Road,138472,99590,30.656877129881817,104.07796531787207,特色街区,成都代表性繁华商业街,0.0,0,4.6,5617,https://youimg1.c-ctrip.com/target/100410000000owden3387.jpg
成都博物馆,Chengdu Museum New Hall,2006697,30752363,30.657326,104.06371,博物馆,馆藏20余万件展品,0.0,0,4.8,2037,https://youimg1.c-ctrip.com/target/350j1c000001cpign4A54.jpg
蜀风雅韵川剧院,Shufeng Yayun Sichuan Opera House,138459,10759015,30.6601410397929,104.04623869046891,剧场/剧院,体验地道的川味民间艺术,0.0,0,4.7,4852,https://youimg1.c-ctrip.com/target/350p1c000001cicdd66CC.jpg
环球中心海洋乐园,Paradise Island Ocean Park,1407638,10569799,30.56896348891646,104.06432423199124,水上乐园,品质室内水上乐园,0.0,0,4.6,2944,https://youimg1.c-ctrip.com/target/0101n120008izv0108DC5.jpg
漫花庄园,Manhua Manor,1673197,18450855,30.761766,104.141061,花海,踏青赏花网红打卡地|适合摄影爱好者,0.0,0,4.4,1666,https://youimg1.c-ctrip.com/target/01012120008yqp0x62A88.jpg
成都融创乐园	,Chengdu Sunac Land,5711074,95050094,30.954686267757523,103.62268267159267,主题乐园,一站式、全龄层欢乐嘉年华,0.0,0,4.5,2172,https://youimg1.c-ctrip.com/target/0101t1200082p18139E16.jpg
南湖梦幻岛,Nanhu Dream Land,85925,90392,30.501653,104.054519,游乐场,畅玩各式游乐设备,0.0,0,4.5,2512,https://youimg1.c-ctrip.com/target/0105w120008gy5kjpDDCC.jpg
海滨城浩海立方海洋公园,Cube Oceanarium,1696842,20361759,30.603409,103.908859,水族馆,超大玻璃海景观景墙,0.0,0,4.6,2365,https://youimg1.c-ctrip.com/target/0103a1200097mt1a735EB.jpg
花舞人间,Flower Dance World,120077,10758759,30.38889354283035,103.79762524270458,4A景区|城市公园,适合亲子的四季赏花胜地,0.0,0,4.5,2577,https://youimg1.c-ctrip.com/target/01040120009frfm0kA446.jpg
