名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
西湖,West Lake,49894,82922,30.222576434522402,120.12152553428021,湖泊|5A景区,杭州之美的代言人,0.0,0,4.7,31820,https://youimg1.c-ctrip.com/target/10070x000000lwyw4F9E0.jpg
杭州宋城,Hangzhou Songcheng Park,4081,10558619,30.169629950401028,120.09891170772552,主题乐园|4A景区,看《宋城千古情》演出,0.0,0,4.6,21520,https://youimg1.c-ctrip.com/target/010131200086oaf0w7574.jpg
西溪国家湿地公园,Xixi National Wetland Park,25481,81715,30.267232960371704,120.06492119061379,5A景区|湿地,坐船漫游芦苇荡,0.0,0,4.5,22201,https://youimg1.c-ctrip.com/target/10090y000000lzpbjA050.jpg
灵隐寺,Lingyin Temple,2040,75771,30.24071229211438,120.10138280221821,寺庙,活佛济公的出家地,0.0,0,4.6,14011,https://youimg1.c-ctrip.com/target/10090n000000e2tjiAAF1.jpg
千岛湖景区,Thousand Island Lake,135831,97470,29.546711934433116,119.05365291521636,湖泊|岛屿/半岛|5A景区,徜徉在星罗密布的岛屿中 ,0.0,0,4.4,8736,https://youimg1.c-ctrip.com/target/10071f000001h6ymy0856.jpg
杭州野生动物世界,Hangzhou Safari Park,25548,81730,30.153325,119.984815,4A景区|动物园,寓教于乐亲近小动物,0.0,0,4.6,8616,https://youimg1.c-ctrip.com/target/0104h12000836qc8a33B0.jpg
杭州长乔极地海洋公园,Hangzhou Changqiao Polar Ocean Park,110080,91606,30.142020337078765,120.2265448986119,主题乐园|4A景区,亲近了解可爱的海洋生物,0.0,0,4.5,9629,https://youimg1.c-ctrip.com/target/01074120008wej32842E0.jpg
灵隐飞来峰景区,Hangzhou Lingyin Temple and Feilai Peak Scenic Spot,48020,82527,30.241252,120.101182,寺庙|山岳,观石刻造像在古寺参佛礼拜,0.0,0,4.6,13370,https://youimg1.c-ctrip.com/target/010571200099w8qg652D8.jpg
杭州烂苹果乐园,Hangzhou Crazy Apple Land,135703,97345,30.16087268595303,120.24490046292932,儿童乐园,适合小朋友的高科技游乐场,0.0,0,4.7,10226,https://youimg1.c-ctrip.com/target/100m1f000001gzo6bAA5F.jpg
杭州乐园,Hangzhou Paradise Park,16621,10558747,30.160858,120.244866,主题乐园|4A景区,惊险刺激的大型主题公园,0.0,0,4.7,6994,https://youimg1.c-ctrip.com/target/0105b1200089tt0uy82A2.jpg
雷峰塔,Leifeng Tower,2033,75764,30.230882,120.148809,4A景区|古迹,拍西湖全貌赏塔楼倩影,0.0,0,4.5,7529,https://youimg1.c-ctrip.com/target/100v0x000000lrchnB808.jpg
千岛湖中心湖区,"Thousand Island Lake, Central Lake Area",143589,10519520,29.594516156677432,119.01315387950714,湖泊|岛屿/半岛,乘船领略山水锦绣,0.0,0,4.3,6857,https://youimg1.c-ctrip.com/target/100i1g000001h8r44FAA1.jpg
印象西湖《最忆是杭州》演出,Impression West Lake,67402,10758551,30.251445,120.135119,演出,在西湖上表演江南传说,0.0,0,4.4,7127,https://youimg1.c-ctrip.com/target/0106f120008jb895v5575.jpg
垂云通天河,Chuiyun Tongtian River,49158,82827,29.92571,119.533035,4A景区|河流,乘小船穿梭地下暗河,0.0,0,4.5,4881,https://youimg1.c-ctrip.com/target/0100u120009i06a9o8DF7.jpg
大明山景区,Damingshan Scenic Area,4140,76312,30.086277536092652,118.99204220994898,4A景区|山岳,探万米岩洞走悬空栈道,0.0,0,4.6,4042,https://youimg1.c-ctrip.com/target/01048120008oul5vlDB2C.jpg
杭州动物园,Hangzhou Zoo,26649,82019,30.212181,120.133059,动物园,观看精彩的动物杂技表演,0.0,0,4.6,3831,https://youimg1.c-ctrip.com/target/1A0r1b000001aq1rzF566.jpg
大奇山国家森林公园,Daqishan National Forest Park,49155,82826,29.755721008351504,119.73145101083294,森林|山岳|3A景区,适合休闲游览综合性森林公园|景色秀气的小山,0.0,0,4.5,3342,https://youimg1.c-ctrip.com/target/100c0w000000kaxvaFECE.jpg
杭州开元森泊度假乐园,Hangzhou Kaiyuan Senpo Dujia Amusement Park,5012418,56376237,30.133503,120.222695,度假村|水上乐园,住宿餐饮游乐度假区,0.0,0,4.9,2952,https://youimg1.c-ctrip.com/target/0103k120009g7fs3eDEDA.png
瑶琳仙境,Yaolin Fairyland,49119,82815,29.886421,119.539378,洞穴|4A景区,喀斯特溶洞景观,0.0,0,4.4,3659,https://youimg1.c-ctrip.com/target/1A0916000000z3zc287AB.jpg
千岛湖森林氧吧,Thousand Island Lake Forest Oxygen Bar,52366,84476,29.589441,119.218197,湖泊|森林,天然氧吧体验山间野趣,0.0,0,4.3,3621,https://youimg1.c-ctrip.com/target/0106u1200087d1tyuA5DC.jpg
严子陵钓台,Yan Ziling Fishing Platform,49188,82836,29.69742675178614,119.65935190129183,4A景区|古迹|山岳,乘船游览富春江,0.0,0,4.2,1756,https://youimg1.c-ctrip.com/target/0100a120008xrv0wnCED9.jpg
龙门古镇,Longmen Ancient Town,49721,82861,29.900293,119.951088,4A景区|古城古镇,电影《富春山居图》取景地,0.0,0,4.2,1617,https://youimg1.c-ctrip.com/target/100dhk1439jrg7joxBE0C.jpg
天目山景区,Tianmu Mountain Scenic Spot,74700,89490,30.347796150071716,119.42996976231473,4A景区|山岳,古树参天的天然氧吧,0.0,0,4.4,1556,https://youimg1.c-ctrip.com/target/350v0w000000kzxde3216.jpg
岳王庙景区,Yuewang Temple Scenic Area,140707,101325,30.252045,120.134889,寺庙|陵园,民族英雄岳飞父子墓地,0.0,0,4.6,2542,https://youimg1.c-ctrip.com/target/1A0l13000000ufb1z647B.jpg
杭州浪浪浪水公园,Hangzhou Wave Water Park,1411106,13324621,30.16096591542228,120.24534895832699,水上乐园,丰富的大型水上游玩项目,0.0,0,4.7,3329,https://youimg1.c-ctrip.com/target/01020120008rknuwjD5B3.jpg
杭州森泊水乐园,Senpoheng Wenshui Amusement Park,5251405,60698817,30.133512,120.222689,水上乐园,摆脱四季束缚的恒温水乐园,0.0,0,4.8,1440,https://youimg1.c-ctrip.com/target/100g1f000001gr0p4B117.jpg
三潭印月,Three Pools Mirroring the Moon,2038,75769,30.238679,120.145395,岛屿/半岛,登岛用全新视角赏西湖美景,0.0,0,4.5,1747,https://youimg1.c-ctrip.com/target/0100o1200087ekrogCE19.jpg
大慈岩风景区,Daci Cliffs Scenic Area,49761,82866,29.312441,119.291343,4A景区|寺庙|山岳,行走半山腰的悬空栈道,0.0,0,4.5,1659,https://youimg1.c-ctrip.com/target/0100v120009fmi58s689C.jpg
九溪烟树,Nine Creeks in the Misty Forest,2024,75755,30.202738,120.113285,河流|山岳,雨后树林烟雾朦胧煞是好看,0.0,0,4.5,1339,https://youimg1.c-ctrip.com/target/0101e120006ume2hy6C4E.jpg
河坊街,Hefang Street Sceneic Area,1357299,10568411,30.239945926695615,120.16926740433755,特色街区,,0.0,0,4.4,2743,https://youimg1.c-ctrip.com/target/0106l120009d3ckapC0AC.jpg
六和塔,Liuhe Pagoda,2039,75770,30.19609,120.131483,古塔,登塔眺望钱塘江,0.0,0,4.6,2047,https://youimg1.c-ctrip.com/target/0106n120008ig5mow5D6B.jpg
湘湖,Xiang Lake,47184,82480,30.130178163810317,120.2150687052963,湖泊|4A景区,漫步于白墙黑瓦的古村落,0.0,0,4.6,1333,https://youimg1.c-ctrip.com/target/100c1f000001gsz868D84.jpg
胡雪岩故居,Hu Xueyan's Former Residence,25535,81729,30.237282,120.17286,名人故居,晚清红顶巨商胡雪岩豪宅,0.0,0,4.7,1962,https://youimg1.c-ctrip.com/target/tg/023/903/191/4b9be593445445b7960c7aa8cfa27f70.jpg
太湖源,Taihuyuan Scenic Area,4137,76309,30.407385,119.559408,湖泊|4A景区|山岳,纯净的山涧、溪水,0.0,0,4.3,1423,https://youimg1.c-ctrip.com/target/100k1f000001gugfeACC1.jpg
