名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
石家庄市动物园,Shijiazhuang City Zoo,1409077,10794403,38.062689,114.305014,动物园,观赏珍禽异兽的好地方,0.0,0,4.7,2525,https://youimg1.c-ctrip.com/target/100c0r000000hfbx451C2.jpg
隆兴寺,Longxing Temple,9505,77889,38.144449,114.582547,4A景区|寺庙,始建于隋朝的皇家寺庙,0.0,0,4.7,1907,https://youimg1.c-ctrip.com/target/0106y120005wbjji2F3EE.jpg
赵州桥,Zhaozhou Bridge,9493,77877,37.72250381909014,114.76889682583659,4A景区|古迹|桥,单孔坦弧敞肩石拱桥典范,0.0,0,4.3,1742,https://youimg1.c-ctrip.com/target/0100h120005w5gxfs277B.jpg
漫山花溪谷,,1974228,30051677,38.69059552562564,113.8768026862447,草原|森林,上百种花卉竞相开放,0.0,0,4.5,1098,https://youimg1.c-ctrip.com/target/100g1f000001gr0dxA674.jpg
黄金寨原生态旅游区,Golden Village Ecological Tourist Area,142179,10548170,38.435666,114.063528,,体验陡峭山腰上的悬壁火车,0.0,0,4.8,1261,https://youimg1.c-ctrip.com/target/100811000000rdger6D37.jpg
白鹿温泉,Bailu Hot Springs,136292,97876,38.249608,113.981541,4A景区|泡温泉,华北著名高品质温泉度假景区,0.0,0,4.7,1121,https://youimg1.c-ctrip.com/target/0100t120008b50esvF62A.jpg
抱犊寨,Baoduzhai,9524,77893,38.08838110413216,114.27706047809527,4A景区|山岳,山势陡峻的军事山寨,0.0,0,4.3,1007,https://youimg1.c-ctrip.com/target/0101h120008jlfbzaA552.jpg
石家庄海洋公园,Shijiazhuang Sea World,1920960,27371436,38.034408,114.473442,水族馆,欣赏多姿多彩的海洋生物,0.0,0,4.5,899,https://youimg1.c-ctrip.com/target/100a1b000001b4a6w67DF.jpg
天山海世界,Tianshan Sea World,69561,10794508,38.038226,114.607262,4A景区|水上乐园,超大型室内水上娱乐中心,0.0,0,4.5,797,https://youimg1.c-ctrip.com/target/100o0u000000j6duk6AC6.jpg
荣国府与宁荣街,Rongguofu and Ningrong Street,9646,77952,38.147947,114.579304,历史建筑,老版《红楼梦》取景地,0.0,0,4.4,1007,https://youimg1.c-ctrip.com/target/1A0u12000000ri86b3A4A.jpg
河北博物院,Hebei Provincial Museum,1469082,13790271,38.04062376304447,114.5226928739376,博物馆,了解河北地区的悠久历史,0.0,0,4.7,661,https://youimg1.c-ctrip.com/target/100k0d0000006qxedBB49.jpg
沕沕水生态风景区,Wuwushui Ecological Scenic Area,136424,97991,38.198148,113.750901,4A景区|瀑布|山岳,山清水秀的自然风景区,0.0,0,4.4,478,https://youimg1.c-ctrip.com/target/01059120008j0mtb372C6.jpg
辛玛王国主题乐园,Xinma Kingdom Theme Park,1408984,10790700,38.067816,114.308148,主题乐园,适合全家玩耍的娱乐天地,0.0,0,4.6,378,https://youimg1.c-ctrip.com/target/350211000000ro7z4B547.jpg
驼梁风景区,Tuoliang Scenic Area,9694,77974,38.72538714152256,113.81808864739281,4A景区|森林|山岳,在峡谷森林间登山漫步,0.0,0,4.6,491,https://youimg1.c-ctrip.com/target/10071f000001h6ycd0D92.jpg
石家庄植物园,Shijiazhuang Botanical Garden,113475,10534974,38.107083502845086,114.38191625842133,植物园,多功能现代化的植物园,0.0,0,4.5,376,https://youimg1.c-ctrip.com/target/100s1f000001gx4cjE734.jpg
福慧山·红崖谷,Hongya Valley,2023623,31075336,38.201046,113.958813,峡谷|山岳,传统文化与农家风情的集合,0.0,0,4.3,496,https://youimg1.c-ctrip.com/target/100o0f0000007d7n21564.jpg
苍岩山风景区,Mt Cangyan Scenic Area,9494,77878,37.83457341182722,114.1716942465129,4A景区|山岳,内有众多的寺院,0.0,0,4.3,378,https://youimg1.c-ctrip.com/target/100s0n000000e75jzDB35.jpg
河北园博园,Hebei Garden Expo Park,140369,101044,38.144581,114.61385,园林花园|现代建筑|展览馆,展示河北各地的造园艺术,0.0,0,4.5,404,https://youimg1.c-ctrip.com/target/350n0w000000kauw1A145.jpg
天桂山风景区,Tiangui Mountain Scenic Area,9647,77953,38.244891,113.760102,4A景区|山岳|地质地貌,,0.0,0,4.5,365,https://youimg1.c-ctrip.com/target/100v1f000001h1a7fF03B.jpg
五岳寨风景区,Wuyue Village,9499,77883,38.719263607826335,113.86293851925116,4A景区|山岳,观山景的好去处,0.0,0,4.6,291,https://youimg1.c-ctrip.com/target/0100d1200084opqgp0E80.jpg
石家庄极地海洋世界,Shijiazhuang Zoo Aquarium,1789102,23908386,38.060332499312985,114.30276769762705,水族馆,建筑造型独特，梦幻壮观,0.0,0,4.5,227,https://youimg1.c-ctrip.com/target/0103g1200097lnikg8A12.jpg
窦王岭游乐场,Dou Wangling Playground,1411191,13342923,37.944325,114.290516,游乐场,历史文化融合现代游乐,0.0,0,4.4,221,https://youimg1.c-ctrip.com/target/fd/tg/g1/M07/8B/0A/CghzfVWYpoOAMZwYAAK7bx9A4KI205.jpg
柏林禅寺,Bailin Temple,17870,79973,37.74896751651031,114.78441019504426,寺庙,参观古老的大殿与古柏,0.0,0,4.6,330,https://youimg1.c-ctrip.com/target/0103a120005wb1rfo4F8F.jpg
联邦空中花园,Sky Gardens,140387,101054,38.011325,114.554667,园林花园,置身于空中的热带花园中,0.0,0,4.1,238,https://youimg1.c-ctrip.com/target/fd/tg/g5/M01/55/35/CggYr1bYWm-AUvcZAAL8GlqBQk4593.jpg
正定古城墙,Zhengding Ancient City Wall,134647,96524,38.15740379060286,114.57614444355188,古迹,观赏气势恢宏的古老城墙,0.0,0,4.7,273,https://youimg1.c-ctrip.com/target/01033120005w73oj80E52.jpg
萌宠奇缘,,4277348,44775566,38.07759,114.477919,动物园,海陆双栖并存的室内动物园,0.0,0,4.7,200,https://youimg1.c-ctrip.com/target/100i1f000001gp2qr0A7B.jpg
