名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
三坊七巷,Sanfang Qixiang,64505,87778,26.082104,119.296406,名人故居|特色街区|5A景区,明清建筑博物馆,0.0,0,4.5,5637,https://youimg1.c-ctrip.com/target/100u0h0000008w3jr898B.jpg
罗源湾海洋世界,Luoyuan Bay Ocean World,1673847,18463105,26.453993,119.603963,4A景区|水族馆,上百种海洋生物,0.0,0,4.5,3092,https://youimg1.c-ctrip.com/target/100k0q000000gfcmjDDEB.jpg
福州云顶,Fuzhou Yunding,118796,10758748,25.76192879745786,119.01276990123245,峡谷|4A景区|瀑布|山岳,山崖峡谷观光索道,0.0,0,4.4,2097,https://youimg1.c-ctrip.com/target/0100h120008ycbgy1B6CF.jpg
闽江夜游,Min River Night Tour,136821,98301,26.050937,119.314967,乘船游览,品味夜幕下的闽水情怀,0.0,0,4.6,1975,https://youimg1.c-ctrip.com/target/100t12000000rzaka54B5.jpg
贵安欢乐世界,Gui'an Happy World,1410110,13188881,26.244199,119.400702,游乐场,惊险刺激的游戏王国,0.0,0,4.4,1777,https://youimg1.c-ctrip.com/target/10081f000001gqf6i33E4.jpg
鼓山,Drum Mountain,8721,77410,26.07927622563869,119.4108918328252,4A景区|寺庙|山岳,山上的千年古刹香火旺盛,0.0,0,4.4,1127,https://youimg1.c-ctrip.com/target/100s12000000skeq72C20.jpg
平潭岛,Pingtan Island,145142,10521073,25.61351136917471,119.73636968128685,沙滩|岛屿/半岛|海滨,保留着原始海岛风貌,0.0,0,4.5,905,https://youimg1.c-ctrip.com/target/100t10000000pav7vDF0B.jpg
闽越水镇,Minyue Water Town,5623362,70529607,26.130488,119.118294,古城古镇,还原福州百年水乡风貌,0.0,0,4.4,502,https://youimg1.c-ctrip.com/target/0105o1200094yis87EF62.jpg
西湖公园,West Lake Park,8799,77458,26.092003,119.289031,城市公园,福州老牌的城市公园,0.0,0,4.5,1029,https://youimg1.c-ctrip.com/target/100r1f000001goov0898B.jpg
福州国家森林公园,Fuzhou National Forest Park,8797,77457,26.161539364209823,119.28626447730097,4A景区|森林|山岳,全国十大森林公园之一,0.0,0,4.6,805,https://youimg1.c-ctrip.com/target/100g12000000s7fje6EA3.jpg
贵安温泉度假村,Gui'an Hotspring Resort,134198,96103,26.213111321591033,119.41825978981123,泡温泉|度假村,泡汤享受周末温泉时光,0.0,0,4.6,783,https://youimg1.c-ctrip.com/target/100g0z000000nfow02551.jpg
海坛古城,Haitan Ancient City,1685324,18687079,25.4643711429898,119.78636668800716,4A景区|古城古镇,闽越海洋文化主题乐园,0.0,0,4.2,516,https://youimg1.c-ctrip.com/target/100r1d000001e8qss0183.jpg
石竹山风景区,Shizhu Mountain Scenic Area,50307,83166,25.71416,119.297251,4A景区|山岳,秀丽山水中欣赏道教文化,0.0,0,4.5,503,https://youimg1.c-ctrip.com/target/100d0q000000g9y8wF79A.jpg
永泰欧乐堡海洋世界,Oulebao Sea World,4974348,56138159,25.874088,119.083373,4A景区|水族馆,,0.0,0,4.6,361,https://youimg1.c-ctrip.com/target/100s1f000001gx56w17E9.jpg
源脉温泉园,Yuanmai Hot Spring Resort,118594,92345,26.106808302907968,119.29519903949796,泡温泉,闽式建筑特色的温泉园区,0.0,0,4.6,601,https://youimg1.c-ctrip.com/target/10051f000001gstii3E9A.jpg
于山,Yushan,8710,77400,26.078072,119.307667,4A景区|山岳,形似巨鳌,0.0,0,4.4,783,https://youimg1.c-ctrip.com/target/0103f120009dgyfm1C654.jpg
永泰天门山生态旅游风景区,Tianmen Mountain,118792,10758746,25.818753,119.018071,4A景区|国家公园|山岳,众多造型奇险的瀑布,0.0,0,4.2,411,https://youimg1.c-ctrip.com/target/350w0v000000jyv7l2AD9.jpg
永鸿野生动物世界,Yonghong Yesheng Dongwu World,4745342,55706155,25.68479,119.426111,动物园,引进近百种上千只珍稀野生动物,0.0,0,4.1,313,https://youimg1.c-ctrip.com/target/350r15000000xz39v211B.jpg
