名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
塔尔寺,Kumbum Monastery,9794,77994,36.487699,101.567814,历史建筑|寺庙|5A景区,宗喀巴大师的诞生地,0.0,0,4.5,13676,https://youimg1.c-ctrip.com/target/fd/tg/g2/M0A/8F/25/CghzgFWxFSGASNmMAAVDqkv3a20979.jpg
西宁新华联童梦乐园,Xining Xinhua Liantong Meng Amusement Park,5600347,69097163,36.64718916059088,101.5717479906813,主题乐园|4A景区,,0.0,0,4.7,2552,https://youimg1.c-ctrip.com/target/350k170000011i7kz7FDC.jpg
日月山,Riyue Mountains (Sun and Moon Mountains),9809,78005,36.442498577024885,101.09410196317454,4A景区|山岳,文成公主进藏经过的地方,0.0,0,4.2,1068,https://youimg1.c-ctrip.com/target/010401200084oqech5D02.jpg
青藏高原野生动物园,Qinghai-Tibet Plateau Wild Zoo,70428,10795375,36.627469,101.732657,4A景区|动物园,观赏青藏高原特有动物,0.0,0,4.5,1044,https://youimg1.c-ctrip.com/target/0101p120008ib1astEBD7.jpg
青海藏文化博物院,Qinghai Tibetan Culture Museum,136209,97799,36.689307,101.747867,4A景区|博物馆,全面了解藏文化的好地方,0.0,0,4.6,1070,https://youimg1.c-ctrip.com/target/0105w120008vuputr4964.jpg
东关清真大寺,Dongguan Mosque,9808,78004,36.615540266251415,101.79726233354141,清真寺,包含多种风格的建筑,0.0,0,4.5,1056,https://youimg1.c-ctrip.com/target/100k1f000001gug4j16C9.jpg
青海省博物馆,Qinghai Province Museum,136221,97810,36.630302,101.75591,4A景区|博物馆,了解青海历史与文化,0.0,0,4.4,454,https://youimg1.c-ctrip.com/target/0100o1200065hlfqe0D55.jpg
互助土族故土园景区,Huzhu Tu Nationality Native Land Park Scenic Area,9820,78014,36.834185146112745,101.9368807967503,文化旅游区|5A景区,了解土族的历史文化,0.0,0,4.2,146,https://youimg1.c-ctrip.com/target/0104212000811pgtp8165.jpg
莫家街,Mojia Street,134716,96580,36.620243,101.786657,特色街区,西宁知名的美食一条街,0.0,0,3.9,430,https://youimg1.c-ctrip.com/target/100k0z000000nnqtu7476.jpg
青藏高原自然博物馆,Qinghai-Tibetan Plateau Nature Museum,136219,97808,36.687521,101.749635,4A景区|博物馆,了解青藏高原的生态知识,0.0,0,4.3,379,https://youimg1.c-ctrip.com/target/0104d120009e2lvbx7A93.jpg
