名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
青岩古镇,Qingyan Ancient Town,20403,80649,26.329814,106.688472,古城古镇|5A景区,电影《寻枪》拍摄地,0.0,0,4.3,6322,https://youimg1.c-ctrip.com/target/100q1f000001grix37A49.jpg
黔灵山公园,Qianling Mountain Park,3084,75929,26.59887282578564,106.69421922956853,4A景区|城市公园,登山俯瞰贵阳市景,0.0,0,4.5,4491,https://youimg1.c-ctrip.com/target/fd/tg/g3/M0A/37/5F/CggYGlXDMK-AaW6wABB0H_itAHo770.jpg
天河潭旅游度假区,Tianhetan,3089,75934,26.437657,106.578537,4A景区|瀑布,欣赏钙化滩瀑布和溶洞,0.0,0,4.4,2651,https://youimg1.c-ctrip.com/target/0101y120007ttxlc35F7A.jpg
多彩贵州城极地海洋世界,,1999330,30589344,26.529214,106.79057,水族馆,近距离观赏珍稀海洋生物,0.0,0,4.6,1404,https://youimg1.c-ctrip.com/target/100h1f000001grut0E785.jpg
甲秀楼,Jiaxiu Tower,18081,80124,26.571358,106.719721,历史建筑,建于明代的木质阁楼,0.0,0,4.2,2179,https://youimg1.c-ctrip.com/target/fd/tg/g6/M09/AB/F6/CggYtFchZ3yAPzYwACvQa0Y3qN4487.jpg
贵阳欢乐世界,Guiyang Happy World,1408215,10761753,26.670505,106.640912,主题乐园,设施丰富的游乐园,0.0,0,4.5,1016,https://youimg1.c-ctrip.com/target/0104v120008iizawd917B.jpg
花溪公园,Huaxi Park,3085,75930,26.432707,106.67142,4A景区|城市公园,享受原生态的田园风情,0.0,0,4.5,1097,https://youimg1.c-ctrip.com/target/100s1f000001gx7l0418A.jpg
南江大峡谷,Nanjiang Canyon,21889,80899,26.950878572711662,106.99749317747519,峡谷|4A景区,体验喀斯特峡谷漂流,0.0,0,4.4,635,https://youimg1.c-ctrip.com/target/100s1f000001gx3l4987A.jpg
四季贵州极地冒险水世界,,2509148,36373546,26.57331,106.485956,水上乐园,全家游的理想选择,0.0,0,4.4,770,https://youimg1.c-ctrip.com/target/100k1f000001guijvC091.jpg
贵州森林野生动物园,Guizhou Forest Wildlife Park,63577,87481,26.860244,106.693835,4A景区|动物园,欣赏精彩驯兽表演,0.0,0,4.3,464,https://youimg1.c-ctrip.com/target/350j0y000000mfo097321.jpg
四季贵州山地温泉水世界,Siji Guizhou Shan De Wenquan Shui World,5121348,58190133,26.573678676071086,106.48674699361084,泡温泉,温泉池近百，还有私家庭院,0.0,0,4.7,392,https://youimg1.c-ctrip.com/target/0103p120008b4b80w13A2.jpg
