名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
武隆天生三桥,Wulong Tiansheng Three Bridges,45771,82315,29.433586920739366,107.80512090622814,峡谷|5A景区|地质地貌,天坑之中的电影取景地,0.0,0,4.7,9608,https://youimg1.c-ctrip.com/target/0105q120004gsttsa454D.jpg
磁器口古镇,Ciqikou Ancient Town,43811,82093,29.581179,106.449657,4A景区|古城古镇,知名历史文化古镇,0.0,0,4.3,12892,https://youimg1.c-ctrip.com/target/100w0y000000mb9hn5192.jpg
长江索道,Yangtze River Cableway,109940,91483,29.556244,106.586618,4A景区|缆车索道,跨越长江俯瞰山城美妙市景,0.0,0,4.2,9153,https://youimg1.c-ctrip.com/target/350w180000014l4t6E8E2.jpg
洪崖洞民俗风貌区,Hongyadong Commercial Street,50223,10558957,29.562209,106.578962,4A景区|特色街区,依山错落而筑的美丽吊脚楼,0.0,0,4.5,7969,https://youimg1.c-ctrip.com/target/1A0o11000000qry18BAF9.jpg
重庆欢乐谷,,2486251,33834153,29.667232,106.513005,主题乐园|4A景区,嗨玩多种娱乐设施,0.0,0,4.5,5060,https://youimg1.c-ctrip.com/target/350b10000000p5r3g3679.jpg
重庆两江游,Chongqing Two Rivers Night Tour,1410372,13228641,29.5623781137989,106.57654136712044,乘船游览,坐船远望色彩炫目的夜景,0.0,0,4.3,8640,https://youimg1.c-ctrip.com/target/0100g1200086ns69oB566.jpg
乐和乐都主题乐园,Lehe Ledu Theme Park,1408457,10765188,29.291368,105.909948,主题乐园|4A景区,游玩刺激的主题乐园,0.0,0,4.7,4407,https://youimg1.c-ctrip.com/target/350a1c000001csiriCA20.jpg
大足石刻,Dazu Rock Carving,10330,78129,29.748141,105.795543,石窟|古迹|世界文化遗产|5A景区,重庆唯一世界文化遗产,0.0,0,4.6,4978,https://youimg1.c-ctrip.com/target/0103j1200075x1yqy2B8F.jpg
重庆园博园,Chongqing Garden Expo Park,1479967,15036359,29.678853,106.550904,4A景区|园林花园,欣赏不同类型园林建筑,0.0,0,4.6,4347,https://youimg1.c-ctrip.com/target/100d0q000000ga2lk07BA.jpg
解放碑步行街,Jiefangbei,10386,10558680,29.557564,106.577232,特色街区,潮人聚集的时尚热闹商业街,0.0,0,4.6,5464,https://youimg1.c-ctrip.com/target/0105d1200081slv8tD4EE.jpg
