名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
伪满皇宫博物院,Museum of the Imperial Palace of Manchukuo,10531,78221,43.905746,125.34863,5A景区|博物馆,溥仪的帝宫,0.0,0,4.5,4291,https://youimg1.c-ctrip.com/target/fd/tg/g2/M04/2D/B0/CghzgVW2J56AJR95AAlcTNnq0po391.jpg
长影世纪城,Changchun Movie Wonderland,10564,78239,43.77253160478697,125.44625563524592,5A景区|影视城,项目丰富的电影主题公园,0.0,0,4.3,4762,https://youimg1.c-ctrip.com/target/01021120005znwtdt0DCB.jpg
净月潭,Jingyue Pond,10565,10558683,43.778861,125.477817,湖泊|森林|5A景区,漫步栈道欣赏湖光山色,0.0,0,4.6,3601,https://youimg1.c-ctrip.com/target/100n0z000000nk6pxD1E9.jpg
国信南山温泉,Guoxin Nanshan Hot Spring Hotel,1750917,23078384,43.685475,125.528528,4A景区|泡温泉,群山环绕的优质温泉,0.0,0,4.9,3420,https://youimg1.c-ctrip.com/target/0102s120009b1s9a3BB24.jpg
长影旧址博物馆,Changchun Film Studio Museum,1486265,18022433,43.86362150440526,125.29238717076093,4A景区|博物馆,新中国电影艺术的朝圣地,0.0,0,4.6,1856,https://youimg1.c-ctrip.com/target/tg/976/219/342/0c7cbc200d484510a1735cbfe2c6d014.jpg
南湖公园,South Lake Park,10563,78238,43.856452,125.306789,城市公园,四季皆景的大型市内公园,0.0,0,4.6,1011,https://youimg1.c-ctrip.com/target/100p1f000001gpcre971C.jpg
长春世界雕塑园,World Sculpture Park,25083,81592,43.8231222660327,125.32665823492552,雕塑雕像|5A景区,荟萃世界雕塑精品,0.0,0,4.5,869,https://youimg1.c-ctrip.com/target/100n1f000001gpe1rE89E.jpg
长春动植物公园,Zoological and Botanical Garden of Changchun,10561,78236,43.868099,125.335151,4A景区|植物园|动物园,娱乐项目丰富的动植物公园,0.0,0,4.5,374,https://youimg1.c-ctrip.com/target/0102e120009d0rqxp6D49.jpg
神鹿峰旅游度假区,Shenlu Peak Tourist Resort,5710339,91926802,43.36414301081627,125.88945606641623,景区,,0.0,0,4.1,266,https://youimg1.c-ctrip.com/target/010691200082cfe784924.jpg
东北虎园,Northeast Tiger Park,113916,10535175,43.769362,125.461931,动物园,野生动物救护繁育中心,0.0,0,4.3,309,https://youimg1.c-ctrip.com/target/100b1f000001gspy510D3.jpg
长春电影制片厂,Changchun Film Studio,145514,10521446,43.86366922472669,125.29350140351636,博物馆,新中国电影事业摇篮,0.0,0,4.7,314,https://youimg1.c-ctrip.com/target/0105b120005zgjrg06D44.jpg
关东文化园,Guandong Cultural Park,141456,101998,43.9454332223007,125.22011193182149,4A景区|泡温泉|农家乐,《闯东关》拍摄基地,0.0,0,4.5,242,https://youimg1.c-ctrip.com/target/0106i120008ap2b8z935F.jpg
中泰海洋世界,Zhongtai Ocean World,1415226,13562434,43.87237873986062,125.30613615659597,水族馆,海洋主题综合广场,0.0,0,4.3,216,https://youimg1.c-ctrip.com/target/100w1f000001gw9dr8876.jpg
桂林路商业街,Guilinlu Commercial Street,133123,95112,43.866886,125.315432,特色街区,商场林立的繁华商圈,0.0,0,4.4,242,https://youimg1.c-ctrip.com/target/100m170000013f955FB76.jpg
吉林大学,Jilin University,1831399,24650587,43.82247249960834,125.27914472659457,学府,全国知名重点大学,0.0,0,4.8,154,https://youimg1.c-ctrip.com/target/100k170000011mjtsBDE7.jpg
胜利公园,Victory Park,113959,10535218,43.899519,125.319534,城市公园,娱乐项目丰富的城市公园,0.0,0,4.7,184,https://youimg1.c-ctrip.com/target/0104f120008ous46113F8.jpg
东北民族民俗博物馆,Northeast Ethic & Folk Custom Museum,1413273,13460661,43.837612,125.403806,博物馆,展现东北民族民俗风貌,0.0,0,4.6,120,https://youimg1.c-ctrip.com/target/1A0t1e000001fmq6aDFE5.jpg
长春一汽,Changchun FAW,1835361,24654519,43.8601011092999,125.25908214015848,城市地标,开创中国汽车工业新历史,0.0,0,4.4,92,https://youimg1.c-ctrip.com/target/0104t120005zjk1ie2252.jpg
儿童公园,Children's Park,113957,10535216,43.882101,125.328179,城市公园,可四季赏花的休闲娱乐公园,0.0,0,4.5,80,https://youimg1.c-ctrip.com/target/100s1f000001gx60h1A1E.jpg
国家吊水壶森林公园,National Diaoshuihu Forest Park,10655,78294,43.350442005495026,125.87241978167516,洞穴|森林,探秘地下岩溶和冰洞奇观,0.0,0,4.4,139,https://youimg1.c-ctrip.com/target/350k0v000000jzzjb8F1E.jpg
长春文庙,Confucian Temple Changchun,1696471,20353546,43.88719874377446,125.35110896167916,4A景区|祠堂,淳厚古朴、轩昂庄重,0.0,0,4.7,58,https://youimg1.c-ctrip.com/target/01016120005znyt130428.jpg
人民大街,Renminda Street,1714685,22867318,43.851209909605885,125.32541088044167,特色街区,很能代表长春的大街,0.0,0,4.6,69,https://youimg1.c-ctrip.com/target/01040120009dhdqto536D.jpg
东北二人转博物馆,Jilin Northeast Errenzhuan Museum,1696650,20358304,43.85769744668451,125.37770722919694,博物馆,感受二人转三百年文化积淀,0.0,0,4.7,51,https://youimg1.c-ctrip.com/target/0105a120008s74qu31AF0.jpg
这有山,Zheyou Mountain,5700732,78919037,43.86671766181116,125.29322155133201,特色街区,仿山城街景，沉浸式体验,0.0,0,4.7,111,https://youimg1.c-ctrip.com/target/1A0c1c000001d05h78B21.jpg
伪满洲国军事部旧址,Military Department of Puppet Manchuria,1714670,22867319,43.87712341045129,125.30667925432938,历史建筑,“兴亚式”折衷主义建筑,0.0,0,4.4,37,https://youimg1.c-ctrip.com/target/100d1a0000018t9qu48AA.jpg
牡丹园,Peony Garden,1714740,22867320,43.88036861881436,125.32218267887656,园林花园,园内名花贵树星云密布,0.0,0,4.6,72,https://youimg1.c-ctrip.com/target/100v1f000001h19rk25F7.jpg
长春国际汽车公园,Changchun international automobile park,1835270,24654514,43.828471,125.176229,城市公园,创意汽车模型和雕塑展,0.0,0,4.5,38,https://youimg1.c-ctrip.com/target/0101q1200089khtmc9DE6.jpg
长春莲花岛影视休闲文化园,Changchun Lianhua Island Filming And Leisure Culture Park,4641537,52045018,43.7385383018102,125.33032909519271,度假村,,0.0,0,4.5,68,https://youimg1.c-ctrip.com/target/0105l120008ewmcvkB0C8.jpg
长春冰雪新天地,Changchun Bingxue Da World,5689343,78432159,43.877781695752724,125.58435688091905,冰雪乐园,有六大主题园区的大型乐园,0.0,0,4.3,500,https://youimg1.c-ctrip.com/target/0100h120008cdvnal8B72.jpg
鸣放宫,Mingfang Palace,1714828,22867331,43.88076503469158,125.32120254245656,历史建筑,日本传统建筑风格,0.0,0,4.5,20,https://youimg1.c-ctrip.com/target/100n1f000001gpdnu73AE.jpg
长春水文化生态园,Changchunshui Culture Ecological Park,5600421,70023228,43.844849842613456,125.33899689060628,创意园区,具有鲜明特征的文化生态园,0.0,0,4.6,51,https://youimg1.c-ctrip.com/target/1A0616000000z37695051.jpg
当当城儿童职业体验馆,Dangdang Children's Vocational Experience Hall,70230,10795177,43.835812,125.247226,儿童乐园,以角色扮演让孩子认知社会,0.0,0,4.6,231,https://youimg1.c-ctrip.com/target/fd/tg/g4/M03/10/9C/CggYHlXeiumAYbE1AAGEpBvEzok516.jpg
文化广场,The Cultural Square,25182,81622,43.879624,125.307773,广场,曾是伪满国国都广场,0.0,0,4.5,262,https://youimg1.c-ctrip.com/target/01074120008jpfxslDED3.jpg
般若寺,Banruo Temple,10534,78223,43.889182,125.328107,寺庙,长春知名佛教寺院,0.0,0,4.4,211,https://youimg1.c-ctrip.com/target/0105p120009d9oc032279.jpg
长春世界风景园,World Landscape Park,10562,78237,43.833404541015625,125.61363220214844,主题乐园,,0.0,0,4.0,13,https://youimg1.c-ctrip.com/target/0100g120005zowrv2CE4C.jpg
天怡温泉山庄,Tianyi Hot Spring Resort,1410522,13242656,43.588643,125.393837,4A景区|泡温泉|度假村,将返璞归真与现代奢华结合,0.0,0,4.7,159,https://youimg1.c-ctrip.com/target/0103z120008s74xz5A2B5.jpg
红旗街商业区,Hongqi Street Commercial District,141639,10530196,43.870758056640625,125.29967498779297,特色街区,设施完善的大型商业街,0.0,0,4.6,158,https://youimg1.c-ctrip.com/target/100b16000000z0ns64C03.jpg
东北风大剧院,Dongbeifeng Theatre,1675522,18492556,43.882562,125.334804,剧场/剧院,,0.0,0,4.6,140,https://youimg1.c-ctrip.com/target/350s18000001528e8E15A.jpg
农安辽塔,Nong'an Ancient Pogoda,10643,78284,44.428552,125.175181,古塔,八角十三层实心密檐佛塔,0.0,0,4.5,139,https://youimg1.c-ctrip.com/target/tg/589/612/206/8f58a132837b4d93b3f7d13132a44744.jpg
伪满八大部,Eight Departments of Manchukuo,10532,78222,43.87704,125.30966,历史建筑,伪满洲国的八大机构,0.0,0,4.2,156,https://youimg1.c-ctrip.com/target/fd/tg/g2/M06/2E/75/CghzgFW2J7aAAigPAAXfHdMcTCo550.jpg
长春公园,Changchun Park,113918,10535177,43.89477829577336,125.27626216522032,城市公园,赏万株郁金香花海,0.0,0,4.7,126,https://youimg1.c-ctrip.com/target/100k1f000001gug6u33B7.jpg
吉林大学博物馆,Jilin University Museum,17800,79912,43.882377,125.307679,博物馆,典藏丰富考古标本及文物,0.0,0,4.5,130,https://youimg1.c-ctrip.com/target/10011f000001h36rhA8B4.jpg
吉林省自然博物馆,Jilin Provincial Museum of Natural History,147045,10522986,43.829344,125.432461,博物馆,身临其境体验吉林自然环境,0.0,0,4.4,113,https://youimg1.c-ctrip.com/target/100s1f000001gx4jfBF65.jpg
伪满洲国国务院旧址,Former Site of the Puppet Manchukuo State Department,10648,78288,43.876649,125.309545,历史建筑,伪满洲国的行政中枢机关,0.0,0,4.2,127,https://youimg1.c-ctrip.com/target/100k1f000001gug0y3563.jpg
岱山公园,Daishan Park,113924,10535183,43.854558,125.223569,城市公园,,0.0,0,4.4,90,https://youimg1.c-ctrip.com/target/0105q120008s755yeC8CB.jpg
东北沦陷史陈列馆,Northeast Depression History Exhibition Hall,1696217,20111813,43.90632323356372,125.35176850556617,博物馆,展示日本侵略中国东北史实,0.0,0,4.5,93,https://youimg1.c-ctrip.com/target/100b1f000001gspteD9EE.jpg
彩虹广场,Caihong Square,1696641,20358166,43.881232933978026,125.4274894334123,广场,,0.0,0,4.6,82,https://youimg1.c-ctrip.com/target/100w0e00000076dco0D00.jpg
长春解放纪念碑,Changchun liberation monument,1835258,24654516,43.86205497170523,125.30819557530349,纪念碑,培养爱国者的教育基地,0.0,0,4.5,73,https://youimg1.c-ctrip.com/target/0106i120005zdp917B239.jpg
净月潭湿地公园,Jingyuetan Wetland Park,1696208,20174526,43.77936026722405,125.4763008018449,湿地,生态优美的人工湿地景观,0.0,0,4.7,90,https://youimg1.c-ctrip.com/target/0101v120005zeysui8F33.jpg
莲花山巴图鲁乐园,,5715134,119530004,43.86415704746072,125.74089389315756,度假村,,0.0,0,4.4,13,https://youimg1.c-ctrip.com/target/01048120008lrgli96C2D.jpg
同德殿,Tongde Hall,1696196,20083964,43.906295,125.349474,历史建筑,二层宫殿式建筑,0.0,0,4.6,65,https://youimg1.c-ctrip.com/target/100i1a0000018tkc13AB7.jpg
伪满中央通邮便局旧址,The old post office in changchun,1835322,24654517,43.90450272511788,125.32456748117191,历史建筑|古迹,见证长春历史的百年建筑,0.0,0,4.4,62,https://youimg1.c-ctrip.com/target/100j1f000001gpsnfF17A.jpg
双阳湖风景旅游区,Shangyang Lake Scenic Area,10599,78255,43.52439679388348,125.72059557125324,湖泊,依山傍水的度假村,0.0,0,4.3,61,https://youimg1.c-ctrip.com/target/100l1d000001efen1FB94.jpg
长春北湖国家湿地公园,North Lake Park (Changchun Beihu National Wetland Park),1835337,24654512,43.97722387794329,125.36365139375084,4A景区|湿地,环境优美的市郊湿地公园,0.0,0,4.6,96,https://youimg1.c-ctrip.com/target/100e1f000001gt2inBFBA.jpg
天嘉公园,Tianjia Park,113935,10535194,43.906437,125.282394,城市公园,,0.0,0,4.5,53,https://youimg1.c-ctrip.com/target/0103h120008jz7xh88570.jpg
杏花村公园,Xinghuacun Park,113929,10535188,43.883744,125.322499,城市公园,环境清幽的城市公园,0.0,0,4.6,54,https://youimg1.c-ctrip.com/target/100n1f000001gpe5yFC18.jpg
长春刘老根大舞台,Changchun Liulaogen Grand Stage,5552345,61959152,43.857815,125.349449,剧场/剧院,观赏激情四射的歌舞,0.0,0,4.7,48,https://youimg1.c-ctrip.com/target/100l1f000001gqfn11B86.jpg
天定山旅游度假小镇,Tianding Mountain Tourist Resort Town,5708596,84613583,43.87003772137036,125.5805236119667,4A景区|小镇,,0.0,0,4.0,23,https://youimg1.c-ctrip.com/target/0106k120008rlyl4vD0C2.jpg
勤民楼,Qinmin Building,1696201,20091072,43.906469,125.348821,历史建筑,欧式建筑风格的二层楼房,0.0,0,4.4,49,https://youimg1.c-ctrip.com/target/0103s120008ic4yuhCE3B.jpg
长春新民大街,Xinmin Street,1714822,22867323,43.86491685729006,125.30788949052653,特色街区,吉林历史文化名街之一,0.0,0,4.7,52,https://youimg1.c-ctrip.com/target/100l170000011tzx34827.jpg
万寿寺,,69175881,69175881,43.99742909967913,125.36134530452073,寺庙,,0.0,0,5.0,26,https://youimg1.c-ctrip.com/target/01044120009cukk24947F.jpg
海之恋广场同乐Ocean万人水上乐园,,4385380,50955366,44.06363413800609,125.16321550544504,水上乐园,领略迷人的异域风情,0.0,0,4.0,50,https://youimg1.c-ctrip.com/target/100f1f000001gqaohA723.jpg
吉林动画学院,Jilin Animation Institute,1831400,24650589,43.81948231749046,125.26138327125767,学府,,0.0,0,4.5,48,https://youimg1.c-ctrip.com/target/1A0w15000000ybfxi58F4.jpg
锦程公园,Jinxiu Park,113936,10535195,43.852553,125.233874,城市公园,,0.0,0,4.6,46,https://youimg1.c-ctrip.com/target/100i0r000000gs6l121AC.jpg
