名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
天山天池,Tianshan Tianchi (“Heavenly Mountain” and “Heavenly Lake”) National Park,4649,76471,43.881302,88.129005,湖泊|5A景区|山岳|道观,新疆的地标性景点,0.0,0,4.5,7160,https://youimg1.c-ctrip.com/target/100p0z000000ml1m4537E.jpg
新疆国际大巴扎,Xinjiang International Grand Bazaar,133968,10524175,43.779959,87.617953,4A景区|城市地标,拥有众多的新疆特色商品,0.0,0,4.4,2068,https://youimg1.c-ctrip.com/target/10011f000001h37tn1715.jpg
乌鲁木齐天山大峡谷,"Tianshan (“Heavenly Mountain”) Grand Canyon, Ürümqi",146986,10522927,43.49345,87.441707,峡谷|冰川|5A景区|雪山,拥有原始雪岭云杉林,0.0,0,4.3,929,https://youimg1.c-ctrip.com/target/0102a12000527f5jf6450.jpg
阿唛龙幻想乐园,,5716302,127645079,43.83334851925987,87.42424732036757,主题乐园,,0.0,0,4.8,746,https://youimg1.c-ctrip.com/target/0104i120009e1nnrlED36.png
红山公园,Hongshan Park,4444,76431,43.807968,87.606485,4A景区|城市公园,登上山顶俯瞰市区全景,0.0,0,4.4,1049,https://youimg1.c-ctrip.com/target/01027120009ciowvs2F7D.jpg
新疆维吾尔自治区博物馆,Xinjiang Uygur Autonomous Region Museum,12428,78644,43.81956957756279,87.58436104683676,4A景区|博物馆,,0.0,0,4.6,871,https://youimg1.c-ctrip.com/target/010011200095zco2o35D3.jpg
新疆古生态园,Xinjiang Ancient Ecological Park,120818,10538424,43.85597404190821,87.57665097336803,自然保护区|动物园,硅化木林与沙漠胡杨并存,0.0,0,4.6,575,https://youimg1.c-ctrip.com/target/350p15000000xz4qx6B02.jpg
乌鲁木齐植物园,Urumqi Botanical Garden,56921,86008,43.890557,87.555756,植物园,观赏各种珍稀的西域植物,0.0,0,4.5,701,https://youimg1.c-ctrip.com/target/100c1f000001gsx2v44B0.jpg
新疆盐湖景区,Guhya Salt Lake,56667,85873,43.397186,88.144531,湖泊,观赏日出晚霞与奇特的盐花,0.0,0,4.3,401,https://youimg1.c-ctrip.com/target/100t1f000001gqbnjC2F6.jpg
南山牧场,Nanshan Ranch,120666,10538278,43.43461334427371,87.17838930965135,草原|山岳,天山脚下美丽的牧场,0.0,0,4.4,305,https://youimg1.c-ctrip.com/target/100f1f000001gqcqd50C8.jpg
丝绸之路国际滑雪场,Silk Road International Ski Resort,1702849,21059492,43.44215346008367,87.41488231725342,户外滑雪,能直达原始森林的滑雪场,0.0,0,4.6,261,https://youimg1.c-ctrip.com/target/0101o1200095zqt33A1A3.jpg
水磨沟公园,Shuimogou Park,4496,76444,43.827699,87.661418,4A景区|城市公园,环境优美的市郊休闲公园,0.0,0,4.5,299,https://youimg1.c-ctrip.com/target/100hhk114x56thc80F06E.jpg
乌鲁木齐水上乐园,Ürümqi Water Park,56919,10758455,43.75499,87.614008,水上乐园,坐游船玩遍众多娱乐项目,0.0,0,4.2,133,https://youimg1.c-ctrip.com/target/100r1f000001gor4t4C0D.jpg
红光山大佛寺,Hongguang Mountain Dafo Temple,120766,10538372,43.80967978801668,87.60541651016158,寺庙,红光山上的汉传佛教寺庙,0.0,0,4.5,119,https://youimg1.c-ctrip.com/target/0102s120008ibt77e4C76.jpg
一号冰川,No. 1 Glacier,4441,76429,43.117115,86.839247,冰川|地质地貌,观赏冰川还有冰洞与雪莲,0.0,0,4.4,88,https://youimg1.c-ctrip.com/target/100b1f000001gsmxu51B5.jpg
维斯特假日酒店温泉,Weisite Jiari Jiudian Hot Spring,2021743,31046639,43.842679,87.67054,泡温泉,,0.0,0,3.8,110,https://youimg1.c-ctrip.com/target/100e1f000001gt2084FCE.jpg
乌鲁木齐博物馆,The Urumqi Museum,144744,10520675,43.822021,87.612905,博物馆,中小学生研学实践教育基地,0.0,0,4.3,88,https://youimg1.c-ctrip.com/target/0105y120008icabq67470.jpg
天山野生动物园,Tianshan Mountain Wildlife Park,56663,10559089,43.66863194682773,87.78625444607975,4A景区|动物园,适合周末全家出行,0.0,0,3.8,71,https://youimg1.c-ctrip.com/target/0100s120008qj7oxwC4EF.jpg
菊花台,Chrysanthemums Terrace,15883,79232,43.463729,87.137756,草原,天山草原中的大片野菊花,0.0,0,4.2,93,https://youimg1.c-ctrip.com/target/100c1f000001gswry699D.jpg
西白杨沟,West Baiyanggou Pasture,4435,76427,43.41668304160778,87.16469290775166,草原|山岳,雪峰草原相映，可骑马观光,0.0,0,4.1,63,https://youimg1.c-ctrip.com/target/0100g120008s7jcfzE16F.jpg
五彩湾,Colorful bay,133975,95903,44.91177295883766,87.8917095961167,地质地貌,天然宝库，岩石五彩斑斓,0.0,0,3.9,61,https://youimg1.c-ctrip.com/target/0101d120009cylu5hD9B9.jpg
新疆民街民俗博物馆,Folk Street and Folk Custom Museum of Xinjiang Uygur,1834732,24653926,43.785303247827,87.617500492756,博物馆,四大主题，展现新疆文化,0.0,0,4.3,46,https://youimg1.c-ctrip.com/target/0104u1200092lwpae383A.jpg
丝绸之路国际度假区,Silk Road International Resort,1513001,18240676,43.44592,87.416755,4A景区|度假村,景色优美的草原度假区,0.0,0,3.8,44,https://youimg1.c-ctrip.com/target/100l1b000001a6nut7DD7.jpg
新疆农业博览园,Xinjiang Agricultural Expo,1683226,18604589,44.05151976830824,87.3759159934195,4A景区|植物园,感受农耕文化，采摘乐趣多,0.0,0,4.3,143,https://youimg1.c-ctrip.com/target/100f1f000001gt8d1ADEE.jpg
乌拉泊古城,Wulabo Ancient City,56661,85870,43.63813400268555,87.61579132080078,古迹,和江南古城不一样的风光,0.0,0,3.5,24,https://youimg1.c-ctrip.com/target/100p1d000001ebzik6EEC.jpg
达坂城风力发电站,Dabancheng Wind Power Station,120665,92386,43.60735641856667,87.78242115522288,城市地标,拍摄戈壁上的百座巨大风车,0.0,0,4.4,272,https://youimg1.c-ctrip.com/target/0100512000877wnu0787E.jpg
乌鲁木齐人民公园,People's Park of Urumqi,4657,76478,43.79734802246094,87.60427856445312,城市公园,中心城区的市民公园,0.0,0,4.5,254,https://youimg1.c-ctrip.com/target/1A0313000000tzu3uEBE0.jpg
天山,Tianshan Mountains,110169,91690,43.868556,88.098381,湖泊|山岳|古树,横跨多国，常年白雪皑皑,0.0,0,4.7,269,https://youimg1.c-ctrip.com/target/100a0t000000iq9rnC8E4.jpg
