名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
黄河铁桥,Yellow River Steel Bridge,9487,77873,36.064758439839316,103.81705401747759,桥,兰州市的标志性建筑,0.0,0,4.6,3286,https://youimg1.c-ctrip.com/target/100n1f000001gpcykA2C5.jpg
甘肃省博物馆,Gansu Provincial Museum,9586,77928,36.066771,103.774572,博物馆,通过展品了解古丝绸之路,0.0,0,4.7,1955,https://youimg1.c-ctrip.com/target/100r1f000001gopbzB1AD.jpg
兰州极地海洋世界,Lanzhou Ocean World,1979745,30231156,36.061552,103.770583,水族馆,观赏各种海洋极地动物,0.0,0,4.2,998,https://youimg1.c-ctrip.com/target/0106m120008li6s76996D.jpg
白塔山公园,Baitashan Park,9575,77917,36.069690248716896,103.81177500272436,城市公园,登上山顶俯瞰兰州全景,0.0,0,4.5,1049,https://youimg1.c-ctrip.com/target/100p1f000001gpgsq931A.jpg
水车博览园,Waterwheel Expo Park,9590,77931,36.063315302004035,103.84255966254145,主题乐园|4A景区,汇集了全国各地的各种水车,0.0,0,4.4,679,https://youimg1.c-ctrip.com/target/1007190000018ju3j9B3F.jpg
黄河母亲雕塑,Yellow River Mother Sculpture,9591,77932,36.066413,103.79867,雕塑雕像,兰州市的标志性雕塑,0.0,0,4.3,554,https://youimg1.c-ctrip.com/target/100a0n000000e2pn6CB18.jpg
西部恐龙水乐园,,2483923,33786065,36.4604682886,103.6301560071,4A景区|水上乐园,体验在水中畅玩的快乐,0.0,0,4.3,445,https://youimg1.c-ctrip.com/target/10021f000001gxax667A6.jpg
兰州海洋公园,Lanzhou Ocean Park,5709631,89393109,35.94012683205858,104.02611461004018,主题乐园,,0.0,0,4.6,311,https://youimg1.c-ctrip.com/target/01045120008p27rw14358.jpg
大众巷,Public Lane,133967,10559542,36.06115,103.821965,特色街区,品尝众多的兰州小吃,0.0,0,4.4,339,https://youimg1.c-ctrip.com/target/10091f000001gspykFC42.jpg
五泉山公园,Wuquanshan Park,9585,77927,36.036748,103.824194,城市公园,拥有五眼名泉与众多寺庙,0.0,0,4.4,431,https://youimg1.c-ctrip.com/target/100v1f000001h1dnuC8F2.jpg
