名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
南京总统府,Presidential Palace of Nanjing,1681,75717,32.04420984161789,118.79742462737795,历史建筑|4A景区|博物馆,中西合璧的南京标志建筑,0.0,0,4.7,56586,https://youimg1.c-ctrip.com/target/1A0b15000000y90y97885.jpg
中山陵景区,Sun Yatsen Mausoleum,1655,75697,32.054354,118.854105,5A景区|陵园,孙中山先生的陵墓,0.0,0,4.7,21761,https://youimg1.c-ctrip.com/target/100h11000000ripuy3B79.jpg
牛首山文化旅游区,Niushou Mountain Cultural Tourism Zone,18093,80134,31.903477307345856,118.74833332377831,4A景区|文化旅游区,朝拜礼佛的千年道场,0.0,0,4.7,9372,https://youimg1.c-ctrip.com/target/10091f000001gsqkfCFBE.jpg
夫子庙,Confucius Temple,1663,75702,32.020728,118.788811,祠堂,赏民俗文化品地道小吃,0.0,0,4.4,14316,https://youimg1.c-ctrip.com/target/100i0g0000008np7xBB99.jpg
明孝陵,Ming Xiaoling Mausoleum,1653,75695,32.05100139024545,118.84081081177591,世界文化遗产|陵园,朱元璋与马皇后的合葬陵|赏梅赏樱的好去处|漫步神道赏秋日银杏,0.0,0,4.6,12625,https://youimg1.c-ctrip.com/target/0105912000921jsyrA6D3.jpg
红山森林动物园,Hongshan Forest Zoo,18090,80131,32.09192,118.803008,4A景区|动物园,看镇园之宝澳洲考拉,0.0,0,4.6,8167,https://youimg1.c-ctrip.com/target/100k1f000001guhanBFBA.jpg
南京海底世界,Nanjing Underwater World,1654,75696,32.053589668484086,118.84498834172922,水族馆,在海底隧道看精彩表演,0.0,0,4.5,7311,https://youimg1.c-ctrip.com/target/100a11000000qw7t1CEE3.jpg
银杏湖乐园,Ginkgo Lake Park,1713414,22865961,31.808061258868467,118.71409869443154,主题乐园,设施先进的亲子主题乐园,0.0,0,4.6,5067,https://youimg1.c-ctrip.com/target/01060120008xh9y6c455D.jpg
钟山风景名胜区,Zhongshan Mountain National Park,114921,92225,32.063527,118.853254,5A景区|山岳|陵园,南京地标景区,0.0,0,4.6,6162,https://youimg1.c-ctrip.com/target/0100x12000812shvk1791.jpg
大报恩寺遗址景区,Grand Baoen Temple Heritage and Scenic Area,1790736,23987536,32.009478,118.781176,4A景区|古迹,探寻金陵历史的神奇之地,0.0,0,4.7,5903,https://youimg1.c-ctrip.com/target/0104l120008sgilf5845E.jpg
玄武湖景区,Xuanwu Lake,1674,10558596,32.072467,118.798218,湖泊|4A景区,迷人的皇家园林湖泊,0.0,0,4.6,6234,https://youimg1.c-ctrip.com/target/1A0712000000su5bs5A59.jpg
秦淮河画舫,Qinhuai River Boat Tour,1479078,15009176,32.01999262044938,118.78991028387554,乘船游览,泛舟秦淮饱览沿岸景致,0.0,0,4.6,4314,https://youimg1.c-ctrip.com/target/100s0g00000086s9zD645.jpg
栖霞山,Qixia Mountain,1671,75709,32.15819444444445,118.9698055555556,4A景区|山岳,秋季拍摄漫山红叶,0.0,0,4.6,4146,https://youimg1.c-ctrip.com/target/100u0z000000ny9wf8AB5.jpg
中国科举博物馆(江南贡院),China Imperial Examination Museum (Jiangnan Gongyuan),109950,91492,32.021779,118.79049,历史建筑|博物馆,中国古代的科举考场,0.0,0,4.7,4502,https://youimg1.c-ctrip.com/target/10011f000001h36y0B4DC.jpg
