名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
大召寺,Ih Juu Temple,8950,77574,40.799816623735424,111.65423940256532,历史建筑|寺庙|4A景区,银佛龙雕和壁画值得一看,0.0,0,4.6,4213,https://youimg1.c-ctrip.com/target/100w1b000001b2edx7356.jpg
内蒙古博物院,Inner Mongolia Museum,8960,77580,40.840088,111.738818,4A景区|博物馆,观赏草原游牧民族的珍宝,0.0,0,4.7,1575,https://youimg1.c-ctrip.com/target/0101p1200097pylwc4B36.jpg
昭君博物院,Zhaojun Museum,141373,101917,40.70860391372846,111.68332480868126,4A景区|博物馆,了解王昭君的生平事迹,0.0,0,4.0,524,https://youimg1.c-ctrip.com/target/100a1f000001grlaw4309.jpg
黄河大峡谷•老牛湾旅游区,The Yellow River Grand Canyon Lao Niu Wan Tourist Area,1708506,22663230,39.64715949415744,111.4472382683513,峡谷|4A景区|河流,古长城在此与黄河握手,0.0,0,4.4,222,https://youimg1.c-ctrip.com/target/100q0q000000gcn1dD350.jpg
神泉生态旅游景区,Shenquan Ecological Tourism Scenic Area,136017,97648,40.182277,111.221885,4A景区|泉|沙漠戈壁,玩沙坐索道就在黄河边,0.0,0,4.3,246,https://youimg1.c-ctrip.com/target/0106v1200086mbo4pAAC4.jpg
绥远城将军衙署,Suiyuan City General Government Office Site,8963,77581,40.82659089237269,111.68706500814302,历史建筑,了解绥远城八旗驻防历史,0.0,0,4.3,303,https://youimg1.c-ctrip.com/target/100k1f000001guignC38D.jpg
塞上老街,Saishang Old Street,1708602,22666559,40.79888524996343,111.6530517628768,特色街区,具有明清建筑风格的古街,0.0,0,4.3,246,https://youimg1.c-ctrip.com/target/100b1800000143ydm3B47.jpg
华谊兄弟敕勒川星剧场,,5717673,130843840,40.90434701517886,111.91148906283863,剧场/剧院,,0.0,0,3.8,167,https://youimg1.c-ctrip.com/target/010351200090rwzbs7918.jpg
五塔寺,Five Pagoda Temple,8953,77576,40.79928279020471,111.66446012756064,寺庙,欣赏造型奇特的舍利宝塔,0.0,0,4.5,303,https://youimg1.c-ctrip.com/target/0105z1200047rxb12C26F.jpg
伊斯兰商街,Islamic Customs Street,66700,88353,40.809,111.65511,特色街区,感受浓厚的当地特色文化,0.0,0,4.1,247,https://youimg1.c-ctrip.com/target/10011f000001h36m63DB4.jpg
清公主府,Qing Princess House,8964,77582,40.83839390496943,111.65436540305582,博物馆,参观清代公主府第,0.0,0,4.4,212,https://youimg1.c-ctrip.com/target/fd/tg/g2/M02/04/65/CghzgVVIIcmAIu3SADZmh4YM7QE354.jpg
哈素海,Hasuhai,8969,77584,40.603713,110.973289,湖泊,塞外狂野中的清澈湖水,0.0,0,3.8,140,https://youimg1.c-ctrip.com/target/0103c120009dbj6igFEA5.jpg
大青山野生动物园,Daqingshan Wildlife Park,70447,10795394,40.879692,111.620035,动物园,乘车参观动物放养区,0.0,0,4.1,75,https://youimg1.c-ctrip.com/target/100i1e000001f1s654881.jpg
