名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
哈尔滨冰雪大世界,Harbin Ice and Snow World,20017,80633,45.77901225925338,126.56393935677895,冰雪乐园,亮灯后晶莹的冰雕更加梦幻|冰雪主题嘉年华,0.0,0,4.7,29745,https://youimg1.c-ctrip.com/target/0104e1200097jgae2CED6.jpg
哈尔滨极地公园·海洋馆（1期）,Harbin Polar Museum,48182,82556,45.785135972299315,126.58725767519788,水族馆,近距离接触海洋生物,0.0,0,4.6,6984,https://youimg1.c-ctrip.com/target/0105o120009ddn56d0E8E.jpg
中央大街,Zhongyang Street,7712,77071,45.767692,126.620519,特色街区,喧嚣的大街在夜色中流光溢彩|漫步俄式风情街区,0.0,0,4.7,8330,https://youimg1.c-ctrip.com/target/100w14000000x603fA358.jpg
哈尔滨融创乐园,Harbin Wanda Theme Park,2016603,30791706,45.80712536974454,126.50447520948183,4A景区|游乐场,融合东北民俗与游乐项目,0.0,0,4.6,3722,https://youimg1.c-ctrip.com/target/0106j120001enu2e36505.jpg
圣索菲亚大教堂,St. Sophia Cathedral,7705,77064,45.77010535736859,126.62727135961869,教堂,华灯下的教堂充满异国情调|哈尔滨地标建筑,0.0,0,4.6,6217,https://youimg1.c-ctrip.com/target/100s0z000000ng5sn3ED6.jpg
东北虎林园,Northeast Tiger Forest Park,7707,77066,45.817294,126.601636,4A景区|动物园,近距离观察东北虎生活场景,0.0,0,4.6,3532,https://youimg1.c-ctrip.com/target/0100m120009gialu67A4B.jpg
松花江观光索道,Songhua River Sightseeing Cableway,113617,10758718,45.77789716573065,126.61058247199813,缆车索道,乘索道横跨松花江,0.0,0,4.6,3527,https://youimg1.c-ctrip.com/target/100k1f000001guh2dB91C.jpg
龙塔,Dragon Tower,21089,80779,45.748639,126.680358,4A景区|现代建筑|观景台,高空景观旋转餐厅可俯瞰夜景|于百米高空俯瞰哈尔滨全景,0.0,0,4.4,2610,https://youimg1.c-ctrip.com/target/0105t1200084qtvsf4F38.jpg
伏尔加庄园,Volga Manor,91334,90444,45.67282952741168,126.90238758073502,4A景区|文化旅游区,俄罗斯风情庄园,0.0,0,4.6,2487,https://youimg1.c-ctrip.com/target/0102o1200097j7k651269.jpg
太阳岛风景区,Sun Island Scenic Area,7700,77060,45.791577,126.597874,岛屿/半岛|5A景区,夏季避暑冬季赏雪雕,0.0,0,4.4,2257,https://youimg1.c-ctrip.com/target/100i0y000000lwabz98EA.jpg
松花江,Songhua River,7715,77073,45.78413522513522,126.61301948195818,河流,赏两岸冰城风光,0.0,0,4.6,2164,https://youimg1.c-ctrip.com/target/100i12000000skvaoBD2C.jpg
波塞冬旅游度假区,Poseidon Ocean Kingdom,2023826,31077253,45.882984,126.686028,4A景区|观海豚,古希腊海洋主题水上乐园,0.0,0,4.6,1810,https://youimg1.c-ctrip.com/target/0100p1200046etgosAB6F.jpg
哈尔滨热雪奇迹(融创雪世界),Harbin Wanda BMW Snow Park,2481179,33520506,45.803195,126.500707,室内滑雪,,0.0,0,4.8,1655,https://youimg1.c-ctrip.com/target/100k1f000001gugyo8D0D.jpg
北方森林动物园,Beifang Forest Zoo,140851,101447,45.391435,127.114864,4A景区|动物园,欣赏众多稀有动物,0.0,0,4.6,1010,https://youimg1.c-ctrip.com/target/tg/269/636/651/aeaa2b25948b4921b251f8f52de3c79b.jpg
波塞冬海底世界,Bosaidong Haidi World,5246353,59711770,45.883936,126.681839,水族馆,神秘古希腊为主的海底世界,0.0,0,4.6,849,https://youimg1.c-ctrip.com/target/0100i120008dp090y404F.jpg
波塞冬沙滩水世界,Poseidon Beach Water World,4446743,50583113,45.882792212152175,126.68414805733751,水上乐园,领略水中嬉戏的无限乐趣,0.0,0,4.7,710,https://youimg1.c-ctrip.com/target/01002120008dp0f91EE86.jpg
俄罗斯风情小镇,Russian Style Town,138288,99446,45.78629375381734,126.60080571358644,小镇,静谧俄式小镇,0.0,0,4.2,896,https://youimg1.c-ctrip.com/target/0100q120008ia429669E4.jpg
黑龙江省森林植物园,Heilongjiang Forest Botanical Garden,7880,77083,45.704043,126.650152,植物园,市区内的森林氧吧,0.0,0,4.5,428,https://youimg1.c-ctrip.com/target/100o0q000000gabz456B8.jpg
凤凰山国家森林公园,Phoenix Mountain National Forest Park,1675916,18509299,44.176264303876444,128.05602951712007,4A景区|森林|山岳,山水俊秀的生态公园,0.0,0,4.8,327,https://youimg1.c-ctrip.com/target/350515000000y5vmt9B66.jpg
香炉山,Mount Xianglu,113618,10535084,45.578188,127.530509,山岳,景色宜人的原生态森林氧吧,0.0,0,4.5,347,https://youimg1.c-ctrip.com/target/100d1f000001gos24BC1D.jpg
