名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
洱海,Erhai Lake,3038,75916,25.726600576814025,100.21313530413423,湖泊,风花雪月四大名景之一,0.0,0,4.6,9342,https://youimg1.c-ctrip.com/target/100p0h0000008s7xqA6E5.jpg
崇圣寺三塔文化旅游区,Three Pagodas of Chongsheng Temple Cultural Tourism Area,3037,75915,25.704301,100.143484,寺庙|文化旅游区|5A景区,大理地标之一,0.0,0,4.7,9743,https://youimg1.c-ctrip.com/target/10060h0000008q7vmF0AD.jpg
大理古城,Dali Ancient City,12192,78629,25.694485,100.164146,4A景区|古城古镇,品味文艺时尚的魅力古城,0.0,0,4.4,8253,https://youimg1.c-ctrip.com/target/100n0h0000008rbfs673A.jpg
苍山,Cangshan Mountain,3039,75917,25.661049680354793,100.12081691967603,山岳,,0.0,0,4.5,5098,https://youimg1.c-ctrip.com/target/0100v12000772g9ck1A9C.jpg
双廊,Shuanglang,4365,10532874,25.909590685280463,100.193489938115,小镇,洱海东面的世外桃源,0.0,0,4.2,3218,https://youimg1.c-ctrip.com/target/100c0z000000muzdc819C.jpg
南诏风情岛,Nanzhao Customs Island,12322,78637,25.901898,100.191155,沙滩|4A景区|岛屿/半岛,四面环水的风情小岛,0.0,0,4.4,2223,https://youimg1.c-ctrip.com/target/100c1f000001gsxmc0387.jpg
蝴蝶泉,Butterfly Spring Park,3040,75918,25.906711,100.098464,泉|4A景区,泉水清澈的方形泉池,0.0,0,4.2,2786,https://youimg1.c-ctrip.com/target/100r1f000001gonf9678D.jpg
张家花园,Zhangjia Garden,144864,10520795,25.653142,100.182555,园林花园,观赏精致的白族民居,0.0,0,4.9,2343,https://youimg1.c-ctrip.com/target/01065120009ebv2xr6A5D.jpg
洗马潭大索道,Ximatan Cableway,142155,10559743,25.676751,100.145928,缆车索道,观赏峰岩树影倒映潭中,0.0,0,4.6,2056,https://youimg1.c-ctrip.com/target/10011f000001h38x6CE3D.jpg
洱海游船,Erhai Lake Cruise,2478869,33348330,25.602039,100.237069,乘船游览,游洱海的另一种方式,0.0,0,4.4,1571,https://youimg1.c-ctrip.com/target/100o1f000001gp5da5B10.jpg
鸡足山,Jizu Mountain,4357,76388,25.944285,100.395834,山岳|4A景区,体验上山索道参拜古老寺院,0.0,0,4.7,1327,https://youimg1.c-ctrip.com/target/100710000000pscuf16E1.jpg
天龙八部影视城,Tianlongbabu Film Studio,50978,83535,25.679976,100.149052,影视城,《天龙八部》等热剧拍摄地,0.0,0,3.9,1957,https://youimg1.c-ctrip.com/target/1A0b180000013sprrAE29.jpg
喜洲,Hsi-Chou,12193,78630,25.853536970353545,100.13135942217491,古城古镇,保存有大量的白族民居,0.0,0,4.3,1710,https://youimg1.c-ctrip.com/target/100m0z000000n2hij6CCA.jpg
沙溪古镇,Shaxi Ancient Town,128356,93610,26.316787236032205,99.85035270131021,4A景区|景区|古城古镇,欣赏古老的壁画雕刻,0.0,0,4.7,972,https://youimg1.c-ctrip.com/target/0102p120005s1ohfa1741.jpg
大理地热国,Dali Geothermal Paradise,128345,10758784,26.123323560571624,99.95882947779668,泡温泉|4A景区,泡温泉品云南美食,0.0,0,4.5,463,https://youimg1.c-ctrip.com/target/350a1c000001cmyc4334F.jpg
大理苍山石门关景区,Shimenguan,128338,10543973,25.63736,100.034504,峡谷|4A景区,欣赏高山峡谷等自然景观,0.0,0,4.6,423,https://youimg1.c-ctrip.com/target/tg/677/236/910/7d76a165033d4ec99848a40aad5f4849.jpg
