名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
天津方特欢乐世界,Tianjin Fantawild Adventure,1411705,13382815,39.154133,117.739259,主题乐园|4A景区,互动式体验游乐项目,0.0,0,4.7,8535,https://youimg1.c-ctrip.com/target/0101p120008ela2v5CE1A.jpg
天津海昌极地海洋公园,Tianjin Haichang Polar Ocean Park,112794,10758715,39.009138,117.661481,4A景区|水族馆,看海洋动物和精彩表演,0.0,0,4.4,9628,https://youimg1.c-ctrip.com/target/100o1h000001ho04cC044.jpg
天津欢乐谷,Tianjin Happy Valley,112858,10758716,39.187623,117.476459,主题乐园|4A景区,经典亲子游乐去处,0.0,0,4.6,6175,https://youimg1.c-ctrip.com/target/0103f1200089zqppeEC51.jpg
天津之眼摩天轮,Eye of Tianjin,56364,85755,39.15393395996501,117.18640471453048,4A景区|摩天轮,打卡天津美丽地标,0.0,0,4.5,9733,https://youimg1.c-ctrip.com/target/100b10000000omp6q72E0.jpg
泰达航母主题公园,TEDA Aircraft Theme Park,74004,89343,39.156270590846944,117.81445013237375,主题乐园|4A景区,登航母看作战表演,0.0,0,4.5,5771,https://youimg1.c-ctrip.com/target/100a0w000000kpaqe01A1.jpg
盘山,Panshan,10451,78205,40.093236,117.279729,5A景区|山岳,山势秀美被乾隆皇帝所喜爱,0.0,0,4.5,3610,https://youimg1.c-ctrip.com/target/0101w120004omybi11226.jpg
古文化街,Ancient Culture Street,10729,78346,39.14383,117.193699,5A景区|特色街区,品经典津门文化和传统美食,0.0,0,4.4,4917,https://youimg1.c-ctrip.com/target/010201200087ctjbo8019.jpg
五大道,Five Great Avenues,56365,85756,39.11148764891617,117.20349728082225,4A景区|特色街区,在老洋房之间看旧日津门,0.0,0,4.5,3909,https://youimg1.c-ctrip.com/target/1A0u1e000001exyrs83FA.jpg
瓷房子,Porcelain house,64504,87777,39.124821,117.202228,3A景区|博物馆,用古代瓷器装饰的法式建筑,0.0,0,4.1,3725,https://youimg1.c-ctrip.com/target/0102x120008bhx6mnD653.jpg
意大利风情区,Italian Style Town,110319,91831,39.134583,117.196633,4A景区|特色街区,漫步红顶意式建筑群落,0.0,0,4.5,4305,https://youimg1.c-ctrip.com/target/10071f000001h6wrp6201.jpg
