名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
长隆野生动物世界,Chimelong Safari Park,6802,76896,23.001985,113.315337,动物园,《爸爸去哪儿》拍摄地,0.0,0,4.7,57314,https://youimg1.c-ctrip.com/target/350d1700000137j2902B1.jpg
广州塔,Canton Tower,107540,90706,23.106459383840722,113.32454233618574,4A景区|现代建筑|观景台,打卡地标璀璨夜景,0.0,0,4.5,31857,https://youimg1.c-ctrip.com/target/01072120008rrd0q9289C.jpg
长隆欢乐世界,Chimelong Paradise,48593,10558935,22.999110820778906,113.3303059561194,主题乐园,《奔跑吧兄弟》拍摄基地,0.0,0,4.7,21975,https://youimg1.c-ctrip.com/target/0102j1200093y3qvd60E0.jpg
长隆水上乐园,Chimelong Water Park,48597,10758351,23.001739,113.324398,水上乐园,水上夜场电音秀从早嗨到晚,0.0,0,4.7,15859,https://youimg1.c-ctrip.com/target/0101k120008k3m9ypE6AE.jpg
广州长隆国际大马戏,Chimelong International Circus,137991,10759002,23.003425,113.331395,马戏团,超大实景舞台上演华丽马戏,0.0,0,4.8,15906,https://youimg1.c-ctrip.com/target/350t1f000001fxuy92251.jpg
广东科学中心,Guangdong Science Center,64724,87819,23.03948852798875,113.3630651796413,4A景区|科技馆,寓教于乐的科技航母|自然人类科学文明|全国科普教育基地,0.0,0,4.7,8041,https://youimg1.c-ctrip.com/target/0103j1200089fz67o9278.jpg
广州长隆度假区,Guangzhou Chimelong Tourist Resort,135794,10559608,23.000630328609883,113.32399793194726,主题乐园|5A景区,家庭出游畅玩多个主题园区,0.0,0,4.8,9401,https://youimg1.c-ctrip.com/target/350r1f000001fw8bnEDC0.jpg
珠江夜游,Pearl River Night Cruise,110464,10758708,23.112417,113.285494,乘船游览,乘船环游羊城璀璨夜景,0.0,0,4.5,7974,https://youimg1.c-ctrip.com/target/100k1f000001guf0d1940.jpg
白水寨风景名胜区,Baishuizhai Scenic Area,140555,10559706,23.59292638688269,113.76473521443909,4A景区|瀑布|山岳,近距离欣赏白水仙瀑,0.0,0,4.6,5264,https://youimg1.c-ctrip.com/target/10020s000000hqzdm8FA3.jpg
广州融创乐园,GuangZhou Park,5118364,58251719,23.42963272678803,113.24021012275625,主题乐园,依南越文化构建六大主题,0.0,0,4.8,6659,https://youimg1.c-ctrip.com/target/0104v120009ck2mfyCF6A.jpg
