名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
布达拉宫,Potala Palace,3117,75936,29.654494,91.118473,历史建筑|寺庙|5A景区,宏伟的宫堡式建筑群,0.0,0,4.7,18182,https://youimg1.c-ctrip.com/target/0101c1200061ynv4356C0.jpg
纳木措,Namtso,11793,78547,30.76953502736216,90.86686329011918,湖泊,藏区三大圣湖之一,0.0,0,4.6,3926,https://youimg1.c-ctrip.com/target/100i0z000000nvtwoF2A3.jpg
大昭寺,Jokhang Temple,3119,75938,29.650212443532272,91.1329633898226,历史建筑|寺庙|5A景区,朝圣者心中的圣地,0.0,0,4.6,4075,https://youimg1.c-ctrip.com/target/0103a1200061zj80t0FF3.jpg
《文成公主》大型实景剧,Princess Wencheng Drama,1411109,13324637,29.62206569324331,91.1472430647401,演出,身临其境千古爱情传奇,0.0,0,4.6,2613,https://youimg1.c-ctrip.com/target/1A0d170000011oexu39A7.jpg
八廓街,Barkhor Street,3124,75942,29.65014094974644,91.12901072506705,特色街区,民俗风情浓郁的千年古街,0.0,0,4.6,1506,https://youimg1.c-ctrip.com/target/100v13000000ui5lyD2A4.jpg
色拉寺,Sera Monastery,3122,75941,29.69432271244437,91.13478029080557,寺庙,欣赏精彩的辩经,0.0,0,4.5,558,https://youimg1.c-ctrip.com/target/fd/tg/g3/M07/C1/73/CggYGVZzrhyAM_imABhex7YwVKE807.jpg
罗布林卡,Norbulingka,3118,75937,29.651641,91.092593,4A景区|园林花园,精美的大型园林,0.0,0,4.4,692,https://youimg1.c-ctrip.com/target/10060z000000nm57g70EB.jpg
藏域星球天文体验馆,Tibet Planetary Astronomy Experience Hall,5708293,83859074,29.620671747105774,91.01410949969095,天文馆|科技馆,探索宇宙奥秘,0.0,0,5.0,616,https://youimg1.c-ctrip.com/target/0106f120008nvqqpkCC81.jpg
布达拉宫广场,Potala Palace Square,1487591,18046391,29.651249,91.118827,广场,布达拉宫正对面的广场,0.0,0,4.7,567,https://youimg1.c-ctrip.com/target/10051f000001gsq1yA247.jpg
西藏博物馆,Tibet Museum,51555,83957,29.648746246741393,91.09835753698623,4A景区|博物馆,珍藏了珍贵的文物,0.0,0,4.4,473,https://youimg1.c-ctrip.com/target/100n1f000001gpbeq22C1.jpg
