名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
石林风景区,Stone Forest,44950,82204,24.811902069749813,103.32331469730416,5A景区|地质地貌,欣赏雄奇壮美的怪石峰林,0.0,0,4.5,10314,https://youimg1.c-ctrip.com/target/10011f000001h392tDEBC.jpg
云南民族村,Yunnan Ethnic Village,2973,75906,24.966049,102.660885,4A景区,体验云南25个民族文化,0.0,0,4.5,9911,https://youimg1.c-ctrip.com/target/100f10000000p3dgtC5A6.jpg
滇池,Dian Lake,2967,75903,24.9589243050025,102.65972953473867,湖泊,乘船游湖感受高原明珠风光,0.0,0,4.5,6067,https://youimg1.c-ctrip.com/target/10011f000001h353a9127.jpg
七彩云南欢乐世界,Qicai Yunnan Huanle World,4682346,52520253,24.768789824180026,102.73919530188387,主题乐园,多主题的娱乐中心,0.0,0,4.7,2647,https://youimg1.c-ctrip.com/target/350j1b000001a0eku7764.jpg
九乡,Jiuxiang,12097,78616,25.064818756362165,103.38251158026337,洞穴|4A景区,电影《神话》拍摄地,0.0,0,4.7,2702,https://youimg1.c-ctrip.com/target/100l11000000qx8rwA61D.jpg
西山风景名胜区,Xishan Forest Park,12381,78643,24.969601,102.623092,4A景区|石窟|山岳,登山漫步俯瞰天池,0.0,0,4.6,2392,https://youimg1.c-ctrip.com/target/100f0n000000dzojg09A9.jpg
翠湖公园,Green Lake Park,12098,78617,25.048474,102.703689,城市公园,享有城中之玉的美称,0.0,0,4.4,3157,https://youimg1.c-ctrip.com/target/100a1f000001grncg2491.jpg
花之城,City of Flower,1510063,18150071,25.053987422853336,102.78908533568273,特色体验|植物园,布满鲜花的综合主题度假区,0.0,0,4.5,2028,https://youimg1.c-ctrip.com/target/100h12000000s89mc739D.jpg
云南野生动物园,Yunnan Zoo,120265,10537885,25.095697,102.788921,4A景区|动物园,近距离观赏珍稀动物,0.0,0,4.3,1276,https://youimg1.c-ctrip.com/target/0106h120008a2w380476F.jpg
七彩云南古滇温泉山庄,,2025091,31160059,24.768679,102.757418,泡温泉,以古滇特色风格建造,0.0,0,4.9,947,https://youimg1.c-ctrip.com/target/100o1f000001gp65oA72C.jpg
石林冰雪海洋世界,Shilin Ice and Snow Ocean World,1959588,29904375,24.810292,103.311024,水族馆,欣赏各种极地海洋生物,0.0,0,4.5,1378,https://youimg1.c-ctrip.com/target/350w1f000001gqtk6179F.png
《云南映象》演出,Dynamic Yunnan,142165,10759142,25.01619194190806,102.65336120436977,演出,民族风情浓郁的歌舞表演,0.0,0,4.7,2262,https://youimg1.c-ctrip.com/target/30041g000001hel1l602D.jpg
滇池西山索道,Dianchi Xishan Cableway,1410726,13277609,24.959783,102.653586,缆车索道,远眺滇池之美领略西山魅力,0.0,0,4.7,1347,https://youimg1.c-ctrip.com/target/100p0t000000iny4q4127.jpg
昆明融创海世界,Kunming Rongchuanghai World,5679552,78422617,25.015875125334453,102.65304831660356,水族馆,,0.0,0,4.5,727,https://youimg1.c-ctrip.com/target/01060120008gy95x26AF9.jpg
轿子雪山,Jiaozi Snow Mountain,17904,80002,26.053333846031887,102.84724900160577,4A景区|雪山,春赏杜鹃冬攀冰山,0.0,0,4.6,1084,https://youimg1.c-ctrip.com/target/0106b1200084qp49u125C.jpg
金殿公园,Jindian Park,12096,78615,25.084398,102.771327,4A景区|道观,环境清新的漫步好去处,0.0,0,4.5,1138,https://youimg1.c-ctrip.com/target/0100i120008ikkyerD28E.jpg
大观公园,Daguan Park,2960,75899,25.021913644688286,102.67265866519062,湖泊|4A景区|城市公园,滇池北畔的优美公园,0.0,0,4.5,1292,https://youimg1.c-ctrip.com/target/10051f000001gsqbw6122.jpg
世界园艺博览园,World Horti-Expo Garden,5578,76757,25.074819554684435,102.76281748815539,园林花园|5A景区,99年昆明园艺博览会会址,0.0,0,3.8,1042,https://youimg1.c-ctrip.com/target/1A0c180000013sn1405FF.jpg
金马碧鸡坊,Jinma Bijifang,17730,79851,25.033320978216214,102.70986429963018,历史建筑,昆明地标合影圣地,0.0,0,4.2,1029,https://youimg1.c-ctrip.com/target/100s1f000001gx6ys21BE.jpg
大观楼,Daguan Pavilion,144843,10520774,25.02647,102.673271,历史建筑,登楼可俯瞰滇池,0.0,0,4.5,811,https://youimg1.c-ctrip.com/target/1A0t1c000001crxqmDA95.jpg
云南大学,Yunnan University,109890,91436,25.054065,102.70211,学府,以银杏大道而闻名,0.0,0,4.6,993,https://youimg1.c-ctrip.com/target/0100b120009dpe2aeE83B.jpg
昙华寺,Tanhuasi Park,17875,79978,25.046281,102.749706,寺庙,寺内有一棵三百多年的昙树,0.0,0,4.5,222,https://youimg1.c-ctrip.com/target/100613000000tu4qf3659.jpg
黑龙潭公园,Black Dragon Pond Park,17881,79984,25.141631,102.750964,城市公园,昆明知名的赏梅胜地,0.0,0,4.5,722,https://youimg1.c-ctrip.com/target/0105u120008i57jnt649D.jpg
官渡古镇,Guandu Ancient Town,107379,90593,24.954353831398606,102.7543916257353,4A景区|古城古镇,观赏古老寺庙和人文景观,0.0,0,4.2,607,https://youimg1.c-ctrip.com/target/10080z000000ngj5iEC4C.jpg
昆明热雪奇迹（融创雪世界）,Kunming Rongchuang Xue World,5679553,78422618,25.015279110072456,102.64928530433122,室内滑雪,,0.0,0,4.8,448,https://youimg1.c-ctrip.com/target/0100a120009gkturyB3D2.jpg
昆明花都·环球探索乐园,Kunming Huadu Ocean World,2484363,33785690,24.903177,102.790224,水族馆,以花卉与海洋为主题的公园,0.0,0,4.4,505,https://youimg1.c-ctrip.com/target/0101d120008f6nepx967C.jpg
青鱼湾水上乐园,Qingyu Bay Water Park,1948651,28606198,24.857965,102.52569,水上乐园,体验水上项目观赏杂技表演,0.0,0,4.2,344,https://youimg1.c-ctrip.com/target/1009060000001m8vc19AE.jpg
