名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
黄鹤楼,Yellow Crane Tower,8979,77593,30.54465802943635,114.3024565080377,历史建筑|城市地标|5A景区,诗词绝句中的江南名楼,0.0,0,4.6,40617,https://youimg1.c-ctrip.com/target/010521200089rn9atE339.jpg
武汉欢乐谷,Wuhan Happy Valley,119529,92371,30.591334,114.392846,主题乐园|4A景区,游乐项目丰富的人气乐园,0.0,0,4.7,19847,https://youimg1.c-ctrip.com/target/0106u1200089jj697BBF3.jpg
武汉海昌极地海洋公园,Wuhan Haichang Polar Ocean World,136262,97847,30.664404,114.277901,主题乐园|4A景区,观赏海洋动物和精彩表演|夜宿海底世界的奇妙体验,0.0,0,4.6,16109,https://youimg1.c-ctrip.com/target/01023120009fekxtz9F9C.jpg
木兰草原,Mulan Grassland,50956,83520,30.959406,114.460529,草原|5A景区,骑马射箭领略草原风情,0.0,0,4.6,5044,https://youimg1.c-ctrip.com/target/0104c120009e03rgm7F1F.jpg
武汉园博园（武汉自然博物馆）,Wuhan Garden Expo Park,1739990,22993026,30.62611265127295,114.21585575044016,城市公园,欣赏全国各地园林之美,0.0,0,4.6,4983,https://youimg1.c-ctrip.com/target/0100j120009frgwucD432.jpg
武汉东湖海洋世界,Wuhan East Lake Ocean World,50961,83524,30.574092,114.379759,水族馆|3A景区,漫步海底隧道接触海洋生物,0.0,0,4.6,4978,https://youimg1.c-ctrip.com/target/0100112000814j2w07329.png
户部巷,Hubu Lane,50969,10524156,30.547291211839344,114.29811664008994,特色街区,体验武汉过早美食文化,0.0,0,4.3,6734,https://youimg1.c-ctrip.com/target/100b11000000qz84958A1.jpg
花博汇,,2499362,35586419,30.488051,114.077665,4A景区|小镇,鲜花盛放的田园风情游,0.0,0,4.6,3598,https://youimg1.c-ctrip.com/target/0105o120008rmqgujC204.jpg
木兰天池,Mulan Tianchi,50921,83500,31.177940835527625,114.28499546028873,湖泊|森林|5A景区|山岳,青山绿水画中游|山清水秀的避暑胜地,0.0,0,4.6,3799,https://youimg1.c-ctrip.com/target/010011200081lle5r8230.jpg
武汉两江游览（夜游长江）,Wuhan Liangjiang Tour (Night Tour Yangtze River),141517,10530477,30.588475732985334,114.30827007346807,乘船游览,饱览江城两岸好风光,0.0,0,4.5,3310,https://youimg1.c-ctrip.com/target/100t1g000001h12leE849.jpg
东湖,East Lake,8974,10558666,30.55219558680305,114.41342984340062,湖泊|5A景区|历史建筑,湖边漫步赏迷人湖景,0.0,0,4.6,3926,https://youimg1.c-ctrip.com/target/10060z000000nm69s404C.jpg
武汉植物园,Wuhan Botanical Garden,50963,83526,30.544891909283372,114.42336241819626,4A景区|植物园,各国园林中赏四季花卉,0.0,0,4.6,3882,https://youimg1.c-ctrip.com/target/0104012000811z3lz4C2C.jpg
