名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
沈阳故宫,Shenyang Imperial Palace,9216,77696,41.7971031732182,123.45571725072558,4A景区|宫殿|博物馆,品味明清宫殿和文物,0.0,0,4.6,17174,https://youimg1.c-ctrip.com/target/0105d120005s97dihEBF5.jpg
沈阳方特欢乐世界,Shenyang Fantawild World,109993,91531,41.963798,123.418868,主题乐园|4A景区,体验大型科幻主题乐园,0.0,0,4.5,4685,https://youimg1.c-ctrip.com/target/35040q000000gkg3e87D6.jpg
张氏帅府博物馆,Marshal Zhang's Mansion Museum,9227,77702,41.794069,123.457808,4A景区|名人故居|博物馆,,0.0,0,4.6,4991,https://youimg1.c-ctrip.com/target/100b0z000000nbysbB516.jpg
沈阳森林动物园,Shenyang Forest Wild Zoo,114101,10535232,41.928454,123.684083,4A景区|动物园,观赏众多珍稀野生动物,0.0,0,4.6,2815,https://youimg1.c-ctrip.com/target/01023120009ifi2e6A79A.jpg
沈阳世博园,Shenyang Expo Park,9272,77737,41.862324,123.649219,植物园|5A景区,观赏各色花卉园艺,0.0,0,4.6,3265,https://youimg1.c-ctrip.com/target/0106w120008aotfrxE89C.jpg
清昭陵,Zhaoling Tomb (Beiling Park),9263,77732,41.839996,123.42835,陵园,参观气势宏伟的皇太极陵墓,0.0,0,4.5,3147,https://youimg1.c-ctrip.com/target/fd/tg/g2/M0A/2E/77/CghzgFW2KACAVBnTACsHdFrRbHM480.jpg
沈阳鸟岛,Shenyang Bird Island,110225,91742,41.82614666298872,123.60678823499369,沙滩|岛屿/半岛,生态优美的鸟类观赏河心岛,0.0,0,4.6,953,https://youimg1.c-ctrip.com/target/0103i120009f3mx196435.jpg
清河半岛温泉,Qinghe Peninsula Hot Spring,3656338,39476377,41.936555,123.432611,泡温泉,设施齐全的温泉度假胜地,0.0,0,4.5,930,https://youimg1.c-ctrip.com/target/0104p120008axkr4mD003.jpg
皇家海洋乐园,Royal Ocean Park,113998,10758720,41.866396,123.742993,4A景区|水族馆|水上乐园,可玩可看的海洋主题乐园,0.0,0,4.7,3258,https://youimg1.c-ctrip.com/target/01015120009bzv8qz1C56.jpg
沈阳中街刘老根大舞台,Liu Laogen Grand Stage,138741,99814,41.80015164145033,123.45320864286138,剧场/剧院,东北二人转剧场,0.0,0,4.5,1024,https://youimg1.c-ctrip.com/target/fd/tg/g1/M06/20/83/CghzfFW2KA2AU3OaABRi9k0zabM780.jpg
棋盘山,Qipan Mountain,9290,77755,41.930212,123.6484,4A景区|山岳,四季皆景的山水胜地,0.0,0,4.5,541,https://youimg1.c-ctrip.com/target/100m0t000000iynt6478E.jpg
“九•一八”历史博物馆,September 18th History Museum,9232,77703,41.836291,123.467573,4A景区|博物馆,展出日军侵华罪证,0.0,0,4.7,947,https://youimg1.c-ctrip.com/target/0105p120008jsfins3560.jpg
稻梦空间,Rice Field Paintings,1415299,13566810,42.077792,123.300945,,体验植物迷宫的无穷乐趣,0.0,0,4.6,587,https://youimg1.c-ctrip.com/target/0102e120006osnarn886B.jpg
清福陵,Fuling Tomb,9264,77733,41.837897,123.591798,陵园,努尔哈赤及其皇后陵墓,0.0,0,4.6,706,https://youimg1.c-ctrip.com/target/100g1d000001ej32e43DF.jpg
中街,Zhongjie Commercial Circle,138765,99832,41.801498,123.456598,特色街区,百年历史老牌商业区,0.0,0,4.6,711,https://youimg1.c-ctrip.com/target/100r0f0000007ezdh9C22.jpg
七星海世界主题乐园,,2016697,30791830,41.955832,123.417439,主题乐园,海洋主题综合型亲子乐园,0.0,0,4.2,395,https://youimg1.c-ctrip.com/target/10051f000001gstur22D8.jpg
怪坡,Strange Slope (Guaipo),9289,10558667,42.06053,123.635691,4A景区|公路道路,体验上坡轻松下坡费力奇观,0.0,0,4.1,321,https://youimg1.c-ctrip.com/target/0102g120009h3yop32DD1.jpg
辽宁省博物馆,Liaoning Provincial Museum,9238,77709,41.678065,123.460496,博物馆,馆藏众多历史艺术类文物,0.0,0,4.5,482,https://youimg1.c-ctrip.com/target/10051a0000018eu0hFCE0.jpg
南湖公园,Nanhu Park,9277,77742,41.770688,123.412756,城市公园,北方园林艺术风格代表,0.0,0,4.5,251,https://youimg1.c-ctrip.com/target/100r1g000001h7j7y5028.jpg
关东影视城,Guandong Movie City,63019,87308,41.949518,123.70287,影视城,再现上世纪沈阳城关东风情,0.0,0,4.1,273,https://youimg1.c-ctrip.com/target/01009120006pcyncp7874.jpg
南关天主教堂,Nanguan Catholic Church,9244,77713,41.790631,123.452889,历史建筑|教堂,省级文物保护单位,0.0,0,4.6,269,https://youimg1.c-ctrip.com/target/0101e120009dbk9la84F3.jpg
北陵公园,Beiling Park,69131705,69131705,41.8517663952553,123.42768260520523,历史建筑|4A景区,建于清朝崇德八年,0.0,0,4.6,125,https://youimg1.c-ctrip.com/target/0105d120008ihtww4A4A7.jpg
中山公园,Shenyang Zhongshan Park,9276,77741,41.785568,123.406124,城市公园,处闹市却自有宁静,0.0,0,4.5,217,https://youimg1.c-ctrip.com/target/0105c120008s7g2vb2EA8.jpg
新乐遗址博物馆,Xinle Ruin Museum,9265,77734,41.847365,123.415262,3A景区|博物馆,收藏近万件新石器时代遗物,0.0,0,4.4,196,https://youimg1.c-ctrip.com/target/0102r120008jskj4x0DEA.jpg
沈阳博物馆,,130892955,130892955,41.804084750702856,123.43646869490081,博物馆,,0.0,0,4.3,161,https://youimg1.c-ctrip.com/target/0101n12000939xc9d7C7D.jpg
沈阳海洋探索中心,Shenyang Haiyang Tansuo Center,4048335,39871974,41.750140674189645,123.43807766969644,水族馆,,0.0,0,4.1,120,https://youimg1.c-ctrip.com/target/100v0r000000h5bvaB47F.jpg
沈阳中街失恋博物馆,"Zhongjie Museum of Broken Relationship, Shenyang",5376342,61457157,41.802182,123.465268,特色体验,解锁爱情故事的网红拍照地,0.0,0,4.7,140,https://youimg1.c-ctrip.com/target/100q1f000001grlvn93CA.jpg
沈阳乐高探索中心,Shenyang Legao Tansuo Center,4357361,49211958,41.75027537332313,123.43828465394176,游乐游艺|游乐场,,0.0,0,4.4,138,https://youimg1.c-ctrip.com/target/100t0r000000guuxyA16C.jpg
沈阳国家地理探险家中心,Shenyang Guojia Dili Tanxianjia Center,4387383,51119392,41.74992915647905,123.43824172068673,游乐游艺,全景沉浸式环球体验探险,0.0,0,4.5,128,https://youimg1.c-ctrip.com/target/100a0v000000jqpbpD628.jpg
中国工业博物馆,China Museum of Industry,78872,90093,41.822008,123.356611,4A景区|博物馆,了解中国工业文明发展历程,0.0,0,4.4,148,https://youimg1.c-ctrip.com/target/100l0z000000nfa9zB5EA.jpg
长白岛森林公园,Zhangbaidao Forest Park,2022941,31064211,41.75141,123.387407,城市公园,骑行听虫鸣蛙声一片,0.0,0,4.8,84,https://youimg1.c-ctrip.com/target/100c1f000001gsxspD9C2.jpg
铁西1905创意文化园,Tiexi 1905 Creative Culture Park,1834123,24653305,41.812282,123.382651,创意园区,逛一逛文艺青年喜欢的小店,0.0,0,4.5,125,https://youimg1.c-ctrip.com/target/1A0113000000u90ls8DE0.jpg
热高巴厘岛水世界,Hot Go Bali Island Park,4595375,51704290,41.88859638556076,123.74010413896514,水上乐园,巴厘岛风情的梦幻水上乐园,0.0,0,4.6,275,https://youimg1.c-ctrip.com/target/10051f000001gsq9e4D99.jpg
五里河公园,Wuli River Park,114097,10535228,41.757372,123.468209,城市公园,沈阳大型城市滨河公园,0.0,0,4.8,100,https://youimg1.c-ctrip.com/target/350l1700000112dhk9D63.jpg
浑河晚渡公园,Hunhewandu Park,1695944,19553563,41.750498,123.370878,城市公园,当地人放松休闲的好去处,0.0,0,4.7,85,https://youimg1.c-ctrip.com/target/0105n120008if2hpm5632.jpg
沈水湾公园,Shenshuiwan Park,9287,77752,41.74943605045108,123.42292960131842,城市公园,景色宜人，市民休闲好去处,0.0,0,4.7,104,https://youimg1.c-ctrip.com/target/0105p120008jscpjk3211.jpg
中山公园动物园,Zhongshangong Zoo,2022942,31064213,41.785839992,123.4080566503,动物园,动物种类丰富，宜亲子互动,0.0,0,4.3,87,https://youimg1.c-ctrip.com/target/0105d120008jvqrko0C1B.jpg
未来动物城,Future Zoo,5100343,57153155,41.802441,123.470581,动物园,,0.0,0,4.6,76,https://youimg1.c-ctrip.com/target/100b1f000001gso5bCA53.jpg
东陵公园,Dongling Park,69130531,69130531,41.839726639501684,123.59369890084528,湖泊|4A景区|湿地,,0.0,0,4.4,16,https://youimg1.c-ctrip.com/target/0101p120008hsswqu89D2.jpg
卧龙湖,Wolong Lake,9293,77758,42.74411583495557,123.28182214694911,湖泊,平原淡水湖，四季景色优美,0.0,0,4.4,62,https://youimg1.c-ctrip.com/target/0102y120008ijpm660AE6.jpg
沈阳国家森林公园,Shenyang National Forest Park (Northwest Gate),69551,10794498,42.021502,123.723339,森林|山岳,,0.0,0,4.6,36,https://youimg1.c-ctrip.com/target/0105j1200080x70g8F283.jpg
辛巴达欢乐城堡,Sinbad Happy Castle,1409112,10795732,41.806259,123.486072,游乐场,阿拉伯风情主题乐园,0.0,0,4.2,520,https://youimg1.c-ctrip.com/target/100m1f000001gzpfwB65B.jpg
万泉公园,Wanquan Park,4359345,48084213,41.78992,123.47494,城市公园,,0.0,0,4.8,86,https://youimg1.c-ctrip.com/target/0104z120008ikb3wi6DA5.jpg
怪坡虎园,Shenyang Guaipo Siberian Tiger Park,4721356,55183171,42.06887685432214,123.63056974148346,动物园,观赏不同年龄的纯种东北虎,0.0,0,4.6,39,https://youimg1.c-ctrip.com/target/1A0713000000u93jl9840.jpg
集酷无动力儿童乐园,Jikuwu Dongli Children Amusement Park,4975343,56139155,42.05347939626653,123.64793913056336,儿童乐园,,0.0,0,4.9,28,https://youimg1.c-ctrip.com/target/100p0w000000k4nau429F.jpg
太原街,Taiyuan Street Business Area,138750,99820,41.79051108784948,123.40183774002635,特色街区,汇集众多品牌的繁华地带,0.0,0,4.6,409,https://youimg1.c-ctrip.com/target/100h1f000001grsvqB1AF.jpg
沈铁文化宫刘老根大舞台,Liu Laogen Grand Stage,4384342,49933182,41.786611,123.40214,剧场/剧院,低价优质二人转剧场,0.0,0,4.4,322,https://youimg1.c-ctrip.com/target/100r0r000000h9k9l0D4E.jpg
热高丛林欢乐世界,Regaohuanle World,4717355,53565334,41.879598,123.745127,主题乐园,以隧道式木质过山车闻名,0.0,0,4.4,74,https://youimg1.c-ctrip.com/target/100n1f000001gpbm280CF.jpg
马耳山,Ma'er Mountain,1678436,18552305,41.497090179228444,123.58345874269169,山岳,因山峰似马耳朵而得名,0.0,0,4.1,29,https://youimg1.c-ctrip.com/target/0100u120009if7w1x6DF5.jpg
