名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
趵突泉景区,Baotu Spring Park,4971,76531,36.661047,117.015889,泉,看三股泉水喷发的壮丽景象,0.0,0,4.5,14568,https://youimg1.c-ctrip.com/target/100l0y000000m1ilk9C71.jpg
千佛山,Thousand Buddhas Mountain,4970,76530,36.639126,117.036298,4A景区|山岳,山顶可俯瞰济南市区全景,0.0,0,4.5,7002,https://youimg1.c-ctrip.com/target/1A011a000001962iqDD17.jpg
大明湖景区,Daming Lake Scenic Area,4967,76527,36.675167,117.023419,湖泊,风光秀美的天然泉水湖公园,0.0,0,4.5,6288,https://youimg1.c-ctrip.com/target/100g1f000001gqzyj0422.jpg
九如山度假风景区,Jiuru Mountain Waterfall Scenic Area,107538,90704,36.48094903512727,117.2980274790806,4A景区|瀑布|山岳,制造浪漫，创造惊喜,0.0,0,4.6,3817,https://youimg1.c-ctrip.com/target/0101m120009d0p8r796C6.jpg
济南方特东方神画,Jinan Fantawild Oriental Heritage,1697161,20365090,36.706039,116.87842,主题乐园|4A景区,非遗文化特色主题乐园,0.0,0,4.6,3053,https://youimg1.c-ctrip.com/target/0105n120008eenk6rC6FA.jpg
济南野生动物世界,Jinan Wildlife World,1753036,23141125,36.618485,117.469016,4A景区|动物园,展区丰富的野生动物世界,0.0,0,4.5,3507,https://youimg1.c-ctrip.com/target/100f1f000001gq8rvDADE.jpg
济南动物园,Jinan Zoo,56529,85828,36.701821,116.986601,动物园,风光优美的城市动物园,0.0,0,4.7,3571,https://youimg1.c-ctrip.com/target/0106t120004eccc3d451B.jpg
红叶谷,Red Leaves Canyon,50902,83487,36.487025,117.16829,4A景区|森林|山岳,遍赏漫山红叶,0.0,0,4.3,1748,https://youimg1.c-ctrip.com/target/100511000000rb4jaD876.jpg
济南融创乐园,,5715137,119532677,36.670367678494124,117.19523409364996,主题乐园,,0.0,0,4.8,1175,https://youimg1.c-ctrip.com/target/0101i120008prt6bd2093.jpg
泉城欧乐堡梦幻世界,Quancheng Oulebao Menghuan Shijie - European-Themed Amusement Park,1409373,11077159,36.750933,116.841951,主题乐园|4A景区,体验欧洲风情游乐园,0.0,0,4.6,3767,https://youimg1.c-ctrip.com/target/0101p120008ti9cml6297.jpg
泰山风景区,Mount Tai Scenic Area,136014,97645,36.26391974399363,117.08820984103572,世界文化遗产|山岳|世界自然遗产|5A景区,五岳之首,0.0,0,4.7,20748,https://youimg1.c-ctrip.com/target/100v0n000000ebugq5308.jpg
泉城海洋极地世界,Quancheng Ocean and Polar World,114665,10758722,36.743390180739596,116.84008176632354,4A景区|水族馆,与海洋动物亲密接触,0.0,0,4.7,4874,https://youimg1.c-ctrip.com/target/01039120008ti9p0k2702.jpg
济南融创水世界,,5715138,119532678,36.670167505009054,117.19613472515314,水上乐园,,0.0,0,4.9,1016,https://youimg1.c-ctrip.com/target/01031120008prtktr1F5D.jpg
济南融创海世界,,5715142,119532679,36.670117662722234,117.2003374024689,水族馆,,0.0,0,4.9,901,https://youimg1.c-ctrip.com/target/0106q120008prsgwtB57D.jpg
黑虎泉,Heihu Spring,4975,76535,36.662462,117.033145,泉,济南四大名泉之一,0.0,0,4.7,1668,https://youimg1.c-ctrip.com/target/100v1b000001c8dfx43D8.jpg
