名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
珠海长隆海洋王国,Zhuhai Chimelong Ocean Kingdom,1408240,10762535,22.097876,113.537604,主题乐园,亚洲首台水上过山车,0.0,0,4.7,40704,https://youimg1.c-ctrip.com/target/010381200093y491i499F.jpg
澳门威尼斯人度假村,The Venetian Macao,54501,84889,22.144172243241467,113.56476451644401,度假村,置身昔日威尼斯的街道,0.0,0,4.7,5946,https://youimg1.c-ctrip.com/target/100l1f000001gqgvyFE96.jpg
大三巴牌坊,Ruins of St. Paul's,3399,76060,22.194625,113.545884,古迹|世界文化遗产,澳门标志性建筑,0.0,0,4.5,7424,https://youimg1.c-ctrip.com/target/fd/tg/g3/M08/08/73/CggYGVXJXZOAccpTABR3XHdux3c604.jpg
澳门塔,Macau Tower,136025,97655,22.1768381257752,113.54186696308346,观景台,体验蹦极欣赏澳门全景,0.0,0,4.7,7157,https://youimg1.c-ctrip.com/target/10081f000001gqfen72C3.jpg
新濠天地《水舞间》剧场,The House of Dancing Water,1407295,10558311,22.146957448117615,113.57311145200963,演出,演绎穿越时空的浪漫传奇,0.0,0,4.8,3581,https://youimg1.c-ctrip.com/target/0103n120008830yh02920.jpg
官也街,Rua da Cunha,132400,94434,22.150721,113.561984,特色街区,美食购物两不误的手信街,0.0,0,4.4,2709,https://youimg1.c-ctrip.com/target/1A091c000001dbir2B9A9.jpg
新濠影汇,Studio City Macau,1750536,23058059,22.137798508807364,113.56644099117702,度假村,电影主题度假村,0.0,0,4.7,2192,https://youimg1.c-ctrip.com/target/100q1f000001grm459B10.jpg
议事亭前地,Senado Square,49198,82844,22.19048127664208,113.54500460856167,广场,葡式历史建筑环绕,0.0,0,4.4,748,https://youimg1.c-ctrip.com/target/100i0p000000fyziy572E.jpg
珠海长隆度假区,Zhuhai Chimelong Resort,1408228,10762530,22.09782570350901,113.54160139441531,主题乐园|度假村,海洋主题乐园与度假酒店,0.0,0,4.7,3568,https://youimg1.c-ctrip.com/target/0106g120009hesi0uE7D8.jpg
珠海横琴国家地理探险家中心,National Geographic Ultimate Explorer,5603407,69634112,22.123528067758624,113.518268404576,科技馆,,0.0,0,4.8,3185,https://youimg1.c-ctrip.com/target/3504170000011a74p6EEC.jpg
影汇之星8字形摩天轮,Golden Reel,2021110,31044673,22.13823,113.567181,摩天轮,澳门景致尽收眼底,0.0,0,4.6,1671,https://youimg1.c-ctrip.com/target/0104e120008u57jv37BB6.jpg
威尼斯人贡多拉体验,Venetian Gondola Experience,2481004,33524155,22.145494161835042,113.56716421542238,乘船游览,恍如置身于水都威尼斯,0.0,0,4.6,460,https://youimg1.c-ctrip.com/target/0103l1200082cc1czB916.jpg
澳门历史城区,Historic Centre of Macau,49193,82839,22.191267646458645,113.54629551172411,历史建筑|世界文化遗产|特色街区,中西文化交融的历史城区,0.0,0,4.5,325,https://youimg1.c-ctrip.com/target/100d1f000001gos2y2386.jpg
大炮台,Mount Fortress,3366,76037,22.193989224048003,113.54737420914954,古迹|观景台,参观百年古炮俯瞰澳门美景,0.0,0,4.5,1481,https://youimg1.c-ctrip.com/target/100110000000pa41c7BD9.jpg
妈阁庙,A-Ma Temple,3381,76047,22.183260225937673,113.53637464492792,妈祖庙,古老庙宇香火旺盛,0.0,0,4.4,727,https://youimg1.c-ctrip.com/target/fd/tg/g2/M03/88/C9/CghzgVWwv-KAStcoABEa-cXClp0489.jpg
玫瑰堂,St. Dominic's Church,3400,76061,22.19176742704133,113.54548679511687,教堂,四百年历史巴洛克教堂,0.0,0,4.5,639,https://youimg1.c-ctrip.com/target/100w10000000p38dy27E4.jpg
新濠天地,City of Dreams,132455,94488,22.146104,113.571473,娱乐中心,观赏大秀《水舞间》,0.0,0,4.7,677,https://youimg1.c-ctrip.com/target/010701200096j84hi7E8E.jpg
圆明新园,New Yuanming Palace,5728,76811,22.24334441583983,113.5401889319871,4A景区|园林花园,,0.0,0,4.1,1690,https://youimg1.c-ctrip.com/target/10080r000000hd8nj7D35.jpg
澳门渔人码头,Macau Fisherman's Wharf,26487,81974,22.189083281386136,113.56094959824118,文化旅游区,游览欧陆风格建筑,0.0,0,4.4,799,https://youimg1.c-ctrip.com/target/100e1f000001gsz7w3F1D.jpg
澳门博物馆,Macau Museum,45076,82223,22.194276067439187,113.54725533666125,博物馆,了解澳门历史文化,0.0,0,4.5,660,https://youimg1.c-ctrip.com/target/100r0z000000n7feh93C4.jpg
澳门科学馆,Macao Science Center,144797,10520728,22.183108374856648,113.56191636802245,科技馆|大师建筑,贝聿铭设计的科学馆,0.0,0,4.8,653,https://youimg1.c-ctrip.com/target/01003120005wnvoqx30FE.jpg
珠海渔女,Zhuhai Fisherwoman,2830,75881,22.26173434537088,113.58824489223207,雕塑雕像,地标性的海边渔女雕像,0.0,0,4.3,1771,https://youimg1.c-ctrip.com/target/fd/tg/g1/M05/74/3D/CghzflUsoXCAEV4aAAm86zXLkaY672.jpg
珠海横琴狮门娱乐天地,Lionsgate Entertainment World,5551401,63609061,22.123857241147967,113.51819260715018,游乐游艺|主题乐园,,0.0,0,4.5,936,https://youimg1.c-ctrip.com/target/350d16000000zc9yyD660.jpg
黑沙海滩,Hac Sa Beach,5715,76810,22.11808084554675,113.57542843492979,沙滩,赏黑沙享惬意海景,0.0,0,4.4,448,https://youimg1.c-ctrip.com/target/1A0e1c000001drsho23CB.jpg
天坛大佛,Tian Tan Buddha,1788436,23865321,22.250955407172707,113.90983260773001,雕塑雕像,全球第二大青铜坐佛,0.0,0,4.6,222,https://youimg1.c-ctrip.com/target/100a1f000001grjhtB3F5.jpg
梦幻水城,Lost City,2828,75879,22.242742999646598,113.53594659609867,水上乐园,古埃及主题大型水上乐园,0.0,0,4.3,1139,https://youimg1.c-ctrip.com/target/fd/tg/g2/M0A/AD/31/CghzgFVlZ5yAbC2oAAEp6aeg1g8030.jpg
港珠澳大桥,Hong Kong-Zhuhai-Macao Bridge,122396,10539235,22.28001,113.728361,桥,连接港珠澳的超长跨海桥梁,0.0,0,4.5,860,https://youimg1.c-ctrip.com/target/100t1f000001gq9u42184.jpg
氹仔村,Taipa Village,1711482,22847601,22.153885676925615,113.56546763812788,特色街区,澳门的一片老城区,0.0,0,4.6,163,https://youimg1.c-ctrip.com/target/0106x120009ctmbrbCA20.jpg
澳门银河综合度假城,Galaxy Macau,1413043,13452339,22.14640931529603,113.55881465629238,度假村,集娱乐度假于一身,0.0,0,4.6,370,https://youimg1.c-ctrip.com/target/100v0b0000005q3njD71C.jpg
路环岛,Coloane Village,144798,10520729,22.123144226807845,113.56897790004258,沙滩|岛屿/半岛,游览妈祖文化村,0.0,0,4.6,248,https://youimg1.c-ctrip.com/target/100j1f000001gptsb46C0.jpg
恋爱巷,Travessa da Paixao,1788398,23865287,22.194149477643087,113.54545560832165,特色街区,大三巴牌坊前文艺小街,0.0,0,4.5,200,https://youimg1.c-ctrip.com/target/0104v120009cwuoyxB181.jpg
龙环葡韵住宅式博物馆,Taipa Houses–Museum,5712,76808,22.15090954535131,113.56469707782018,博物馆,薄荷绿的葡萄牙风情建筑,0.0,0,4.5,488,https://youimg1.c-ctrip.com/target/100b1f000001gsm2q6B17.jpg
香港迪士尼乐园,Hong Kong Disneyland,22943,10558849,22.31017187912645,114.04644004317879,主题乐园,置身奇妙的迪士尼世界,0.0,0,4.8,48134,https://youimg1.c-ctrip.com/target/0100h12000873g1h7C6EF.jpg
郑家大屋,Mandarin's House,26481,81972,22.185959,113.540065,名人故居,澳门很大的清代民宅,0.0,0,4.5,210,https://youimg1.c-ctrip.com/target/100810000000oxah31BE3.jpg
澳门大熊猫馆,Macau Giant Panda Pavilion,1829374,24648576,22.123700497433216,113.56404936367976,动物园,熊猫主题的动物园,0.0,0,4.7,33,https://youimg1.c-ctrip.com/target/100e1f000001gt0mfF0F7.jpg
东望洋炮台及灯塔,Guia Fortress and Lighthouse,26469,81970,22.19353,113.554776,灯塔,塔顶可俯瞰半岛全景,0.0,0,4.5,223,https://youimg1.c-ctrip.com/target/10021f000001gxei72AF1.jpg
民政总署大楼,Leal Senado Building,11273,78460,22.190467,113.544619,历史建筑,历史城区的世遗建筑之一,0.0,0,4.5,364,https://youimg1.c-ctrip.com/target/0100n120009dlpazgEF2C.jpg
金光大道度假区,Cotai Strip Resorts,1711110,22847428,22.144292168066123,113.57091991712011,,集会展酒店娱乐为一体,0.0,0,4.7,124,https://youimg1.c-ctrip.com/target/01007120005wpkpjb6622.jpg
长隆横琴湾水世界,,2508917,36427637,22.099208,113.548287,水上乐园,丰富的水上玩乐与海豚萌宝,0.0,0,4.4,414,https://youimg1.c-ctrip.com/target/100f1f000001gq8ik50E2.jpg
大赛车博物馆,Grand Prix Museum,54151,84722,22.19195479412709,113.55801995506813,博物馆,格兰披治大赛车相关博物馆,0.0,0,4.5,207,https://youimg1.c-ctrip.com/target/100i1f000001gp25bC124.jpg
金莲花广场,Lotus Square,26484,81973,22.19140103872248,113.55839827529002,广场,澳门回归纪念景点,0.0,0,4.4,298,https://youimg1.c-ctrip.com/target/0101u120005wn1jl52541.jpg
