名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
少林寺,Shaolin Temple,7954,10558642,34.506844412208075,112.94137627212497,寺庙|5A景区,天下武林圣地,0.0,0,4.4,9969,https://youimg1.c-ctrip.com/target/010191200087d7pid1736.jpg
郑州方特欢乐世界,Zhengzhou Fantawild Adventure,135594,97241,34.765874,113.930046,主题乐园|4A景区,大型综合娱乐旅游度假区,0.0,0,4.7,7825,https://youimg1.c-ctrip.com/target/350m14000000xbda9621C.jpg
河南博物院,Henan Museum,9593,77934,34.78822,113.67193,博物馆,丰富馆藏展现中原悠久历史,0.0,0,4.8,5993,https://youimg1.c-ctrip.com/target/350r160000010oixgB0CC.png
建业·华谊兄弟电影小镇,Jianye&H · Brothers Movie Town,5620391,70528813,34.77563782668438,113.9993604458638,主题乐园|4A景区,沉浸式电影潮玩地|高颜值网红打卡地|穿越感戏精大舞台,0.0,0,4.6,4324,https://youimg1.c-ctrip.com/target/100n1f000001g9qh03D7A.jpg
郑州方特梦幻王国,Zhengzhou Fantawild Dream Kingdom,1731786,22896560,34.767373,113.925837,主题乐园,中国神话为主题的游乐项目,0.0,0,4.8,4585,https://youimg1.c-ctrip.com/target/100f1f000001gqbac9EB8.jpg
郑州海洋馆,Zhengzhou Aquarium,143225,10548627,34.820026,113.658005,水族馆,走海底隧道观海洋生物,0.0,0,4.2,2980,https://youimg1.c-ctrip.com/target/10070q000000grw0w13E9.jpg
郑州市动物园,Zhengzhou Zoo,77541,89916,34.789401,113.685214,动物园,近距离接触珍稀动物,0.0,0,4.6,2011,https://youimg1.c-ctrip.com/target/100q1f000001grl5b1F64.jpg
郑州黄河文化公园,Zhengzhou Yellow River Scenic Area,9603,77940,34.95392319626046,113.51294598941016,4A景区|文化旅游区|河流,欣赏黄河风光了解黄河文化,0.0,0,4.2,1872,https://youimg1.c-ctrip.com/target/01055120008k2uu5xCB19.jpg
只有河南·戏剧幻城,,109563995,109563995,34.79944445245985,114.00279658004398,演出,,0.0,0,4.9,1133,https://youimg1.c-ctrip.com/target/0100f120008q09vpe7FA4.jpg
中国绿化博览园,China Green Expo Park,135665,97309,34.75420042792285,113.93364500997467,4A景区|城市公园,欣赏全国各地的花卉草木,0.0,0,4.7,1396,https://youimg1.c-ctrip.com/target/0104b120006v2smz1FB72.jpg
银基冰雪世界,,4248563,41399624,34.478844,113.554898,主题乐园,滑冰滑雪游乐的室内乐园,0.0,0,4.6,1498,https://youimg1.c-ctrip.com/target/0106p120008ev5ud719D7.jpg
银基动物王国,Yinji Zoo,5709626,89409513,34.48331823732483,113.55019120974812,主题乐园|动物园,,0.0,0,4.3,985,https://youimg1.c-ctrip.com/target/0102p1200081c92r3FB3D.jpg
郑州方特水上乐园,Zhengzhou Fantawild Water Park,1413243,13460820,34.765585,113.93592,水上乐园,乐趣十足的水上主题游乐园,0.0,0,4.6,1141,https://youimg1.c-ctrip.com/target/100m0u000000jdjmgECA1.jpg
康百万庄园,Kang Million Estate,20817,80722,34.762926,112.951061,历史建筑|4A景区,精致的豫商古建筑,0.0,0,4.6,1284,https://youimg1.c-ctrip.com/target/1A0m13000000u6jhs5735.jpg
银基黄帝宫御温泉,Imperial Palace Royal Hot Springs,1754006,23483214,34.481984,113.55035,泡温泉,放松身心的天然温泉,0.0,0,4.8,1239,https://youimg1.c-ctrip.com/target/0103h120009a6jspp89FA.jpg
郑州园博园,,2488486,34267930,34.459093,113.871915,4A景区|园林花园,欣赏古典或现代的园林园艺,0.0,0,4.3,1246,https://youimg1.c-ctrip.com/target/100q0k000000ci8k59356.jpg
中原福塔,Zhongyuan Tower,119168,10758752,34.723114,113.729121,4A景区|现代建筑|观景台,顶层观光台全方位欣赏美景|云中漫步,0.0,0,4.5,938,https://youimg1.c-ctrip.com/target/010691200082cli2sE99D.jpg
伏羲山大峡谷,Fuxi Mountain Grand Canyon,77538,89914,34.61019,113.192876,峡谷|4A景区,,0.0,0,4.6,712,https://youimg1.c-ctrip.com/target/0101d120008595fdv08AA.jpg
嵩山风景名胜区,Songshan Scenic Area,134400,10559569,34.50822562791205,113.01767636096594,寺庙|5A景区|山岳,中岳名山赏景感受灿烂文化,0.0,0,4.5,733,https://youimg1.c-ctrip.com/target/100o0h0000008zf6aED3A.jpg
嵩阳书院,Songyang Academy,7952,77122,34.480336,113.033589,历史建筑|4A景区,名士辈出的古老书院,0.0,0,4.5,986,https://youimg1.c-ctrip.com/target/0105k120005sp61v553F1.jpg
竹林长寿山,The Bamboo Forest Longevity Mountain,1408967,10790285,34.687952179687926,113.13018731812905,4A景区|山岳,登山间步道望远山近景,0.0,0,4.1,634,https://youimg1.c-ctrip.com/target/100a1f000001grk87096C.jpg
古柏渡飞黄旅游区,Gubaidufeihuang Tourist Area,143228,10548629,34.890429,113.238819,景区|4A景区,大漠黄河高山绿洲景观,0.0,0,4.3,799,https://youimg1.c-ctrip.com/target/350111000000rsz076C99.jpg
二七纪念塔,Erqi Strike Monument Tower,9599,77937,34.752182,113.666399,历史建筑,纪念二七大罢工的英雄,0.0,0,4.3,898,https://youimg1.c-ctrip.com/target/100r1c000001d5cee3E14.jpg
三泉湖景区,Sanquanhu Sceneic Area,5371347,61447298,34.589724,113.217189,湖泊|4A景区|山岳,有丛林过山车等特色项目,0.0,0,4.9,350,https://youimg1.c-ctrip.com/target/350j1e000001fj7qu1397.jpg
锦艺城海洋馆,Jinyi City Aquarium,1937384,28419023,34.763207,113.605992,水族馆,水下隧道感受鱼群飞驰而过,0.0,0,4.3,572,https://youimg1.c-ctrip.com/target/100t1f000001gq9kz2006.jpg
三皇寨,Sanhuang Village,57342,86142,34.473467,112.952052,地质地貌,为了纪念人祖三皇而命名,0.0,0,4.5,372,https://youimg1.c-ctrip.com/target/100g12000000rr2li3D3D.jpg
浮戏山雪花洞景区,Fuxi Mountain Xuehua Cave Scenic Resort,9608,77944,34.659732,113.169829,洞穴|山岳,洞内灯光炫彩钟乳石奇特,0.0,0,4.4,365,https://youimg1.c-ctrip.com/target/100b1f000001gsoaw7156.jpg
郑州人民公园,Zhengzhou People's Park,1418498,13698923,34.76168598614462,113.66310649774678,城市公园,纪念胡景翼将军而建,0.0,0,4.6,303,https://youimg1.c-ctrip.com/target/1A051d000001endf767E9.jpg
红石林景区,Hongshilin Sceneic Area,4269394,43962259,34.59562954102189,113.25541570866912,4A景区|山岳|地质地貌,观赏错落有致的红石林,0.0,0,4.7,248,https://youimg1.c-ctrip.com/target/10031f000001gs17a9B2A.jpg
古柏渡丰乐樱花园,,2004035,30657413,34.87807,113.237233,4A景区|花海,种有不同品种的珍稀樱花,0.0,0,4.1,360,https://youimg1.c-ctrip.com/target/0104x120008a94qqr2B75.jpg
紫荆山公园,Zijing Mountain Park,119247,10537477,34.76199979167989,113.68877136691376,城市公园,参观部分商代遗址,0.0,0,4.6,303,https://youimg1.c-ctrip.com/target/0104f120008hnfme5F2C1.jpg
大熊山仙人谷,Daxiongshan Xianren Valley,2016463,30790637,34.28834930473809,113.14125190083296,峡谷|4A景区,相传尧帝故里的世外桃源,0.0,0,4.0,182,https://youimg1.c-ctrip.com/target/10021f000001gxel874DA.jpg
大玉米58楼城市观光厅,,2002611,30633098,34.7711663907222,113.727325737476,观景台,郑州城市标志之一,0.0,0,4.3,178,https://youimg1.c-ctrip.com/target/0106k120008g5gz9r97D1.jpg
环翠峪风景区,Huancuiyu Scenic Area,57048,86063,34.637443639262756,113.27882101437379,峡谷|洞穴,有机会看到可爱的太行猕猴,0.0,0,4.2,180,https://youimg1.c-ctrip.com/target/100m1f000001gzm6vA7BD.jpg
郑州植物园,Zhengzhou Botanical Garden,119174,10556451,34.735064,113.536584,植物园,“中原地区植物基因库”,0.0,0,4.5,139,https://youimg1.c-ctrip.com/target/0103i120008904wjm568D.jpg
碧沙岗公园,Bisha Hillock Park,119303,10537531,34.751525,113.630273,城市公园,参观热带鱼展览馆,0.0,0,4.6,175,https://youimg1.c-ctrip.com/target/1A0f1e000001eyk1w8CE7.jpg
青龙山慈云寺,Mount Qinglong Ciyun Temple,77536,89912,34.680053,113.064839,寺庙,林木掩映中的千年古寺,0.0,0,4.4,142,https://youimg1.c-ctrip.com/target/01050120008e2pp94D616.jpg
郑州方特旅游度假区,Zhengzhou Fantaworld Adventure,4379348,49937283,34.767812924379,113.92331779523046,主题乐园,科技欢乐园|大型主题游乐园,0.0,0,4.8,77,https://youimg1.c-ctrip.com/target/10021f000001gxer081B9.jpg
始祖山,Shizu Mountain,77327,89891,34.342252,113.540785,山岳,黄帝文化遗迹遍布山野,0.0,0,4.4,139,https://youimg1.c-ctrip.com/target/100f1f000001gq8xa6C25.jpg
郑州松鼠部落森林假日公园,Zhengzhou Songshu Buluo Senlin Jiari Park,5642341,71555044,34.6679623238483,113.47885934909648,儿童乐园,可以喂小动物的游乐园,0.0,0,3.5,157,https://youimg1.c-ctrip.com/target/100m1f000001gzmc66B7A.jpg
