名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
镇北堡西部影城,Zhenbeibao West Film Art Center,8834,10558661,38.615366,106.071997,5A景区|影视城,荒凉的影视城中当一回明星,0.0,0,4.6,14011,https://youimg1.c-ctrip.com/target/10010z000000ny7agFB63.jpg
宁夏水洞沟旅游区,Ningxia Shuidonggou Tourist Area,50459,83196,38.29200521995116,106.51320200170557,古迹|5A景区,远古先民生活过的遗址,0.0,0,4.6,4740,https://youimg1.c-ctrip.com/target/01024120009cz4j129838.jpg
西夏陵国家考古遗址公园,Western Xia Mausoleums National Archaeological Park,8831,77480,38.44244436499966,106.01762233780002,4A景区|陵园,埋葬着西夏王朝的多位皇帝,0.0,0,4.5,4509,https://youimg1.c-ctrip.com/target/350u1900000177n71B401.jpg
贺兰山岩画,Helan Mountain Rock Painting,8821,77476,38.74172715578176,106.0266454599972,4A景区|古迹,一万年前先民们的艺术作品,0.0,0,4.5,3457,https://youimg1.c-ctrip.com/target/0105b120005v1aeay0879.jpg
黄沙古渡原生态旅游区,Huangsha Guduyuan Ecological Tourism Area,8829,10758164,38.5806597426226,106.54915416753079,4A景区|沙漠戈壁|湿地,畅玩黄河边多种沙上活动,0.0,0,4.6,922,https://youimg1.c-ctrip.com/target/350d1800000152qg080B9.jpg
贺兰山国家森林公园,Helan Mountain National Forest Park,18250,80231,38.740726,105.94357,4A景区|森林|山岳,层层林海中追忆西夏文化,0.0,0,4.4,592,https://youimg1.c-ctrip.com/target/0100u120009dbwyxy6177.jpg
宁夏张裕龙谕酒庄,Changyu Moser XV Winery,1414597,13529895,38.449773,106.106019,4A景区|酒庄酒厂,在葡萄酒庄园品尝普通美酒,0.0,0,4.4,524,https://youimg1.c-ctrip.com/target/10041f000001gp7ce6377.jpg
西夏风情园,Xixia Dynasty Garden,1414394,13515500,38.48359230514031,106.03057070279316,4A景区|文化旅游区,沉浸在西夏王朝的魅力中,0.0,0,4.5,515,https://youimg1.c-ctrip.com/target/350k1d000001esjvcADD6.jpg
沙湖生态旅游区,Shahu Lake,140406,101072,38.80170099541817,106.36162953527807,湖泊|5A景区|沙漠戈壁,江南水乡与大漠风光,0.0,0,4.5,4930,https://youimg1.c-ctrip.com/target/100c1f000001gsy3h002E.jpg
宁夏博物馆,Ningxia Museum,147000,10522941,38.48480853574511,106.23514230347261,博物馆,观赏宁夏岩画与其它文物,0.0,0,4.6,467,https://youimg1.c-ctrip.com/target/100j180000013yclo509C.jpg
