名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
橘子洲,Orange Island,9010,77604,28.186914,112.962093,文化旅游区|5A景区,,0.0,0,4.5,9427,https://youimg1.c-ctrip.com/target/100q1f000001grjvx640B.jpg
湖南省博物馆,Hunan Provincial Museum,8981,77595,28.211872,112.9935,4A景区|博物馆,赏马王堆汉墓文物,0.0,0,4.8,7078,https://youimg1.c-ctrip.com/target/0101v120005pwzv3dE4CF.jpg
长沙世界之窗,Colorful World,9433,10558672,28.236698,113.054875,主题乐园|4A景区,观看世界各地标志性建筑,0.0,0,4.4,5376,https://youimg1.c-ctrip.com/target/100w14000000wi1uw538C.jpg
石燕湖,Shiyan Lake,62931,10559150,28.00942177777935,113.08620132321113,湖泊|4A景区,人间瑶池湖南九寨,0.0,0,4.8,4582,https://youimg1.c-ctrip.com/target/0100f12000607d8s9FAEF.jpg
岳麓山,Yuelu Mountain,9011,77605,28.182917621062295,112.93743393821364,5A景区|山岳,,0.0,0,4.5,4650,https://youimg1.c-ctrip.com/target/fd/tg/g1/M09/13/3D/CghzflUbxeqAFeuvAAYCeSjcfeA871.jpg
长沙生态动物园,Changsha Ecological Zoo,9030,77623,28.032934,113.003644,4A景区|动物园,观赏珍贵野生动物,0.0,0,4.3,3394,https://youimg1.c-ctrip.com/target/100k13000000vb221B975.jpg
长沙方特东方神画,Changsha Oriental Heritage,5400343,61613156,28.202864173292188,112.60217774787455,主题乐园,以华夏历史文明传承为特色,0.0,0,4.9,3096,https://youimg1.c-ctrip.com/target/350716000000zffin0402.jpg
炭河古城,Tanhe  Ancient City,2483125,33779195,28.152109,112.11506,主题乐园|古城古镇,遗址改建的周文化主题公园,0.0,0,4.8,3329,https://youimg1.c-ctrip.com/target/01068120008f4wjyc42C1.jpg
长沙铜官窑古镇,Changsha Tongguanyao Ancient Town,4943359,56095164,28.40714022019628,112.83527590149292,4A景区|古城古镇,逛民间博物馆看精彩演出|梦幻夜游打卡地,0.0,0,4.5,1771,https://youimg1.c-ctrip.com/target/0105l120008p5up6y483A.png
湖南省植物园,Hunan Forestry Botanical Garden,119615,10556728,28.103057,113.032182,4A景区|植物园,林木茂盛鲜花满园赏景休闲,0.0,0,4.6,2693,https://youimg1.c-ctrip.com/target/10071f000001h6wjqABBD.jpg
长沙海底世界,Changsha Sea World,62926,87289,28.232121,113.055104,4A景区|水族馆,观赏海洋生物夏季亲水消暑,0.0,0,4.7,1701,https://youimg1.c-ctrip.com/target/0101q12000859gshi78BE.jpg
岳麓书院,Yuelu Academy,9013,77607,28.180393,112.940822,历史建筑,千年学府感悟书香人文,0.0,0,4.5,2451,https://youimg1.c-ctrip.com/target/10021f000001gxdxuE5AE.jpg
天心阁,Tianxin Pavilion,9012,77606,28.183718,112.981344,历史建筑|4A景区,长沙仅存的一段古城墙,0.0,0,4.2,1527,https://youimg1.c-ctrip.com/target/100d1700000138cmoACC9.jpg
华谊兄弟（长沙）电影小镇,HBtown,5014355,56383166,28.077694449613748,112.9165758173377,4A景区|小镇|影视城,电影主题的综合文旅景区,0.0,0,4.3,1230,https://youimg1.c-ctrip.com/target/01021120009foyl3bCF24.jpg
太平老街,Taiping Street,119617,92373,28.193579,112.972078,特色街区,逛老街品美食淘小物,0.0,0,4.4,1187,https://youimg1.c-ctrip.com/target/01035120008fwhg0621CC.jpg
大围山国家森林公园,Dawei Mountain National Forest Park,62930,87293,28.422289,114.083429,4A景区|森林|山岳,天然氧吧洗肺好地,0.0,0,4.4,558,https://youimg1.c-ctrip.com/target/0101f120008fwmjjgA55D.jpg
株洲方特欢乐世界,"Fantawild Adventure Amusement Park, Zhuzhou",109994,91532,27.98941256366625,113.19487024228773,主题乐园,以动漫为主题的综合度假区,0.0,0,4.8,8661,https://youimg1.c-ctrip.com/target/0106c12000859nxvlD8AD.jpg
火宫殿,Huogongdian,1414496,13522771,28.19068946277458,112.97371224844873,特色街区,长沙特色小吃一网打尽,0.0,0,4.1,923,https://youimg1.c-ctrip.com/target/100i1f000001gp3348489.jpg
湘江欢乐城,Xiangjiang Happy City,5707765,82733025,28.088398312950222,112.91672540389762,主题乐园|室内滑雪|大师建筑,夏日嬉水 四季滑雪|地平线下的欢乐奇迹,0.0,0,4.1,696,https://youimg1.c-ctrip.com/target/0103q1200014hg94i1EF1.jpg
爱晚亭,Autumn-Admiring Pavilion,8982,77596,28.180439,112.937561,历史建筑,名诗词句中的赏枫胜地,0.0,0,4.4,1315,https://youimg1.c-ctrip.com/target/100g12000000s4p9dED06.jpg
长沙海方海洋公园,,1983292,30398009,28.130652,113.034265,水族馆,互动体验丰富学习海洋知识,0.0,0,4.1,749,https://youimg1.c-ctrip.com/target/100f1f000001gqa1f3734.jpg
柏乐园,Parkland,1479997,15036388,28.504886,112.725432,游乐场,全家玩转游乐园动物园,0.0,0,4.6,926,https://youimg1.c-ctrip.com/target/10071f000001h6wsx06D1.jpg
橘子洲烟火,Orange Isle Fireworks,1407181,10558308,28.183272,112.9614,河流,盛大烟火点燃湘江夜色,0.0,0,4.6,502,https://youimg1.c-ctrip.com/target/100u0z000000neb3v9484.jpg
靖港古镇,Jinggang Ancient Town,138691,99775,28.457491,112.790296,4A景区|古城古镇,靖港水战发生地,0.0,0,4.2,530,https://youimg1.c-ctrip.com/target/0103t1200086wwc4e57D7.jpg
三只熊冰雪王国,Three Bears Ice Park,1711704,22851573,28.041655,113.006187,室内滑雪,室内雪场四季皆可滑雪,0.0,0,4.4,515,https://youimg1.c-ctrip.com/target/0105h1200099wo3eb5FA8.jpg
杜甫江阁,Du Fu River Pavilion,1415165,13562479,28.185154,112.968742,历史建筑,登高远眺湘江欣赏盛大烟火,0.0,0,4.3,491,https://youimg1.c-ctrip.com/target/0105h1200087ee8zuF875.jpg
周洛大峡谷,Zhouluo Grand Canyon,119731,10556840,28.42955,113.667844,峡谷,观赏珍贵的珍稀植物,0.0,0,4.5,486,https://youimg1.c-ctrip.com/target/01027120009hc05fc81E7.jpg
长沙摩天轮,Changsha Ferris Wheel,1917827,27302592,28.178936375880856,112.98581690586342,摩天轮,俯瞰整个长沙城,0.0,0,4.3,483,https://youimg1.c-ctrip.com/target/100g1f000001gqz9bBFD1.jpg
湘江欢乐城-欢乐雪域,Xiangjiang Happy City - Happy Snow Area,83859167,83859167,28.08746534594087,112.91678530674044,室内滑雪|冰雪乐园,悬浮于半空中的浪漫雪国,0.0,0,4.3,484,https://youimg1.c-ctrip.com/target/0103q1200014hg94i1EF1.jpg
湖南大学,Hunan University,147881,10523822,28.178102,112.944719,学府,岳麓山下的开放式大学,0.0,0,4.6,464,https://youimg1.c-ctrip.com/target/100q1f000001grlziE925.jpg
灰汤温泉华天城旅游度假区,Huitang Huatiancheng Hotspring Holiday Hotel,52775,10758406,27.980578,112.35774,,历史名泉品汤鱼汤鸭,0.0,0,4.5,386,https://youimg1.c-ctrip.com/target/100m1f000001gznrw672E.jpg
株洲方特梦幻王国,"Fantawild Dreamworld Kingdom, Zhuzhou",1963839,29948008,27.984296,113.193018,游乐场,融合科技与文化的主题乐园,0.0,0,4.9,5254,https://youimg1.c-ctrip.com/target/100j1f000001gprwh754E.jpg
湘江,Xiang River,17977,80048,28.193527,112.965624,河流,长沙的母亲河,0.0,0,4.5,461,https://youimg1.c-ctrip.com/target/100s1f000001gx66e635F.jpg
烈士公园,Martyrs' Park,8991,77598,28.20986,112.999845,城市公园,纪念区有烈士塔,0.0,0,4.5,481,https://youimg1.c-ctrip.com/target/100v1f000001h19w55988.jpg
乐水魔方水世界,Leshui Mofang Shui World,2487398,34264442,28.295780605,113.0406414264,水上乐园,刺激滑道温馨戏水区,0.0,0,4.2,283,https://youimg1.c-ctrip.com/target/0100m120005y7lsc8DC0B.jpg
贝拉小镇,,2500847,36047131,28.236465714941733,112.71988948369486,儿童乐园,锻炼动手能力畅快游玩,0.0,0,4.1,201,https://youimg1.c-ctrip.com/target/10030q000000gd7k342EA.jpg
长沙梵高星空艺术馆（黄兴广场旗舰店）,Changsha Fangao Xingkong Art Museum (wuyiguangchangqijian),5657358,71578208,28.18929258611628,112.97604278077364,特色体验,观赏美丽的音乐灯光秀,0.0,0,4.8,327,https://youimg1.c-ctrip.com/target/0102q1200090evi738C34.jpg
浏阳石牛寨风景区,Shi Niuzhai Scenic Area,119734,10556843,28.410505,113.594317,山岳|地质地貌,险要峭壁军事要寨古迹,0.0,0,4.3,197,https://youimg1.c-ctrip.com/target/01043120006p4by4hFE69.jpg
黄兴路步行街,,2026751,31658766,28.190869091057362,112.9765949407333,特色街区,品长沙特色小吃|长沙市繁华的地段之一,0.0,0,4.6,390,https://youimg1.c-ctrip.com/target/10081f000001gqhsf202D.jpg
马王堆汉墓遗址,Mawangdui Han Tombs,9034,77625,28.205486,113.027415,古迹,马王堆女尸和陪葬品出土地,0.0,0,3.9,261,https://youimg1.c-ctrip.com/target/100f1f000001gqbft72C4.jpg
开福寺,Kaifu Temple,9015,77609,28.224355,112.978313,寺庙,数数罗汉转观音像,0.0,0,4.3,238,https://youimg1.c-ctrip.com/target/01016120009d902tg4130.jpg
