名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
香港迪士尼乐园,Hong Kong Disneyland,22943,10558849,22.31017187912645,114.04644004317879,主题乐园,置身奇妙的迪士尼世界,0.0,0,4.8,48134,https://youimg1.c-ctrip.com/target/0100h12000873g1h7C6EF.jpg
香港海洋公园,Ocean Park Hong Kong,3339,10558616,22.244366801503023,114.18130687420039,主题乐园|水上乐园,海陆动物展览|机动游戏|大型表演,0.0,0,4.7,33632,https://youimg1.c-ctrip.com/target/0102w12000873g3z738FA.jpg
太平山顶,The Peak,3307,76012,22.260615355991295,114.16351275641613,观景台,远眺大屿山俯瞰香港全景,0.0,0,4.5,12145,https://youimg1.c-ctrip.com/target/100c0y000000m3iyjBC7B.jpg
天星小轮,Star Ferry,113165,92178,22.284704422879344,114.16623949274653,乘船游览,欣赏维港美景,0.0,0,4.7,2383,https://youimg1.c-ctrip.com/target/fd/tg/g6/M0B/F1/03/CggYslcfBhWAQ_K4ABJwQC-4_cA735.jpg
尖沙咀,Tsim Sha Tsui,56109,10524148,22.296067479681007,114.17713759148208,特色街区,维港岸边的购物天堂,0.0,0,4.6,6269,https://youimg1.c-ctrip.com/target/100i1f000001gp5al0782.jpg
维多利亚港,Victoria Harbour,55194,85219,22.290419128227345,114.1763049753399,港口港湾,“世界三大夜景”之一,0.0,0,4.6,4865,https://youimg1.c-ctrip.com/target/10020y000000m5j4vCC02.jpg
天坛大佛,Tian Tan Buddha,1788436,23865321,22.250955407172707,113.90983260773001,雕塑雕像,全球第二大青铜坐佛,0.0,0,4.6,222,https://youimg1.c-ctrip.com/target/100a1f000001grjhtB3F5.jpg
山顶缆车,The Peak Tram,113164,92177,22.274930463357123,114.16416643100378,缆车索道,外观复古的港味交通方式,0.0,0,4.4,1202,https://youimg1.c-ctrip.com/target/10050p000000fqzoiBD1F.jpg
香港电车叮叮车,Hong Kong Tramways,1413441,13467069,22.284701096394954,114.14135132189773,巴士游览,双层有轨电车古老交通工具,0.0,0,4.7,477,https://youimg1.c-ctrip.com/target/100c1f000001gsxii086E.jpg
大屿山,Lantau Island,64613,87802,22.263514829994257,113.94661251063735,沙滩|岛屿/半岛,购物休闲登山亲水梦幻乐园,0.0,0,4.5,1046,https://youimg1.c-ctrip.com/target/0103k1200080p26ijBDDC.jpg
中环,Central,56110,10524147,22.278976,114.164058,特色街区,香港政治与商业中心,0.0,0,4.4,5649,https://youimg1.c-ctrip.com/target/100u1f000001gq9zn83C3.jpg
香港杜莎夫人蜡像馆,Madame Tussauds Hong Kong,43906,82116,22.26846060206252,114.15478075733823,,赏众多国际名人的蜡像,0.0,0,4.6,3875,https://youimg1.c-ctrip.com/target/35051d000001eksy87209.jpg
旺角,Mong Kok,56106,10524146,22.31188937436942,114.17513657222823,特色街区,感受老香港市井风貌,0.0,0,4.3,1742,https://youimg1.c-ctrip.com/target/01022120005b429dwEEBC.jpg
