名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
蜈支洲岛,Wuzhizhou Island,3244,10558614,18.310323,109.766335,沙滩|5A景区|海滨|岛屿/半岛,浪漫的潜水度假胜地,0.0,0,4.5,40059,https://youimg1.c-ctrip.com/target/01006120008r0zknw4B04.jpg
亚龙湾热带天堂森林公园,Yalong Bay Tropical Paradise Forest Park,74247,89388,18.251887,109.653,森林|4A景区,电影《非诚勿扰2》取景地,0.0,0,4.5,34121,https://youimg1.c-ctrip.com/target/3506180000013lu2k177F.png
天涯海角,Tianya Haijiao,3222,10524171,18.293266,109.351175,岩石|4A景区|沙滩,与三亚地标石刻合影,0.0,0,4.5,30275,https://youimg1.c-ctrip.com/target/0106f120009dsyf4f29D5.jpg
南山文化旅游区,Nanshan Cultural Tourism Zone,3227,75993,18.300553,109.211011,文化旅游区|海滨|5A景区,欣赏海景拜访佛教名胜,0.0,0,4.7,22461,https://youimg1.c-ctrip.com/target/0101i12000924znz8C79B.jpg
三亚亚特兰蒂斯水世界,Aquaventure Waterpark,4277350,44775645,18.354660711907542,109.74403195091764,水上乐园,挑战海神之跃滑道,0.0,0,4.8,12811,https://youimg1.c-ctrip.com/target/100c1f000001gswe2349D.jpg
三亚亚特兰蒂斯失落的空间水族馆,,4279349,44773663,18.355984653581565,109.743047100053,水族馆,探索神秘水下遗迹景观,0.0,0,4.4,15831,https://youimg1.c-ctrip.com/target/350o1800000153rqiBDE4.jpg
鹿回头风景区,Luhuitou Scenic Area,3230,75996,18.225606,109.501323,4A景区|城市公园|山岳,登高展望三亚风光与海景,0.0,0,4.6,19264,https://youimg1.c-ctrip.com/target/0103z12000947hwt65611.jpg
三亚千古情,Sanya Romance Park,142210,10759147,18.290966,109.530956,,领略三亚浓郁黎族文化,0.0,0,4.7,17951,https://youimg1.c-ctrip.com/target/10011h000001hxplv11F6.jpg
亚龙湾,Yalong Bay,3226,10558612,18.235582,109.649664,海滨|沙滩,知名酒店云集的清澈海湾,0.0,0,4.6,15569,https://youimg1.c-ctrip.com/target/100i1d000001ekb22870F.jpg
西岛,West Island,48963,10558942,18.233617,109.374419,沙滩|4A景区|岛屿/半岛,海上休闲娱乐运动胜地,0.0,0,4.4,7742,https://youimg1.c-ctrip.com/target/350w1a0000019y9wb8250.jpg
大小洞天,Daxiaodongtian Area,3228,75994,18.300364999523673,109.15807716383098,岩石|5A景区|海滨|沙滩,领略独特的不老松景观,0.0,0,4.6,6040,https://youimg1.c-ctrip.com/target/010691200081vzbu08DC7.jpg
第一市场,First market,110367,91877,18.238417,109.508801,,海鲜加工店的云集之地,0.0,0,4.1,6717,https://youimg1.c-ctrip.com/target/10021f000001gxd8r98FC.jpg
