名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
上海迪士尼度假区,Shanghai Disney Resort,1412255,13412802,31.142003302255596,121.66553394223148,主题乐园,充满欢乐童真的梦幻乐园,0.0,0,4.7,215864,https://youimg1.c-ctrip.com/target/0106v120009cg57p4EF84.jpg
东方明珠,Oriental Pearl Radio & Television Tower,762,75627,31.239662,121.499804,观景台|5A景区|现代建筑,360度欣赏申城的地标,0.0,0,4.6,134906,https://youimg1.c-ctrip.com/target/010691200097uy8rk36FE.jpg
上海野生动物园,Shanghai Wild Animal Park,758,75624,31.055591502066367,121.72146086542168,动物园|5A景区,与世界各地动物亲密接触,0.0,0,4.7,93651,https://youimg1.c-ctrip.com/target/0103412000993hb9t605F.jpg
外滩,The Bund,736,75611,31.233451,121.492131,城市地标|历史建筑,欣赏万国建筑和浦江美景,0.0,0,4.8,107449,https://youimg1.c-ctrip.com/target/100c0u000000jjrxyD76A.jpg
上海海昌海洋公园,Shanghai Haichang Ocean Park,4651499,52075446,30.91470177088235,121.90435873914456,水族馆|主题乐园|4A景区,看珍稀海洋生物玩刺激项目,0.0,0,4.6,29095,https://youimg1.c-ctrip.com/target/0105o1200098tkdft11D8.jpg
上海海洋水族馆,Shanghai Ocean Aquarium,18722,80473,31.240752,121.501948,水族馆|4A景区,漫步海底隧道观赏海洋生物,0.0,0,4.6,38022,https://youimg1.c-ctrip.com/target/tg/357/014/064/84e04a5ad7774a59a5f88b5864499a1b.jpg
上海欢乐谷,Shanghai Happy Valley,65957,10559194,31.09648679869189,121.21632352949065,主题乐园|4A景区,老少皆宜的知名主题乐园,0.0,0,4.7,23769,https://youimg1.c-ctrip.com/target/010661200086qqhzs45E6.jpg
上海科技馆,Shanghai Science and Technology Museum,18308,80261,31.219125,121.542481,科技馆|5A景区,寓教于乐的科普天堂,0.0,0,4.7,34858,https://youimg1.c-ctrip.com/target/0105g1200087d6lidB450.jpg
南京路步行街,Nanjing Road Pedestrian Street,3739,10524119,31.235742,121.479797,特色街区,上海知名的商业步行街,0.0,0,4.7,33727,https://youimg1.c-ctrip.com/target/0106e120007ossrr92FFB.jpg
豫园,Yu Garden,740,75615,31.2267634949479,121.4924842500084,园林花园|3A景区,留存完好的百年古典园林,0.0,0,4.7,34980,https://youimg1.c-ctrip.com/target/100g1d000001eog159F4A.jpg
上海环球金融中心,Shanghai World Financial Center,57043,86058,31.23433,121.507758,现代建筑,登透明观光厅俯瞰东方明珠,0.0,0,4.7,21533,https://youimg1.c-ctrip.com/target/0100j120008tw8io4017B.jpg
上海玛雅海滩水公园,Playa Maya,141307,101858,31.096000627246763,121.20899566410874,水上乐园,超高人气的夏季戏水胜地,0.0,0,4.5,12973,https://youimg1.c-ctrip.com/target/01027120008ntdg0wEA56.jpg
上海杜莎夫人蜡像馆,Madame Tussauds Shanghai,18316,80267,31.234834321179125,121.47419561979831,蜡像馆|4A景区,欣赏众多世界名人逼真蜡像,0.0,0,4.5,14852,https://youimg1.c-ctrip.com/target/0106y120008n704b0CB78.jpg
世纪公园,Century Park,3757,76154,31.215718,121.552556,城市公园|植物园|4A景区,市区内的大型生态公园,0.0,0,4.8,11535,https://youimg1.c-ctrip.com/target/100q12000000rozj9E4F5.jpg
上海之巅观光厅,Top of Shanghai Observatory,2005734,30745956,31.233514,121.505573,观景台|4A景区,登上海之巅赏城市全景,0.0,0,4.7,10385,https://youimg1.c-ctrip.com/target/10070d0000006wasz1009.jpg
