名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
玉龙雪山,Jade Dragon Snow Mountain,3049,75919,27.133840362663637,100.20404562097792,雪山|冰川|5A景区,近距离观看壮丽冰川,0.0,0,4.5,14757,https://youimg1.c-ctrip.com/target/100r0x000000lcnvfC396.jpg
丽江古城,Lijiang Ancient City,3056,75924,26.870516,100.235485,5A景区|古城古镇,百年古镇小桥流水古朴悠闲,0.0,0,4.5,15925,https://youimg1.c-ctrip.com/target/100t10000000p0pw09437.jpg
泸沽湖,Lugu Lake,4200,76332,27.683485305022206,100.78695544412189,湖泊|4A景区,赏高原明珠，感云南民俗,0.0,0,4.7,7566,https://youimg1.c-ctrip.com/target/100t1f000001gqbm5EF3C.jpg
木府,Mufu Palace,12325,78639,26.869249146478218,100.23450250895128,历史建筑,《木府风云》等热剧取景地,0.0,0,4.7,9471,https://youimg1.c-ctrip.com/target/0100g120008c4m8hw1A0C.jpg
拉市海,Lashi Lake,19738,80565,26.875953,100.13503,湿地,清新优美的草原湿地,0.0,0,4.0,5021,https://youimg1.c-ctrip.com/target/100e1f000001gt1yqCA73.jpg
丽江千古情,Lijiang Songcheng Tourist Area,1409369,11077117,26.828243,100.219114,演出,观看精彩的千古情表演,0.0,0,4.7,2567,https://youimg1.c-ctrip.com/target/100t1h000001hn60uB5FB.jpg
束河古镇,Shuhe Ancient Town,17963,80042,26.918872,100.204505,4A景区|古城古镇,安静清幽的茶马古镇,0.0,0,4.4,3567,https://youimg1.c-ctrip.com/target/0103g120004gwpfhxC61E.jpg
蓝月谷,Blue Moon Valley,109863,91410,27.126128291793233,100.2450472385842,湖泊,雪山脚下静谧的池水,0.0,0,4.6,1885,https://youimg1.c-ctrip.com/target/100i0u000000jfyq97C62.jpg
虎跳峡（丽江段）,Tiger Leaping Gorge,3055,10532860,27.231841,100.146114,峡谷,栈道上听骇浪拍石气势非凡,0.0,0,4.5,1273,https://youimg1.c-ctrip.com/target/10061f000001gqy5l11F4.jpg
玉龙雪山索道,Yulong Snow Mountain Cableway,128254,10543892,27.099889,100.25333,雪山|缆车索道,近距离感受冰川魅力,0.0,0,4.5,948,https://youimg1.c-ctrip.com/target/100j1f000001gpqcq4954.jpg
四方街,Sifang Street Square,60935,86495,26.872094796507927,100.23380882204174,特色街区,古城地标小吃街食肆密集,0.0,0,4.4,1472,https://youimg1.c-ctrip.com/target/0101r1200086v8z40F7E7.jpg
黑龙潭公园,Black Dragon Pool Park,3057,75925,26.891912327169994,100.23733840414508,湖泊|4A景区,拍雪山与古城的好去处,0.0,0,4.0,868,https://youimg1.c-ctrip.com/target/10080y000000lszn9167B.jpg
拉市海茶马古道,,2499647,35810049,26.866773365795957,100.16042681505107,古道,骑马走古道，沿途景观丰富,0.0,0,4.5,698,https://youimg1.c-ctrip.com/target/10031f000001gs20p7FEE.jpg
狮子山,Lion Rock,128246,10543884,26.87033,100.23078,山岳,将古城与玉龙雪山一览无遗,0.0,0,4.4,720,https://youimg1.c-ctrip.com/target/100n11000000q85as760A.jpg
古城大水车,Ancient City Waterwheel,60937,86497,26.876027,100.233324,城市地标,丽江古城的象征,0.0,0,4.5,726,https://youimg1.c-ctrip.com/target/100v10000000p8w5tEB0A.jpg
泸沽湖观景台,Lugu Lake Viewing Platform,63745,87532,27.655413959713286,100.80858653681076,观景台,整个泸沽湖美景尽收眼底,0.0,0,4.7,661,https://youimg1.c-ctrip.com/target/01022120008and0tvBA3A.jpg
观音峡,Guanyin Gorge,110278,10524244,26.764641,100.269029,峡谷|4A景区,鬼斧神工的自然杰作,0.0,0,4.1,589,https://youimg1.c-ctrip.com/target/0105z12000753y6ebE41D.jpg
白沙古镇,Baisha Ancient Town,17965,80044,26.953919471490238,100.21827079472558,古城古镇,感受原生态古镇的安静,0.0,0,4.4,870,https://youimg1.c-ctrip.com/target/1A0g12000000sgbhw98D2.jpg
格姆女神山,Gemu Mountain,4201,76333,27.74112,100.76437,山岳,泸沽湖边的一座千年神山,0.0,0,4.6,543,https://youimg1.c-ctrip.com/target/100q1b000001adgpp5F94.jpg
冰川公园,Glacier National Park,128202,10543840,27.099125,100.254358,冰川,近距离感受冰川和雪山,0.0,0,4.6,375,https://youimg1.c-ctrip.com/target/100u10000000p3aii5327.jpg
长江第一湾,First bay of the Yangtze River,3054,75923,26.867675558854895,99.96105887584132,河流,“V”字形大转弯,0.0,0,3.9,472,https://youimg1.c-ctrip.com/target/100210000000paerrA3BE.jpg
玉水寨,Yushui Village,44836,82180,26.999757,100.201622,古村|4A景区,观看神龙三叠水优美景观,0.0,0,4.2,350,https://youimg1.c-ctrip.com/target/100d1f000001gor1071A1.jpg
大落水村,Daluoshui Village,63769,87550,27.679523,100.769275,,摩梭风情的木楞房建筑群,0.0,0,4.5,368,https://youimg1.c-ctrip.com/target/100k11000000r61gb69CE.jpg
白水河,Baishuihe River,44854,82181,27.126087,100.24195,河流,雪山脚下的洁白河水,0.0,0,4.4,374,https://youimg1.c-ctrip.com/target/fd/tg/g2/M08/2E/58/Cghzf1W2LAqAUbYdAAiPzrNX4h4306.jpg
