名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
鼓浪屿,Gulangyu Island,57405,10524162,24.444673,118.067042,岛屿/半岛|世界文化遗产|沙滩|5A景区|历史建筑,万国建筑博览,0.0,0,4.4,45597,https://youimg1.c-ctrip.com/target/100w1f000001gwb0k4589.jpg
厦门方特梦幻王国,Xiamen Fantawild Dreamland,140141,100927,24.67759776384858,118.17563905943311,主题乐园,主打科幻互动体验,0.0,0,4.7,7924,https://youimg1.c-ctrip.com/target/100hhk1439kmbhjqoF084.jpg
厦门大学,Xiamen University,14050,79124,24.436850549012316,118.10008577830203,学府,依山傍海的出名学府,0.0,0,4.5,12989,https://youimg1.c-ctrip.com/target/0103m120006pd9bte2D5C.jpg
厦门园林植物园,Xiamen Botanical Garden,8625,77353,24.44874056915134,118.10961809003476,植物园|4A景区,仙气十足的雨林世界,0.0,0,4.6,8378,https://youimg1.c-ctrip.com/target/100l0z000000mjdcf8C02.jpg
胡里山炮台,Hulishan Fort,2342,75841,24.429713,118.106271,古迹|4A景区,集欧式和明清风格于一身,0.0,0,4.6,10863,https://youimg1.c-ctrip.com/target/100q1f000001grlymAFD1.jpg
厦门科技馆,Xiamen Science and Technology Museum,50128,83054,24.490683974041104,118.108222391655,科技馆,感受新科技的乐趣,0.0,0,4.6,6096,https://youimg1.c-ctrip.com/target/350a14000000x3b4o7225.jpg
环岛路,Huandao Road,8669,10558656,24.429816018708856,118.10968886801605,特色街区,享受骑行海岸线的乐趣,0.0,0,4.7,6665,https://youimg1.c-ctrip.com/target/0103e120008618c8m760A.jpg
日光岩,Sunlight Rock,2345,75844,24.44232,118.067513,岩石|观景台,制高点俯瞰鼓浪屿,0.0,0,4.5,6598,https://youimg1.c-ctrip.com/target/fd/tg/g4/M04/27/5E/CggYHFYDbxaAatKRACXrY4vKBH0901.jpg
灵玲马戏城,Lingling International Circus City,1409728,13105365,24.589317,118.051013,马戏团,独具地方特色建筑的马戏城,0.0,0,4.7,5178,https://youimg1.c-ctrip.com/target/01008120009a2vo48BCCA.jpg
钟鼓索道,Zhonggu Cableway,145125,10521056,24.453085,118.09388,缆车索道,在高空中俯瞰厦门全景,0.0,0,4.6,3596,https://youimg1.c-ctrip.com/target/100m0p000000fvny75481.jpg
曾厝垵,Zeng Cuo An Village,109999,91537,24.426796587011523,118.12651368276325,特色街区,厦门文创新地标,0.0,0,4.3,5166,https://youimg1.c-ctrip.com/target/fd/tg/g2/M01/74/80/Cghzf1UmO4SAKdqoAAXH3Iu6TdM647.jpg
南普陀寺,South Putuo Temple,2344,75843,24.440992,118.096565,寺庙,全国出名的佛教寺院,0.0,0,4.6,5211,https://youimg1.c-ctrip.com/target/10041f000001gpadeEECB.jpg
日月谷温泉,Riyuegu HotSprings Resort,48767,10758353,24.558749,117.941301,泡温泉|4A景区,颇具东南亚风情,0.0,0,4.7,3655,https://youimg1.c-ctrip.com/target/0100h1200098optm73FB7.jpg
厦门方特东方神画,,2017871,30805683,24.681385,118.176393,主题乐园,汇聚华夏民族特色的乐园,0.0,0,4.9,4789,https://youimg1.c-ctrip.com/target/0104n120005pz0twd7C4C.jpg
厦门海底世界,Xiamen Underwater World,8619,77347,24.445996,118.071483,水族馆,完整的抹香鲸骨架,0.0,0,4.1,3187,https://youimg1.c-ctrip.com/target/10071f000001h6z95039E.jpg
鹭江夜游,Lujiang Night Tour,139403,10759041,24.449572303496208,118.07783041976656,乘船游览,游船观赏鼓浪屿和鹭岛夜景,0.0,0,4.3,2755,https://youimg1.c-ctrip.com/target/100p0h00000090saz336B.jpg
中山路步行街,Zhongshan Road Pedestrian Street,137032,10524164,24.453913,118.079472,特色街区,厦门地标式商业街,0.0,0,4.4,2541,https://youimg1.c-ctrip.com/target/0101r120006unrnrfAE3B.jpg
云上厦门观光厅,Clouds Above Xiamen Viewing Platform,1977871,30107091,24.43527423962094,118.08930718082644,观景台,饱览百米高空的震撼景致,0.0,0,4.2,1582,https://youimg1.c-ctrip.com/target/10010r000000hpvu883A5.jpg
菽庄花园,Xinzhuang Garden,2346,75845,24.438920719540466,118.06975541112884,园林花园,融合西洋色彩的园林景观,0.0,0,4.5,2151,https://youimg1.c-ctrip.com/target/1A0u13000000u2b7x74C3.jpg
巨鹏飞梦幻海岸,Jupengfei Dream Coast Vacation Area,140540,101182,24.49421538714012,118.19766437350556,主题乐园,水陆两大主题乐园,0.0,0,4.4,1297,https://youimg1.c-ctrip.com/target/100f1f000001gqajw695D.jpg
皓月园,Haoyue Garden,8614,77344,24.442017,118.075642,雕塑雕像,纪念民族英雄的雕像园,0.0,0,4.5,958,https://youimg1.c-ctrip.com/target/1A0t13000000tv1v8B91E.jpg
白城沙滩,Baicheng Beach,145124,10521055,24.432088,118.102887,沙滩,毗邻厦大的海边沙滩,0.0,0,4.6,715,https://youimg1.c-ctrip.com/target/fd/tg/g4/M07/29/9E/CggYHlYDjs2AJuXLABlo4vhcuas023.jpg
厦门老院子景区,Xiamen Old Courtyard Scenic Spot,1704246,22561524,24.62493,118.075897,文化旅游区|4A景区,穿越到闽南渔村古厝,0.0,0,4.2,577,https://youimg1.c-ctrip.com/target/100u0q000000gbzz467DC.jpg
金穗园温泉,JinSuiYuan Hot Spring Hotel,142218,10759149,24.713952431724167,118.19727309796176,泡温泉|度假村,感受独特的闽南农庄文化,0.0,0,4.6,436,https://youimg1.c-ctrip.com/target/35070w000000knbzx944F.jpg
