名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
秦始皇帝陵博物院(兵马俑),Emperor Qinshihuang's Mausoleum Site Museum,1444,75682,34.38360233925244,109.27854541592531,博物馆|5A景区,秦始皇的地下御林军,0.0,0,4.7,86972,https://youimg1.c-ctrip.com/target/100o1f000001gp44rA9EC.jpg
西安城墙,Fortifications of Xi'an,1449,75686,34.25163845098435,108.94824180757273,古迹|城市地标|5A景区,十三朝古都的历史见证,0.0,0,4.6,36418,https://youimg1.c-ctrip.com/target/0100f120005q6fsy8B56A.jpg
陕西历史博物馆,Shaanxi History Museum,1446,75684,34.224214,108.955046,博物馆|4A景区,在浩瀚珍贵文物中穿梭时光,0.0,0,4.6,29208,https://youimg1.c-ctrip.com/target/0103k120006t7ckgl8C33.jpg
大唐芙蓉园,Tang Dynasty Furong Garden,26184,81938,34.212762,108.974331,园林花园|5A景区,在昔日皇家御苑中再现辉煌,0.0,0,4.4,19170,https://youimg1.c-ctrip.com/target/100f1c000001dhvrh3698.jpg
华清宫,Huaqing Pool,1443,75681,34.35776952684945,109.21645788444414,古迹|泉|博物馆|5A景区,唐玄宗和杨贵妃的共浴之地,0.0,0,4.4,17556,https://youimg1.c-ctrip.com/target/100510000000o6ke620CB.jpg
《长恨歌》演出,"""The Song of Everlasting Sorrow""",136558,10758966,34.36397,109.212666,演出,杨贵妃与唐明皇的千古爱情,0.0,0,4.7,12829,https://youimg1.c-ctrip.com/target/100i0z000000mfzt18373.jpg
秦岭野生动物园,Qinling Wildlife Park,73279,89229,34.047521,108.866398,动物园|4A景区,观看放养的各类猛兽,0.0,0,4.4,6402,https://youimg1.c-ctrip.com/target/0102r120008oxgroo231E.jpg
回民街,Muslim Quarter,54080,10559031,34.26060629811921,108.94369910506857,特色街区,古老的街区内吃遍西安美食,0.0,0,4.2,12759,https://youimg1.c-ctrip.com/target/1A0811000000ra8pt1815.jpg
西安钟楼,Bell Tower of Xi'an,52702,84631,34.259453,108.946994,历史建筑,历史悠久的古城标志性建筑,0.0,0,4.5,9924,https://youimg1.c-ctrip.com/target/100j10000000oj84v8909.jpg
大雁塔,Giant Wild Goose Pagoda,1442,75680,34.217604,108.964101,寺庙|5A景区,舍利和玄奘法师顶骨存放地,0.0,0,4.5,7746,https://youimg1.c-ctrip.com/target/100i1f000001gp3tfE7FE.jpg
西安碑林博物馆,Xi'an Beilin Museum,140439,101097,34.25389677651689,108.95281469295934,博物馆|5A景区,阅览书法名家碑刻精品,0.0,0,4.7,5157,https://youimg1.c-ctrip.com/target/10071f000001h70jcC839.jpg
大明宫国家遗址公园,Daming Palace National Heritage Park,52685,84625,34.292302,108.963628,古迹|5A景区,重现大唐的辉煌宫殿群,0.0,0,4.2,4488,https://youimg1.c-ctrip.com/target/10011f000001h396493C8.jpg
乐华恒业欢乐世界,Lewa City · Lewa Adventure,1708846,22680108,34.47256903217091,108.918426522906,主题乐园|4A景区,众多的过山车让你玩到嗨,0.0,0,4.4,2959,https://youimg1.c-ctrip.com/target/0102w120004emuw2f1657.jpg
曲江海洋极地公园,Qujiang Polar Ocean Park,52697,84628,34.215201,108.980458,水族馆|主题乐园|4A景区,看企鹅北极熊还有海豚表演,0.0,0,4.1,3655,https://youimg1.c-ctrip.com/target/100v0r000000hnipp2495.jpg
翠华山,Cuihua Mountain,1440,75678,33.973425971895836,109.01147371001994,湖泊|山岳|4A景区,山崩地裂奇观,0.0,0,4.6,1483,https://youimg1.c-ctrip.com/target/0105a120009cl8pbfC5E6.jpg
西安鼓楼,Drum Tower of Xi'an,1410344,13219372,34.260205,108.943519,古迹,夜景震撼的古城标志性建筑,0.0,0,4.5,3584,https://youimg1.c-ctrip.com/target/100o10000000oik0e8128.jpg
大唐不夜城,Grand Tang Dynasty Ever-bright City,130441,10557626,34.21445726393072,108.96414300082306,特色街区,充满了唐风元素,0.0,0,4.6,1881,https://youimg1.c-ctrip.com/target/100c1f000001gsxqd9E36.jpg
华夏文旅海洋公园,The Huaxia Ocean Park,4336372,48557079,34.35262075771889,109.0190171100846,水族馆,融合地域民俗的海洋公园,0.0,0,4.1,1047,https://youimg1.c-ctrip.com/target/350t1e000001f2rfy7858.jpg
高家大院,Gaojia Courtyard,73059,89194,34.262819,108.943278,历史建筑,回民街上的百年官宦大院,0.0,0,4.4,1942,https://youimg1.c-ctrip.com/target/100m1f000001gzoouEBC7.jpg
